,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,,INDEX,,CODE
,11,3,꿈의 세계 월드맵,주인공,,지부장님이 치료제에 아르하의 기운을 섞어 상처에 주사했다. 상처는 다시 한번 거짓말같이 아물었다.,"Manager inject the mixture and, like magic, wound was recovered again.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,4,꿈의 세계 월드맵,누리,슬픔,"고, 고대신룡이 죽었어......",God dragon is dead.,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,11,5,꿈의 세계 월드맵,즈믄,슬픔,아직 아니야 바보야! 드래곤이 죽으면 영혼이 승천한다고! 아직 살아있어!,"Not yet, stupid! When a dragon dies, the soul will ascend! He's still alive!",,,ZUMUN_SAD,,"SET_INFO(SpeechPopupType::ZUMUN_SAD, _MSG(idx++));"
,11,6,꿈의 세계 월드맵,지부장,보통,부탁드립니다 렉스톤. 저희들 중 아르하의 기운에 대해 제일 잘 알고 있는 게 당신입니다.\n어떻게 방법이 없을까요?,"Rexton, You are the only one know about the force of Archa.\nPlease help us.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,11,7,꿈의 세계 월드맵,렉스톤,,큰일인데...... 나도 저쪽 세계로 떨어지고 나서 살기 급급해 배운게 다일 뿐이라 자세히는...,That's a big deal. I only learned a little after I fell to the Archa.,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,8,꿈의 세계 월드맵,주인공,,잠시 고민하던 렉스톤이 다시 말했다.,Rexton worry about it for a while and start talking.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,9,꿈의 세계 월드맵,렉스톤,,좀 힘든 일이겠지만 방법이 없군. 아르하의 수호룡을 찾는 수밖에.,"It may be difficult, but there is a way. We have to find the guardian dragon of Archa.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,10,꿈의 세계 월드맵,즈믄,보통,아르하의 수호룡? 누구죠 그게?,Guardian dragon of Archa? Who is that?,,,ZUMUN_NORMAL,,"SET_INFO(SpeechPopupType::ZUMUN_NORMAL, _MSG(idx++));"
,11,11,꿈의 세계 월드맵,렉스톤,,원래 아르하를 지키던 6마리의 드래곤이다. 카데스에 맞서서 아르하를 지키기 위해 싸운 드래곤들이지.,They are the 6 dragons used to protect Archa. They fought against Kades to protect Archa.,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,12,꿈의 세계 월드맵,주인공,,그리고 렉스톤은 숙연한 듯이 고개를 떨궜다.,And Rexton dropped his head.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,13,꿈의 세계 월드맵,렉스톤,,내가 처음 아르하로 떨어졌을 때도 도움을 많이 줬는데......\n결국 카데스에게 패배하고 봉인당한 불쌍한 드래곤들이지.,"They helped me a lot when I first fell into Archa...\nPoor dragons who were defeated and sealed by Kades after all.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,14,꿈의 세계 월드맵,누리,슬픔,봉인당했다면 만날 방법이 없잖아요? 그럼 어떻게 해요?,"If they are sealed, there's no way to meet them. So what do we do?",,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,11,15,꿈의 세계 월드맵,렉스톤,,봉인당했으니 만날 방법이 있지. 죽었다면 방법이 없어.,"Yes. They are not dead, just been sealed.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,16,꿈의 세계 월드맵,주인공,,렉스톤이 고개를 들어 날 바라봤다.,Rexton raise his head and see me.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,17,꿈의 세계 월드맵,렉스톤,,"아르하를 지탱하는 6가지 속성, 그건 이 유타칸과 동일하다.\n그 6가지 속성을 대표하던 수호룡들은 아르하에서 가장 강한 드래곤이지.",The 6 elements of Archa is same as Yutakan.\nAnd representer of element is strongest dragon in Archa.,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,18,꿈의 세계 월드맵,렉스톤,,그들만큼 아르하의 기운에 정통한 드래곤은 없다.\n아르하의 수호룡을 찾기 전에는 고대신룡을 살릴 방법이 없어.,They are the dragons who know best about the force of Archa.\nThere is no way to save God dragon before they are found.,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,19,꿈의 세계 월드맵,지부장,보통,하지만...... 그들을 구할 정도로 대규모 인력을 파견할 수가 없습니다.\n수집한 아르하의 기운도 고대신룡을 치유하기 위해 계속 써야 하구요.,But ... We can't dispatch large enough people to save them.\nWe also have to use the force collected to heal God dragon.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,11,20,꿈의 세계 월드맵,렉스톤,,"대규모 인력, 대규모 군대로는 해결할 수 없다. 결국 전부 아르하의 기운에 사로잡혀 고대신룡같이 되겠지.\n무엇보다도 아르하를 지배하는 '헬카이저'에게 대적할 드래곤이 없는게 큰 문제다.","large scale troops can't solve it. Eventually, they'll all be like God dragon, caught up in the force of Archa.\nMost of all, there is no dragon that can fight with Hell kaiser who controls Archa.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,21,꿈의 세계 월드맵,주인공,,헬카이저? 생소한 이름에 렉스톤을 쳐다봤다.,Hell-kaiser? I stared Rexton.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,22,꿈의 세계 월드맵,렉스톤,,"카데스에겐 여러 드래곤 군단이 있지. 다크베인은 침공 군단의 대장, 헬카이저는 정복 군단의 대장이다.\n지금 아르하를 정복하고 지배하는 헬카이저는 다크베인보다 더 무시무시한 드래곤이다.","Kades has several Dragon Corps. Hell kaiser is the leader of the Conqueror Corps.\nNow, Hell kaiser who conquered and ruled Archa is a more fearsome dragon than Dark Vein.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,23,꿈의 세계 월드맵,누리,슬픔,다크베인보다 더 무섭다고?!,More than Dark Vein?!,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,11,24,꿈의 세계 월드맵,렉스톤,,"다크베인이 강한 드래곤이라면, 헬카이저는 교활한 드래곤이다.\n6마리의 수호룡도 그 악독한 계략에 하나하나 무너져버렸으니......",Dark Vein has a power. But Hell kaiser has wiliness.\nThe six dragons collapsed one by one in that evil plot....,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,25,꿈의 세계 월드맵,주인공,,렉스톤은 다시 눈을 지그시 감았다. 어쩌면 그 광격을 직접 목격했던게 아닐까 하는 생각이 들었다.\n그렇지 않고서야 저렇게 어두운 표정일 수가 없다.,"Rexton closed his eyes again. I felt he might have been witnessed.\nOtherwise, it can not be that dark.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,26,꿈의 세계 월드맵,렉스톤,,"그녀석들은 카데스와 전쟁을 벌이는 와중에도 나를 신경써줬다.\n아르하에서 살아가는 방법, 아르하의 기운을 극복하는 방법 말고도 여러가지를.","They took care of me during the war with Kades.\nWays to live in Archa, to overcome the force of Archa and other useful knowledge.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,27,꿈의 세계 월드맵,렉스톤,,"어떻게든 해주고 싶었지만 나도 힘이 부족했다. 그저 살아남아 고향에 돌아갈 생각만 품었지.\n하지만 이렇게 돌아오고 보니, 수호룡들을 배신했단 기분밖에 들질 않는구만......","I wanted to do something to help, but I was not enough. I only dreamed of surviving and returning home. But when I come back, I feel like I've betrayed them.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,11,28,꿈의 세계 월드맵,주인공,,"분위기가 숙연해졌다. 그사이 고대신룡의 상처가 또 터졌고, 지부장님은 말없이 치료제를 주사했다.","The atmosphere went somber. In the meantime, the wounds of God dragon broke out again, and the manager injected mixture without saying a word.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,29,꿈의 세계 월드맵,누리,웃음,"그, 그래서! 결국 그 헬카이저란 놈만 어떻게 하면 된다는거잖아!\n뭐 한 놈 뿐이라면야 문제 없겠네! 유타칸에도 강한 드래곤은 많다고!","So! It means we have to defeat Hell kaiser, isn't it?\nToo easy! We have a lot of powerful dragons in Yutakan!",,,NOORI_NORMAL,,"SET_INFO(SpeechPopupType::NOORI_NORMAL, _MSG(idx++));"
,11,30,꿈의 세계 월드맵,주인공,,"누리가 억지로 웃어보이며 분위기를 밝게 만드려고 했다.\n도저히 웃을 수는 없었지만, 즈믄만 유일하게 평소 하던데로 누리에게 핀잔을 줬다.","Nuri forced a smile on her face to brighten up the atmosphere.\nI couldn't laugh at it, but Zimon scolded Nuri as usual.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,31,꿈의 세계 월드맵,즈믄,보통,"바, 바보야! 지금 그럴만한 드래곤이 없으니 하는 말이지!\n말로만 들어도 악독한 놈인데 지금처럼 힘만 세다고 이길 수 있는 상대가 아냐!","You fool! There is no dragon to fight!\nHe is a wicked guy, and we can't win even if we're strong!",,,ZUMUN_NORMAL,,"SET_INFO(SpeechPopupType::ZUMUN_NORMAL, _MSG(idx++));"
,11,32,꿈의 세계 월드맵,누리,웃음,"어... 그... 뭐, 방법이 있겠지!\n아니면 우리쪽 악당을 데려가 둘이 싸우게 한다던가! 저기 저, 드래곤 슬레이어라던가!",Uh... Maybe we could find the way!\nOr we could take our villain over there and let him fight! Like Dragon Slayer!,,,NOORI_NORMAL,,"SET_INFO(SpeechPopupType::NOORI_NORMAL, _MSG(idx++));"
,11,33,꿈의 세계 월드맵,주인공,,이번만큼은 나도 웃음이 나왔다. 드래곤 슬레이어라니......\n슬쩍 웃는 내 모습에 누리와 즈믄도 조금은 표정이 밝아졌다.,This time I was smiled too. Dragon Slayer...\nMy faint smile brightened Zimon and Nuri a little.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,34,꿈의 세계 월드맵,지부장,화남,지금 뭐라고 하셨죠?,What did you say?,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,11,35,꿈의 세계 월드맵,주인공,,지부장님만큼은 우습지가 않았나보다.\n평소보다 더 진지한 모습으로 지부장님이 자리에서 일어났다.,The manager didn't seem funny.\nThe manager stood up in a more serious manner than usual.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,36,꿈의 세계 월드맵,누리,슬픔,"어... 드, 드래곤 슬레이어를 헬카이저랑......",Uh... Dragon Slayer and Hell kaiser....,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,11,37,꿈의 세계 월드맵,지부장,웃음,있었네요! 방법이!,Yes! It makes sense!,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,11,38,꿈의 세계 월드맵,주인공,,지부장님이 환하게 웃었다. 그리고 지부장님의 재촉으로 우린 하늘 왕국으로 떠나기로 했다.\n하지만 아무리 생각해도 지금 지부장님의 생각과 루나 여신님의 만남은...... 좋지 않을 것 같았다.,"Manager smiled brightly. And under the pressure of her, we decided to go to Sky Realm.\nBut no matter how hard I thought it would be, the meeting between the manager's idea and the goddess Luna's would not be good.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,,,,퀘스트,16,하늘왕국의 왕궁을 찾아가자.\n(하늘왕국 본채에 퀘스트 표시),Go to Sky Realm,,,FALSE,,
,12,1,알현실,주인공,,"정확히 우려하던 상황이 벌어졌다.\n지금껏 보지 못한 격분을 온 몸으로 뿜어내며, 지부장님은 알현실의 문을 쾅 닫았다.","The situation happened as I thought.\nThe manager slammed the door of audience room, \nreleasing a rage I had never seen before.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,12,2,알현실,지부장,화남,꽉 막힌 여자같으니. 상황의 심각성을 전혀 모르는군요.,That stuffy girl don't know how serious it is.,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,12,3,알현실,주인공,,하늘 왕국의 여신님을 이렇게까지 말할 수 있는 사람은 아마 지부장님 뿐일 것이다.\n루나 왕녀님도 화를 참기 위해 온 몸을 비트는 것이 장관이었다.,Perhaps the manager is the only one who can speak so much of the goddess of Sky Realm.\nPrincess Luna shook her body to suppress her anger.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,12,4,알현실,누리,슬픔,"(어, 엄청 무서웠어......)",(it was so scared....),,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,12,5,알현실,즈믄,보통,"(음...... 땅의 호랑이와 하늘의 용, 그야말로 용호상박이었지.)",(yes.. like a cat and dogs.),,,ZUMUN_NORMAL,,"SET_INFO(SpeechPopupType::ZUMUN_NORMAL, _MSG(idx++));"
,12,6,알현실,누리,슬픔,(바보야 큰 소리로 얘기하지 마! 들리면 어쩌려고!),(be quiet! maybe they can hear it),,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,12,7,알현실,주인공,,그럴 걱정은 없었다. 지부장님은 유례없이 화가 난 상태라 아무것도 들릴 것 같지가 않았다.,Don't worry. Manager can hear anything in that condition.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,12,8,알현실,지부장,화남,여신이랍시고 수천년 살았다고 하면서 저 통찰력 하고는...... \n생긴것만 어릴 뿐이지 머리 속은 꽉 막힌 협회 노인네들 같군요.,How old was she?\nShe has no insight such as old grumps of association.,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,12,9,알현실,주인공,,아... 지부장님. 그 루나 왕녀님도 나름의 이유가 있어서......,Manager. Maybe princess Luna has reason...,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,12,10,알현실,지부장,화남,지금 이 사태 앞에 어떤 이유가 통용됩니까! 있다면 좀 듣고 싶군요!\n저 왕녀라는 여자가 앵무새처럼 중얼거리는 '봉인을 풀면 안됩니다' 말고요!,"In this situation?! I'd love to hear it!\nThat parrot called ""Princess"" just murmuring ""No, you don't""! ",,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,12,11,알현실,주인공,,"아니, 이건 이유도 아니잖아! 라고 외치며 지부장님이 알현실 문을 걷어찼다.\n그순간 문이 열리며 헥토르가 나타났다. 서, 설마 불경죄로 잡혀가는 건가?","No, that isn't even a reason! The manager kicked the door, shouting out\nSuddenly, door was opened and Hector came out.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,12,12,알현실,지부장,화남,뭐야 넌!,What!,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,12,13,알현실,헥토르,보통,......,...,,,HECTOR_NORMAL,,"SET_INFO(SpeechPopupType::HECTOR_NORMAL, _MSG(idx++));"
,12,14,알현실,주인공,,헥토르는 말 없이 문 안으로 사라졌다. 안에서 루나 왕녀님의 고함이 들린다......,Hector go back into the door without any comment. And we could hear the princess's shout.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,12,15,알현실,지부장,보통,가죠.,Let's go,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,12,16,알현실,주인공,,지부장님이 짧게 한마디를 하고선 성큼성큼 걷기 시작했다.\n싸움이 끝났다는 안도감에 가슴을 쓸어내리며 지부장님의 뒤를 쫓았다. 그나저나 이제 어떡한다......,"With manager's shout order. we followed her.\nI followed after the manager, shrugging my heart in relief that the fighting was over.\nAnyway, what shall we do?",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,,,,퀘스트,17,지부장님의 뒤를 쫓아가자\n(고대의 탑에 퀘스트 표시),Follow the manager.,,,FALSE,,
,13,1,하늘 왕국 월드맵,누리,슬픔,"저기, 지부장님...... 여기는......?",Well.. where are we now?,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,13,2,하늘 왕국 월드맵,지부장,보통,드래곤 슬레이어의 봉인에 이 탑 꼭대기에 있는 뭔가가 영향을 준 것으로 알고 있습니다.,I heard there is a something in this tower affects seal of Dragon Slayer.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,13,3,하늘 왕국 월드맵,즈믄,보통,"아, 그렇죠. 이 탑 꼭대기에 있는 어둠의 에너지가 드래곤 슬레이어의 봉인을 약화......",Oh yes. Dark energy in this tower weaken the seal of ...,,,ZUMUN_NORMAL,,"SET_INFO(SpeechPopupType::ZUMUN_NORMAL, _MSG(idx++));"
