,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,
,63,11,꿈의 세계,지부장,보통,그럴 가능성도 있습니다. 하지만 그렇게 되었다면 이곳 전초기지에 대한 공세가 더욱 격렬해졌겠죠. 혹은 여신이 없는 아르하에 이상이 발생하거나.,That's a possibility. But that would have made the attack on the outpost even more intense. Or something wrong with Archa without a goddess.,
,63,12,꿈의 세계,지부장,보통,자랑스럽게도 저희 협회 소속의 테이머들이 카데스의 침공 군단을 잘 막아내고 있습니다. 저들 입장에서 물불 가릴 때가 아닐 정도로 말이죠.,"Fortunately, tamers of association are defending against invasion of Kades.",
,63,13,꿈의 세계,지부장,보통,하지만 침공이니 정복이니 아직도 이런 군단 역할을 나눠서 활동하고 있습니다. 분명 헬카이저는 지금 여신을 찾고 있느라 이곳에 나타나지 않았을 겁니다.,But they are still working as legions of invasion and conquest. I'm sure Hell Kaiser wasn't here because he was looking for the goddess.,
,63,14,꿈의 세계,주인공,,거기서 지부장님은 잠시 말을 멈추고 생각에 잠겼다. 적어도 지금까지 지부장님이 말씀하신 내용 중에 틀린 것은 없었다.,"The manager paused and thought. Nothing was wrong, at least so far, with what the manager has said.",
,63,15,꿈의 세계,지부장,보통,"어쩌면 그 여신은 너무 일찍 모습을 드러낸게 아닐까 싶습니다. 새로운 희망을 봤지만, 본인의 준비가 덜 되었거나 우리쪽 힘이 아직 약한거겠죠.","Perhaps, I think the goddess came out too early. She saw new hope, but not ready yet or we are still weak.",
,63,16,꿈의 세계,지부장,보통,그래서 다시 한번 숨은겁니다. 양쪽 어느쪽이든 좀 더 준비를 갖출 때를 기다리면서요. 아마도 헬카이저를 능가한 새로운 적이 있을겁니다.,"So, that is why she hid herself waiting for more preparation. Maybe there's a new enemy that stronger than Hell Kaiser.",
,63,17,꿈의 세계,지부장,보통,어쩌면 악신 카데스 본인과 맞설지도 모르죠.,Or... we can meet Kades.,
,63,18,꿈의 세계,주인공,,나도 모르게 침을 꿀꺽 삼켰다. 갑자기 무시무시한 이름이 나오니 본능적으로 거부감이 들었다. 아마 주변의 사람들과 드래곤들 역시 마찬가지일 것이다.,The sudden mention of that name gave me a bad feeling. Perhaps the same is true of the people and the dragons around.,
,63,19,꿈의 세계,렉스톤,변신,여기까지 다 알고 있으면 빨리 여신을 찾아야지 바보들아.,"If you know all this, you'll have to find the goddess as soon as possible.",
,63,20,꿈의 세계,디트,보통,"그래, 저 말이 맞다 이 바보들아.","That's right, you idiots.",
,63,21,꿈의 세계,주인공,,"난동만 피우던 렉스톤이 갑자기 이성적으로 말했고, 디트가 거기에 동의했다.","Rexton suddenly spoke rationally, and Deet agreed.",
,63,22,꿈의 세계,지부장,보통,제가 보기에도 그게 맞습니다 바보들아.,That's right for me. You fools.,
,63,23,꿈의 세계,누리,슬픔,"뭐, 뭐라구요?",W..What?,
,63,24,꿈의 세계,지부장,보통,뭐가요?,Did I say something?,
,63,25,꿈의 세계,즈믄,슬픔,방금 지부장님......,You just told...,
,63,26,꿈의 세계,렉스톤,변신,여신의 힘으로 고대신룡과 드래곤 슬레이어는 더 큰 힘을 얻었잖아. 지금 그게 우리에게 필요하다고.,"God Dragon and Dragon slayer gained more power from her. Now we need it, too.",
,63,27,꿈의 세계,디트,보통,그래. 저쪽에서 어떤 적이 나올지 알 수 없는 이상 섣부른 예측을 하고 괜히 겁먹으면 일을 그르치기 마련이다. 이쪽이 할 수 있는 최선의 대비를 해야지.,"Okay. Unless we know what kind of enemy will be, it will cause hasty predictions and make a mistake if we get scared. We need to prepare.",
,63,28,꿈의 세계,지부장,보통,여신은 분명 희망을 가지고 있습니다. 드래곤에게 줄 수 있는 새로운 힘이 그 희망이죠. 그러니 분명 저희쪽에게 전달하고자 하는 바가 있습니다.,The goddess certainly has hope. The hope is that she can give the dragon new power. ,
,63,29,꿈의 세계,지부장,보통,다시 한번 봉인지에 대한 면밀한 조사를......,We need to go over the land agai....,
,63,30,꿈의 세계,지부장,분노,"잠깐, 지금 이게 무슨 소리죠?","Wait, What's that?",
,63,31,꿈의 세계,주인공,,어디선가 커다란 폭발음이 들렸다. 서둘러서 확인해봐야 할 것 같다.,I heard a loud explosion somewhere. I think we should check it out.,
,,,,퀘스트,,"아르하의 입구에서 이상한 소리가 난 곳을 찾아가자.
(거대한 문에 퀘스트 표시)",Find a strange noise at the entrance of Archa.,
,64,1,꿈의 세계,아스타로트,보통,오랜만에 뵙는군요. 잠시 다른 일을 처리하고 있었더니 결국 그 더러운 흙발로 아르하까지 온 겁니까.,"I haven't seen you for ages. I was doing something else for a while, so did you come all the way to Archa?",
,64,2,꿈의 세계,주인공,,한동안 얼굴을 못봤다 싶더니 이제 모습을 드러낸거냐!,"You've been missing for a while, but now you're showing up!",
,64,3,꿈의 세계,아스타로트,보통,당연하죠! 당신들같은 테이머 나부랭이 따위와 다르게 전 꽤나 바쁘답니다. 이래뵈도 능력있는 주술사라 유타칸만 보고 있을 순 없죠.,"Of course! Unlike you, I'm pretty busy. I am a competent sorcerer and I have many things to care about.",
,64,4,꿈의 세계,고대신룡,변신,"그렇게 바쁘다보니 제대로 연락도 못받았나보지? 다크베인도, 헬카이저도 우리에게 패배했다. 순순히 항복하던가 냉큼 물러나!","You haven't even heard from them because you're so busy? Dark Vein, Hell Kaiser, was beaten by us. Surrender yourself or get out of here!",
,64,5,꿈의 세계,아스타로트,웃음,"호오, 그게 정말입니까? 그 머저리같은 것들은 언젠가 제가 한번 손을 보려고 했는데 대신 처리해주셨군요! 진심으로 감사드립니다.","Oh, is that true? I was going to take care of those idiots but you did it for me! I heartily thank you.",
,64,6,꿈의 세계,주인공,,같은 편 아니었나?,Weren't you on the same side?,
,64,7,꿈의 세계,아스타로트,보통,같은 주인을 모신다고 같은 생각을 하는 건 아니죠. 당신들 역시......,We don't think the same thing because we have the same master. You too...,
,64,8,꿈의 세계,주인공,,"그순간 아스타로트의 얼굴이 일그러졌다. 쳐다보고 있는 곳은 내 등 뒤였다. 그곳에는 솔라와 제피로스, 포폰이 있었다.","At that moment, Astaroth's face was distorted. The place where she was looking was behind me. There were Solar, Zephyros and Popon.",다시 체크
,64,9,꿈의 세계,아스타로트,분노,당신들 대체......,How could you...,
,64,10,꿈의 세계,주인공,,본인도 모르게 말이 나온 듯 자신의 입을 틀어막는 아스타로트. 내 뒤에 있던 세 수호룡들도 깜짝 놀란 얼굴로 아스타로트를 바라보고 있었다.,Astaroth shut her mouth as if her had spoken without even realizing it. Three guardians behind me were also looking at Astaroth with surprise.,
,64,11,꿈의 세계,누리,분노,왜 말을 하다 마는거지? 왜 저러는거야 대체?,Why she stop talking? Why would she do that?,
,64,12,꿈의 세계,지부장,분노,기회를 놓칠 이유는 없죠. 모두 공격합시다.,There's no reason to miss this chance. Let's attack her all.,
,64,13,꿈의 세계,주인공,,"하지만 우리가 공격을 시작하려는 순간, 아스타로트는 주문을 외우며 저 멀리 사라져버렸다.","But the moment we started the attack, Astaroth disappeared far away, memorizing the spell.",
,64,14,꿈의 세계,고대신룡,변신,카데스의 힘이다! 서둘러! 아직 근처에 있으니 절대 놓치면 안돼!,"The power of Kades! Hurry up! She's still nearby, don't miss her!",
,,,,퀘스트,,"물의 봉인지에서 아스타로트를 쫓아가자.
(물의 봉인지에 퀘스트 표시)",Chase Astaroth to the land of water.,
,65,1,아르하 월드,주인공,,"정말 도망 하나는 기가막히게 잘 치는 녀석이다. 물의 봉인지까지 도망치다니. 하지만 결국 추적에 성공했고, 아스타로트는 절벽 끝에 몰리고야 말았다.","She is very fast. How dare she run to the land of water. But in the end, the trace was successful, and Astaroth was driven to the edge of the cliff.",
,65,2,아르하 월드,렉스톤,변신,"헉, 헉. 힘들어 죽겠구만! 이젠 항복해! 더 이상 도망칠 곳은 없다!","Oh, damn. You're killing me! Now surrender! There's nowhere to run!",
,65,3,아르하 월드,아스타로트,웃음,"큭큭큭, 어림없는 소리. 이곳은 내 영역이다. 그냥 도망만 친 줄 아나보지?",This is my territory. You think I just ran away?,
,65,4,아르하 월드,주인공,,"다음 순간, 아스타로트의 손짓 한번에 엄청난 수의 몬스터가 우릴 둘러쌌다.","The next moment, an enormous number of monsters surrounded us in one gesture by Astaroth.",
,65,5,아르하 월드,아스타로트,웃음,"전부 끝이다. 너희는 전부 여기서 죽는다. 한 명도 남기지 않고, 모두 죽는다.",It's all over. All of you are going to die here.,
,65,6,아르하 월드,솔라,,혹시...... 혹시 당신은......,Do you... do you...,
,65,7,아르하 월드,아스타로트,분노,공격해라! 저 가증스러운 테이머를 죽여라! 드래곤은...... 살려둬라.,Attack! Kill that abominable human and keep dragons alive.,
,65,8,아르하 월드,주인공,,세 수호룡의 표정이 이상했다. 아스타로트는 원래 이상했지만 지금은 더 이상하게 광기에 차있었다.,"The three guardians looked strange. Astaroth was originally strange, but now she was strangely obsessed.",
,65,9,아르하 월드,주인공,,서로 알던 사인가? 내 의문은 몬스터의 갑작스러운 공격과 함께 사라졌다.,Do you know each other? My question disappeared with the monster's sudden attack.,
,,,,퀘스트,,"물의 봉인지에서 아스타로트의 몬스터를 무찌르자 (0/15)
(물의 봉인지에 퀘스트 표시)",Defeat the monsters of Astaroth at the land of water.,
,66,1,아르하 월드,주인공,,수호룡들은 명백히 이상했다. 전투 중에도 계속 정신을 못차리고 넋을 놓기도 했다. 하지만 결국 무사히 승리할 수 있었다.,The guardians were obviously strange. They continued to lose consciousness during the battle. But we could win safely in the end.,
,66,2,아르하 월드,고대신룡,변신,"아스타로트! 이젠 정말로 끝이다! 네 몬스터는 모두 쓰러졌고 도망칠 곳도 없어!
순순히 항복해라!","Astaroth! That's it! All your monsters are down and there's nowhere to run!
Surrender!",
,66,3,아르하 월드,아스타로트,분노,"닥쳐라! 감히 네깟놈들이, 이 아르하에서 날 이기겠다고? 아직 싸움은 끝나지 않았어!","Shut up! How dare you, win against me? This fight is not over yet!",
,66,4,아르하 월드,주인공,,기세 좋은 허세였다. 이미 아스타로트는 항복하는 길 이외에는 방법이 없었다.,It was a bluff. Astaroth had no choice but to surrender.,
,66,5,아르하 월드,렉스톤,변신,내가 가서 한대 쥐어박고 데려올게.,Let me do something to her.,
,66,6,아르하 월드,솔라,,안돼! 잠깐만 렉스톤! 기다려라. 저사람...... 아니 저 분은......,"No! Wait! Rexton! Wait! That man ...... No, he's ...",
,66,7,아르하 월드,주인공,,그순간 어디선가 세찬 바람이 불어닥쳤다. 아스타로트의 마법인가 싶어 순간 경계했지만 몰아닥치는 바람에 비틀거리며 넘어진 건 그쪽도 마찬가지였다.,"At that moment, a strong wind blew somewhere. We tought that was a magic of Astaroth, but it was the same thing that she stumbled and fell.",
,66,8,아르하 월드,렉스톤,변신,누구야 저 녀석들은?,Who are they?,
,66,9,컷씬5,주인공,,렉스톤의 외침에 하늘을 쳐다보니 세 마리의 드래곤이 이곳으로 내려오고 있었다. 모두 처음 보는 드래곤들이었다.,"When I looked up at Rexton's cry, three dragons were coming down here. All of them were new to me.",컷씬5에서 고신 기절
,66,10,컷씬5,주인공,,하지만 아무래도 그 세 드래곤들은 우리를 아는 모양이다. 저렇게 적의가 가득한 매서운 눈빛을 한 걸 보니 말이다.,But the dragons seem to know us. Seeing there fierce look filled with hostility.,
,66,11,컷씬5,아스타로트,분노,왜 너희들이 여기에 있어! 당장 꺼지지 못할까!,Why are you guys here! Get out of here!,
,66,12,컷씬5,주인공,,"그 중 푸른 드래곤이 고갯짓을 하자 나머지 두 드래곤이 아스타로트를 안고 날아가기 시작했다. 아스타로트는 계속 발광했지만, 드래곤들은 묵묵부답이었다.","Among them, the blue dragon shook his head and the other two started flying with Astaroth. She struggled, but the dragons remained silent.",
,66,13,컷씬5,렉스톤,변신,그냥 가게 두면 어떡해! 어서 쫓아가!,Why don't you just let them go! Go after them!,
,66,14,컷씬5,???,,그럴 필요 없다. 너흰 쫓아가지 못해.,There is no need. You can't.,
,66,15,컷씬5,주인공,,누구냐 넌!,Who are you?,
,66,16,컷씬5,???,,"아마 날 잘 알고 있을텐데, 솔라.","You probably know me well, Solar.",
,66,17,컷씬5,주인공,,이게 무슨 말이지? 솔라는 아무런 대답도 하지 못하고 혼란스런 표정만 지을 뿐이었다. 포폰과 제피로스 역시 마찬가지였다.,What is that mean? Solar couldn't answer anything and only made a confused look. The same was true of Popon and Zephyros.,
,66,18,컷씬5,???,,"이런...... 너무 상냥하셨군. 렉스톤까지 손을 써두셨을줄이야. 뭐, 모르면 모르는 데로 상관없다. 너희들은 그분을 위해 죽어줘야겠다.","Oh... you were so sweet. Well, it doesn't matter if you don't know. You must die for him.",
,,,,퀘스트,,"정체를 알 수 없는 드래곤을 무찌르자
(물의 봉인지에 퀘스트 표시)(실화전투, 능력치 30%로 하향)",Defeat the unknown dragon.,
,67,1,아르하 월드,주인공,,푸른 드래곤은 막강한 힘을 가지고 있었다. 그야말로 이건 마치......,The blue dragon was so powerful. It's like...,
,67,2,아르하 월드,고대신룡,변신,......수호룡에 비견될만한 힘이군.,You have the power of a guardian dragon.,
,67,3,아르하 월드,???,,큭큭큭. 빛의 첫 번째 자손이라...... 아주 그럴싸해. 그럴싸한 이름이야. 아무짝에도 쓸모없음에도 이름은 거창하군.,"Hahaha... The first descendent of light. That's a very plausible name. You're useless, but your name is grand.",
,67,4,아르하 월드,포폰,,너 뭐야! 대체 누구야!,Who the hell are you?,
,67,5,아르하 월드,???,,"포폰, 넌 여전히 겁이 많구나. 강한 힘을 가지고도 용기있게 덤비질 못하다니.","Popon, you're still very scared. You can't go at me with courage even with such strong power.",
,67,6,아르하 월드,주인공,,대체 누구냐 넌! 왜 포폰을 알고 있는거지!,Who are you? How do you know Popon?,
,67,7,아르하 월드,???,,함부로 말 걸지 마라 미천한 인간아. 지금 네놈과 말을 섞고 싶진 않다.,"Don't talk freely, human. I don't want to mix you with me now.",
,67,8,아르하 월드,주인공,,"마치 벌레를 쳐다보는 것 같은 눈빛이었다. 나 따윈 아무것도 아니라는 듯, 오만하고 차가운 시선이었다.","It was like looking at a bug. As if I were nothing, it was an arrogant cold stare.",
,67,9,아르하 월드,솔라,,넌...... 넌 대체 누구지? 왜 우릴 알고 있는거냐?,Who... who are you? How do you know about us?,
,67,10,아르하 월드,???,,"크하하하하! 표정이 아주 가관이군. 그래도 널 한때 존경했었다 솔라. 수호룡의 수장이자, 아르하에서 가장 밝은 빛을 내뿜는 널 말이다.","Ha ha ha! What a sight! But I once respected you, Solar. The head of the guardians, the brightest light in Archa.",
,67,11,아르하 월드,제피로스,,"포폰도 알고, 솔라도 알고, 그럼 나도 알겠군.","You know Popon, you know Solar, and you will know me.",
,67,12,아르하 월드,???,,제피로스...... 움직임 만큼이나 눈치도 빠르던 놈이 지금은 왜 이러는지 모르겠군.,Zephyros... I don't know what's going on with you now.,
,67,13,아르하 월드,주인공,,솔라의 얼굴이 일그러졌다. 그리고 난 느낌이 왔다. 눈치 빠른 제피로스는 이미 망연자실한 표정을 짓고 있었다.,Solar's face was distorted. And I felt. Slippy Zephyros already had a devastating look on his face.,
,67,14,아르하 월드,주인공,,넌 물의 수호룡이군.,You should be a guardian dragon of water.,
,67,15,아르하 월드,???,,함부로 끼어들지 말라고 했건만 말귀를 못 알아듣는군.,"I told you not to intervene, but you don't understand.",
,67,16,아르하 월드,주인공,,왜 아스타로트를 보호하는거냐. 그리고 왜 우리와 싸우는 거지? 솔라는 너와 같은 아르하의 수호룡이라고!,Why are you protecting Astaroth? And why are you fighting with us? Solar is a guardian just like you!,
,67,17,아르하 월드,???,,저 세 녀석은 아르하의 수호룡이 아니다. 나야말로 진정한 아르하의 수호룡이지.,"Those three are not the guardians of Archa, but I am.",
,67,18,아르하 월드,주인공,,아스타로트는 아르하를 파괴한 카데스의 부하다! 그런 아스타로트를 지키는 네가 어떻게 아르하의 수호룡이란거야!,How can you protect Astaroth! She is Kades ' man who destroyed Archa! ,
,67,19,아르하 월드,주인공,,그때 솔라가 조용히 앞으로 나서며 나를 막았다.,Then Solar quietly stepped forward and stopped me.,
,67,20,아르하 월드,솔라,,부탁이 있다. 부디 네 이름을 알려다오.,I have a favor to ask. Please tell me your name.,
,67,21,아르하 월드,주인공,,"푸른 드래곤은 침묵했다. 솔라도 아무 말 없이 그 드래곤을 바라봤다. 이게 대체 뭔가 싶을 정도로 긴 시간이 흐른 후, 드래곤은 대답했다.","The blue dragon was silent. Solar stared at the dragon without saying anything. After a long time, the dragon answered.",
,67,22,아르하 월드,블리자드,,내 이름은 블리자드. 물의 수호룡이다.,My name is Blizzard. Guardian dragon of water.,
,67,23,아르하 월드,렉스톤,변신,아 맞다! 그거였어! 드디어 생각났다!,"Oh, that's right! That was it! Finally I remembered!",
,67,24,아르하 월드,주인공,,렉스톤이 손뼉을 치며 환호했다가 분위기를 읽고 다시 조용해졌다. 블리자드는 다시금 솔라를 물끄러미 쳐다보다가 다시 하늘 너머로 사라졌다.,Rexton clapped his hands and read the atmosphere and fell silent again. Blizzard stared at Solar again and disappeared over the sky again.,
,67,25,아르하 월드,주인공,,그 누구도 블리자드를 막지 못했다. 솔라는 복잡한 표정을 짓고 있었다.,No one has stopped Blizzard. Solar had a complicated look on his face.,
,,,,퀘스트,,"꿈의 세계에 있는 전초기지로 돌아가자.
(거대한 문에 퀘스트 표시)",Go back to the outpost at the world of dreams.,
