,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,
,85,50,증명의탑,주인공,,"아무래도 납득할 수 없었던 나는 아스타로트에게 다가갔다. 어떻게든 언니를, 여신님을 말려보라고 말할 작정이었다.","Unconvincing, I approached Astaroth. I was going to tell her to stop her sister.",
,,,,퀘스트,,"아스타로트를 설득해보자.
(증명의 탑에 퀘스트 표시)",Try to persuade her.,
,86,1,증명의탑,엔더 드래곤,,이건...... 대단하군.,This is... amazing.,
,86,2,증명의탑,쉴라 여신,,살아가는 자들이 빚어낸 탄생의 힘입니다. 이정도면 충분하겠죠?,The power of birth made by living thing. It should be enough for you.,
,86,3,증명의탑,엔더 드래곤,,"충분하다. 정말 놀랐다. '파멸'을 피하는 힘이라니, 단 한번도 맛보지 못했군.","Yes, it is. I really surprised. The power to avoid the doom. I've never seen it before.",
,86,4,증명의탑,쉴라 여신,,"그건 자랑스럽군요. 태초의 어둠, 그 날개 한조각에게 '놀람'을 선사할 수 있다니 말이죠.","You make me proud. I didn't expect I can surprise a wing of Kades, the beginning of the darkness.",
,86,5,증명의탑,엔더 드래곤,,"아스타로트...... 아니, 네 동생이 말했다. 끝은 자신이 선택하는 것이라고.","Astaroth... No, your sister told me so. She will choose the end.",
,86,6,증명의탑,쉴라 여신,,"어머, 꽤 건방진 말을 했네요.","Oh, that's pretty cute.",
,86,7,증명의탑,엔더 드래곤,,지금의 나로선 부정할 수 없는 말이다. 너희들은 자신의 끝을 선택했구나. 적어도 지금 이 순간은 아닌 것으로.,There is no denying to me now. You've chosen your end. Not at least at this moment...,
,86,8,증명의탑,쉴라 여신,,당신은...... 정말로 카데스의 조각인가요? 당신이 하는 말은 카데스가 하는 말인가요?,Are you... really a piece of Kades? Is that what Kades says?,
,86,9,증명의탑,엔더 드래곤,,"그렇다고도 할 수 있고, 아니라고도 할 수 있지. 나는 동일하지만 분리된 개체로 존재한다. 너희 신들로서도 알 수 없는 영역이다.","Yes, and no. I am an identical but separate entity. This is an area beyond your goddess.",
,86,10,증명의탑,쉴라 여신,,전부터 느끼긴 했어요. 당신은 우리가 알고 있던 '어둠의 신'의 느낌이 아니군요. 그렇다면 당신은 대체......,I've felt it before. You are not the 'god of darkness' we know. Then you are...,
,86,11,증명의탑,아스타로트,화남,기다려!,Wait!,
,86,12,증명의탑,주인공,,"내 설득이 통했는지는 모르겠다. 적어도 아스타로트는 자신의 언니, 쉴라 여신님을 부르고 있었다.","I don't know if my persuasion worked. At least Astaroth was calling her sister, the goddess Shilla.",
,86,13,증명의탑,쉴라 여신,,시렐라? 왜 그러니?,Sirella? What's the matter?,
,86,14,컷씬7,아스타로트_NO,X,내가 잘못했어! 언니 말이 맞아! 난...... 난 다시 그렇게 못해. 나도 내가 잘못했다고 알고 있었어! 그냥 겁이 났던 것 뿐이야!,It's my fault! You're right! I... I can't do it again. I knew I was wrong! I was just scared!,
,86,15,컷씬7,쉴라 여신_NO,X,"이런, 또 우네. 울보같으니. 후후.","Oh, come on. What a crybaby! Haha.",
,86,16,컷씬7,아스타로트_NO,X,다 내가 잘못한거야! 내가 잘 했다면 우리도 싸워 이겼을거야! 내가 잘못했으니 제발 가지 마!,"I did everything wrong! If I had done well, we would have fought and won! Please don't go!",
,86,17,컷씬7,쉴라 여신_NO,X,"아, 이런. 그게 아니야. 그게 아니란다. 내가 떠나는 건 너 때문이 아니야 시렐라. 이건 내가 선택한 내 마지막이야.","Oh, no. That's not it. I'm not leaving because of you, Sirella. This is my last choice.",
,86,18,컷씬7,아스타로트_NO,X,아니야! 나만 잘했다면 지금이 아니었을거야! 그냥 내가 사라질게! 그러니 제발 가지 마 언니!,"No! If I had done well, it would not be now. I'll just disappear! So please don't go, sister!",
,86,19,컷씬7,엔더 드래곤_NO,X,"넌 잘했다. 넌 네 의지로 '지금까지' 아르하의 파멸을 잘 막았다. 그 결과 지금의 아르하는 파멸로부터 멀리 떨어졌지. 음, 이게 '실패'인가. 난 실패했군.","You did a good job. You have successfully prevented the destruction of Archa by your will. As a result, Archa is far from ruin now. Well, is this a failure? I failed.",
,86,20,컷씬7,쉴라 여신_NO,X,그렇다네. 들었지? 넌 잘한거야. ,That's right. You hear that? You did a good job.,
,86,21,컷씬7,아스타로트_NO,X,저딴놈 말 듣지 마! 언니가 없어지는데 뭘 잘한거야!,Don't listen to him! What did I do for my sister's disappearance?,
,86,22,컷씬7,주인공,,여신님의 빛무리가 점점 거대한 빛무리에 섞여들기 시작했다. 엔더 드래곤의 거대한 몸도 바닥에 쓰러졌다. 아스타로트는 더 크게 울부짖었다.,The goddess's flock of lights began to intermingle into the great mass of light. Ender Dragon's huge body also collapsed on the floor. Astaroth cried out loud.,
,86,23,컷씬7,아스타로트_NO,X,"아아...... 안돼...... 가지 마, 가지 마 언니!","Ah... no... don't leave me, stay with me, sister!",
,86,24,컷씬7,쉴라 여신_NO,X,너라면 잘 할 수 있어. 수호룡을 믿으렴. 유타칸의 새로운 동료와도 잘 지내고. 어...... 그리고 해골 그거 진짜 아니지? 얼른 떼렴.,"You can do well. Believe the guardians. Get along well with Utahkhan's new friend. Uh... and the skull isn't real, is it? Get it off.",
,86,25,컷씬7,아스타로트_NO,X,장난치지 말고 제발...... 아니 장난쳐도 되니 가지마 언니......,"Please don't... no, don't go.",
,86,26,컷씬7,주인공,X,하늘의 빛은 점점 사라지고 있었다. 아스타로트...... 아니 시렐라 여신은 더 이상 그쪽을 바라보지 않았다. 그저 고개를 숙이고 흐느낄 뿐.,"The light in the sky was fading away. Astaroth... No, Sirella no longer looked at that. She just cry with her head down.",
,86,27,컷씬7,솔라_NO,X,시렐라님. 쉴라 여신님이 떠나십니다. 고개를 드시죠.,"Sirella, the goddess Shilla is leaving. Raise your head.",이름표 안뜸
,86,28,증명의탑,주인공,,솔라가 시렐라 여신을 일으켰다. 시렐라 여신은 하늘을 바라보며 다시 한번 크게 통곡했다. 슬픈 울음소리였다.,"Solar raised the goddess Sirella. The goddess Sirella wept again, looking up at the sky. It was a sad cry.",
,86,29,증명의탑,솔라,,쉴라 여신님은 자신의 의지로 아르하를 지키셨습니다. 시렐라 여신님도...... 지금까지 나름의 방법으로 아르하를 지켜주셨군요.,"Goddess Shilla protected Archa with her own will. Goddess Sirella, you have protected Archa in your own way.",
,86,30,증명의탑,드래곤 슬레이어,변신,아무렴. 너무 잘지켰지. 유타칸까지 와서 나까지 깨울 정도......,Of course. She kept it so well. She did well enough to come Utahkhan and wake me...,
,86,31,증명의탑,주인공,,난 도끼눈을 뜨고 드래곤 슬레이어를 쳐다봤다. 드래곤 슬레이어는 픽 웃으며 입을 다물었다.,I stared at Dragon slayer. Dragon slayer smiled and closed his mouth.,
,86,32,증명의탑,다크나이트,,쉴라 여신님을 잃은 슬픔과 고통은 저희들도 뼈저리게 느끼고 있습니다. 하지만 일어서야 합니다. 모든 건 이제 시작입니다.,We are also deeply aware of the loss of goddess Shilla. But you have to stand up. Everything is just about to start.,
,86,33,증명의탑,블리자드,,아직 남은 카데스의 잔재를 몰아내야죠. 예전의 아르하로 돌아갈 길이 멉니다.,Let's get rid of the remnants of the Kades. It's a long way back to Archa of the past.,
,86,34,증명의탑,고대신룡,변신,네가 저지른 일을 잊지는 않았다. 하지만 적어도 지금까지처럼 적대할 일은 없겠지.,"I will remember what you did. But I don't have to be hostile to you, at least for a while.",
,86,35,증명의탑,주인공,,앞으로는 뭐...... 동료겠네. 카데스에게 저항하기 위한 동료. 힘을 합쳐야 할 일이 많을거야.,So... you became one of us. The team to against Kades. We have lot of things to do.,
,86,36,증명의탑,렉스톤,변신,그러니까 그만 울어. 포폰도 울잖아.,"So, stop crying. You're making Popon cry, too.",
,86,37,증명의탑,주인공,,서럽게 울던 시렐라 여신은 자신의 옆에서 같이 울던 포폰을 껴안았다. 포폰도 마주 안고 같이 울었다.,"Sirella, who cried sadly, hugged Popon, who was crying with her. They hugged each other and wept together.",
,86,38,증명의탑,주인공,,아무도 그 둘을 말리지 않았다. 눈물이 모두 마를 때까지 둘은 서럽게 울었다. 지켜보던 나까지 눈물이 날뻔 했다.,Nobody stopped the two. They wept sadly until the tears dried up. I almost cried when I was watching.,
,86,39,증명의탑,아스타로트,보통,......가자.,Let's go...,
,86,40,증명의탑,주인공,,얼마나 시간이 흘렀을까. 긴 울음 끝에 쉴라 여신이 사라진 하늘을 바라본 시렐라 여신은 자리에서 일어나 짧게 한마디를 했다.,"After a long cry, Sirella stood up and said a short word, looking up at the sky where the goddess Shilla had disappeared.",
,86,41,증명의탑,아스타로트,보통,시렐라 여신은 카데스에게 잡혀 죽었다. 앞으로 날 아스타로트라고 불러라.,"The goddess Sirella was killed by Kades. From now on, call me Astaroth.",
,86,42,증명의탑,주인공,,너 혹시......!,Did you ......!,
,86,43,증명의탑,아스타로트,보통,착각하지 마라. 유타칸과의 동맹은 유지할 생각이다. 그리고 난 아르하의 여신으로 활동할 예정이다. 다만...... 더 이상 그 이름은 쓰지 않겠다.,Don't get me wrong. I will form an alliance with Utahkhan. And I'm going to act as the goddess of Archa. But... I won't use that name any more.,
,86,44,증명의탑,솔라,,하지만......,But...,
,86,45,증명의탑,아스타로트,보통,결정 사항에 대해서 더이상 토달지 마라. 앞으로 내 말은 여신의 뜻이니 그렇게 따라라.,"Don't oppose my decision. That's how I say it, for it is the will of the goddess.",
,86,46,증명의탑,주인공,,강력한 카리스마였다. 어린아이같이 울부짖던 모습은 어디서도 찾을 수가 없었다.,It was a charisma. I couldn't find a child crying anywhere.,
,86,47,증명의탑,다크나이트,,알겠습니다 아스타로트 여신님. 당신의 뜻에 따르겠습니다.,"Yes, goddess Astaroth. I will follow your will.",
,86,48,증명의탑,아스타로트,보통,앞으로 할 일이 많다. 수호룡들은 앞으로도 솔라를 수장으로 삼아......,There is a lot to be done. All guardian dragons will under the command of Solar and...,
,86,49,증명의탑,주인공,,그 순간 갑자기 엔더 드래곤이 몸을 서서히 일으키기 시작했다. 분명 아까 전에 쓰러지고 꼼짝도 하지 않았을텐데?,"Suddenly, Ender Dragon slowly began to get up. Must have fallen down and not moved?",
,86,50,증명의탑,렉스톤,변신,"뭐야 갑자기? 너 아까 여신님이랑 같이 떠났잖아! 이제와서 돌아오면, 으아악!",What?! You left with the goddess earlier! Aaaagh!,
,86,51,증명의탑,주인공,,"엔더 드래곤은 손을 뻗어 렉스톤을 덮쳤고, 렉스톤은 간신히 그 공격을 피했다. 뭔가 이상했다. 아까 전의 그 엔더 드래곤이 아니었다.",Ender Dragon reached for Rexton and Rexton avoided the attack. Something was wrong. It was not the same Ender Dragon that he used to be.,
,86,52,증명의탑,고대신룡,변신,"아, 그렇군. 엔더 드래곤은 그냥 껍데기다. 그 안에 깃든 파멸의 본질인 카데스의 날개 한장은 돌아갔을거야.","Oh, I see. Ender Dragon is just a shell. One wing of Kades, the essence of destruction in it, must have gone back.",
,86,53,증명의탑,주인공,,그 말은......?,That means...?,
,86,54,증명의탑,고대신룡,변신,"이제 저건 그냥 드래곤이다. 파멸의 의지는 잃었겠지만 그 흔적이 남아있는 아주 거대하고 강력한...... 음, 이런.","Now that is just a dragon. The will to ruin may have been lost, but it's a huge and powerful... well...",
,86,55,증명의탑,드래곤 슬레이어,변신,난 모른다.,I don't know.,
,86,56,증명의탑,주인공,,비겁한 놈 같으니! 드래곤 슬레이어는 순식간에 탑 아래로 사라져버렸다. 하지만 방법이 없었다. 이미 우리는 긴 싸움으로 엉망진창이었으니까.,What a coward! The Dragon slayer ran quickly down the tower. But there was no way. We were already exhausted from a long fight.,
,86,57,증명의탑,아스타로트,보통,첫 명령이 정해졌다.,This is my first order.,
,86,58,증명의탑,솔라,,말씀하시죠.,"Aye, aye ma'am.",
,86,59,증명의탑,주인공,,"아스타로트는 웃는 듯 우는 듯, 잔뜩 일그러진 표정으로 크게 외쳤다.","Astaroth shouted loudly, with a distorted look on her face.",
,86,60,증명의탑,아스타로트,화남,도망쳐라!,Run!,
,,,,퀘스트,,"전초기지로 돌아가 지부장님께 보고하자
(아르하 월드에 있는 거대한 문에 퀘스트 표시)",Go back to outpost and report to branch manager.,
