TID,KR,EN,TW,JP
ADVENTURE_AUTO_START_ALERT,자동 탐험을 시작하시겠습니까?\n[주의: 자동 탐험 고급 옵션의 설정을 확인해주세요.],Are you sure you want to start Auto Adventure?\n[Caution: Check the Auto Advanced Options],您要開始自動探索嗎？\n[注意：請檢查自動探索的進階選項設置。],
ADVENTURE_FIND_RAID_END,이 전투엔 많은 준비가 필요하다.\n나중에 다시 도전해보자.,I think we need more preparation to win the battle.\nTry again later.,這場戰鬥需要大量準備。\n稍後再挑戰吧,
ADVENTURE_INTRO_0,당신은 희망의 숲으로 탐험을 떠났습니다.\n숲의 으슥한 곳에서 시선이 느껴집니다.,You ventured into the Forest of Hope.\nSomething seems to linger in the shades of the forest.,您前往希望之森探險。\n在森林幽暗的角落，感受到一道視線。,
ADVENTURE_INTRO_1,당신은 난파선으로 탐험을 떠났습니다.\n배의 잔해가 여기저기 흩어져 있습니다.,You ventured out to the Wrecked Ship.\nYou see the ship's debris near the beach.,您前往沉船探險。\n船隻殘骸四處散落。,
ADVENTURE_INTRO_2,당신은 불의 산으로 탐험을 떠났습니다.\n불의 기운이 느껴집니다.,You ventured out to the Fire Mountains.\nYour dragon feels the heat from the blazing mountain.,您前往火焰之山探險。\n感受到炙熱的火焰氣息。,
ADVENTURE_INTRO_3,당신은 바람의 신전으로 탐험을 떠났습니다.\n바람의 정기가 충만한 곳입니다.,You ventured into the Temple of the Wind.\nThe temple is full of windy elements.,您前往風之神殿探險。\n這裡充滿著風之精氣。,
ADVENTURE_INTRO_4,당신은 하늘의 신전으로 탐험을 떠났습니다.\n신성한 기운이 느껴지는 곳입니다.,You ventured into the Sky Temple.\nYour dragon feels the holiness of the temple.,您前往天空神殿探險。\n這裡散發著神聖的氣息。,
ADVENTURE_INTRO_5,당신은 무지개 동산으로 탐험을 떠났습니다.\n신비한 기운이 감도는 곳입니다.,You ventured into the Rainbow.\nThe place looks very interesting.,您前往彩虹丘陵探險。\n這裡瀰漫著神秘的氣息。,
ADVENTURE_INTRO_6,당신은 어둠의 제단으로 탐험을 떠났습니다.\n어둠의 기운이 감돕니다.,You are exploring dark altar.\nDark forces are around you.,您前往黑暗祭壇探險。\n黑暗的氣息瀰漫其中。,
ADVENTURE_INTRO_7,당신은 나무 던전으로 탐험을 떠났습니다.\n차갑고 음침한 기운이 감도는 곳입니다.,You ventured into the Tree Dungeon.\nThe place is very humid and wet.,您前往樹之迷宮探險。\n這裡瀰漫著冰冷而陰森的氣息。,
ADVENTURE_INTRO_8,당신은 고룡의 무덤으로 탐험을 떠났습니다.\n무덤이라니... 귀신이 나올지도 모릅니다.,"You are exploring tomb of ancient dragon.\nIt's a mysterious place, becareful!",您前往古龍之墓探險。\n這裡是墳墓……或許會有幽靈出沒。,
ADVENTURE_INTRO_9,당신은 지하 던전으로 탐험을 떠났습니다.\n어둡고 뜨거운 기운이 감도는 곳입니다.,You ventured into the Under Dungeon.\nThe place is dark and full of mystery.,您前往地下迷宮探險。\n這裡瀰漫著黑暗而炙熱的氣息。,
ADVENTURE_INTRO_10,당신은 별빛의 산호초로 탐험을 떠났습니다 .\n아름다운 산호초들 뒤로 수상한 살기가 느껴집니다.,"You are on your journey to starlight coral leaf.\nBehind the beautiful coral, a suspicious danger is felt.",您前往星光珊瑚礁探險。\n美麗的珊瑚礁後方，隱約感受到詭異的殺氣。,
ADVENTURE_INTRO_11,당신은 청록의 해저화산으로 탐험을 떠났습니다.\n터질 듯한 해저 화산 사이로 묘한 인기척이 감돕니다.,"You are on your journey to aeruginous submarine volcano.\nBetween the flowing volcanos, a peculiar presence is felt.",您前往青綠海底火山探險。\n在隨時可能噴發的海底火山間，瀰漫著奇異的氣息。,
ADVENTURE_INTRO_12,당신은 고요의 암석터로 탐험을 떠났습니다.\n으슥한 그늘 뒤에 무언가 움직임이 느껴집니다.,"You are on your journey to a calm lithosphere.\nBehind the dark shadows, movenment is sensed.",您前往寂靜岩石遺跡探險。\n在幽暗的陰影後方，感覺到某種動靜。,
ADVENTURE_INTRO_13,여기가 G스컬이 있는 신전인가...?,Is this temple where G Skull is...?,這裡就是有 G骷髏的神殿嗎……？,
ADVENTURE_INTRO_14,당신은 옛 성터로 탐험을 떠났습니다.\n폐허만 남은 쓸쓸하고 적막한 곳입니다.,You began exploring Old Castle Ruins. It is a desolate place with only ruins remaining.,您前往舊城遺跡探險。\n這裡只剩下廢墟，荒涼而寂靜。,
ADVENTURE_INTRO_15,당신은 메마른 평원으로 탐험을 떠났습니다.\n생기를 잃은 황량함이 평원을 가득 채우고 있습니다.,You began exploring Dry Plains. \nLifelessness fills the plain.,您前往乾枯平原探險。\n失去生機的荒涼感籠罩整片平原。,
ADVENTURE_INTRO_16,당신은 망자의 은신처로 모험을 떠났습니다.\n드래곤 슬레이어의 음험한 기운에 숨이 막힐 정도입니다.,You began exploring Hideout of Dead. \n Dragon Slayer's evil force is suffocating.,您前往亡者的隱藏處探險。\n屠龍者的陰森氣息令人窒息。,
ADVENTURE_INTRO_17,당신은 꿈의 마당으로 탐험을 떠났습니다.,,您前往夢之庭院探險。,
ADVENTURE_INTRO_18,당신은 꿈의 잔재로 탐험을 떠났습니다.,,您前往夢之殘跡探險。,
ADVENTURE_INTRO_19,당신은 몽환의 탑으로 탐험을 떠났습니다.,,您前往夢幻之塔探險。,
ADVENTURE_INTRO_20,당신은 빛의 봉인지로 탐험을 떠났습니다.\n아르하의 옛 모습이 남아있는 곳입니다.,You went on an expedition to the land of light.\nThis is where the beautiful scenes of the old Archa are left.,您前往光之封印地探險。\n這裡仍殘留著阿爾哈昔日的痕跡。,
ADVENTURE_INTRO_21,당신은 바람의 봉인지로 탐험을 떠났습니다.\n아르하의 옛 모습이 남아있는 곳입니다.,You went on an expedition to the land of wind.\nThis is where the beautiful scenes of the old Archa are left.,您前往風之封印地探險。這裡仍殘留著阿爾哈昔日的痕跡。,
ADVENTURE_INTRO_22,당신은 불의 봉인지로 탐험을 떠났습니다.\n아르하의 옛 모습이 남아있는 곳입니다.,You went on an expedition to the land of fire.\nThis is where the beautiful scenes of the old Archa are left.,您前往火之封印地探險。\n這裡仍殘留著阿爾哈昔日的痕跡。,
ADVENTURE_INTRO_23,당신은 물의 봉인지로 탐험을 떠났습니다.\n아르하의 옛 모습이 남아있는 곳입니다.,You went on an expedition to the land of water.\nThis is where the beautiful scenes of the old Archa are left.,您前往水之封印地探險。\n這裡仍殘留著阿爾哈昔日的痕跡。,
ADVENTURE_INTRO_24,당신은 땅의 봉인지로 탐험을 떠났습니다.\n아르하의 옛 모습이 남아있는 곳입니다.,You went on an expedition to the land of earth.\nThis is where the beautiful scenes of the old Archa are left.,您前往土之封印地探險。\n這裡仍殘留著阿爾哈昔日的痕跡。,
ADVENTURE_INTRO_25,당신은 어둠의 봉인지로 탐험을 떠났습니다.\n아르하의 옛 모습이 남아있는 곳입니다.,You went on an expedition to the land of darkness.\nThis is where the beautiful scenes of the old Archa are left.,您前往暗之封印地探險。\n這裡仍殘留著阿爾哈昔日的痕跡。,
ADVENTURE_NAME_0,희망의 숲,Forest of Hope,希望之森,
ADVENTURE_NAME_1,난파선,Wrecked Ship,船骸,
ADVENTURE_NAME_2,불의 산,Fire Mountains,火山,
ADVENTURE_NAME_3,바람의 신전,Wind Temple,風之神殿,
ADVENTURE_NAME_4,하늘의 신전,Sky Temple,天空神殿,
ADVENTURE_NAME_5,무지개 동산,Rainbow,彩虹樂園,
ADVENTURE_NAME_6,어둠의 제단,Dark Altar,黑暗祭壇,
ADVENTURE_NAME_7,나무던전,Tree Dungeon,樹木地牢,
ADVENTURE_NAME_8,고룡의 무덤,Bone Yard,古龍之墓,
ADVENTURE_NAME_9,다크닉스,DarkNix,黑暗尼斯,
ADVENTURE_NAME_10,별빛의 산호초,Starlight Coral Leaf,星光珊瑚礁,
ADVENTURE_NAME_11,청록의 해저화산,Submarine volcano,碧綠海底火山,
ADVENTURE_NAME_12,고요의 암석터,Calm lithosphere,寂靜岩場,
ADVENTURE_NAME_13,G스컬,G-Skull,G-Skull,
ADVENTURE_NAME_14,옛 성터,Old Castle Ruins,舊城址,
ADVENTURE_NAME_15,메마른 평원,Dry Plains,乾涸平原,
ADVENTURE_NAME_16,드래곤 슬레이어,Dragon Slayer,屠龍者,
ADVENTURE_NAME_17,꿈의 마당,Garden Of Dreams,夢之庭院,
ADVENTURE_NAME_18,꿈의 잔재,Vestige Of Dreams,夢的殘餘,
ADVENTURE_NAME_19,몽환의탑,Top Of Dreams,夢幻之塔,
ADVENTURE_NAME_20,빛의 봉인지,Land of light,光之封印,
ADVENTURE_NAME_21,바람의 봉인지,Land of wind,風之封印,
ADVENTURE_NAME_22,불의 봉인지,Land of fire,火之封印,
ADVENTURE_NAME_23,물의 봉인지,Land of water,水之封印,
ADVENTURE_NAME_24,땅의 봉인지,Land of earth,土之封印,
ADVENTURE_NAME_25,어둠의 봉인지,Land of darkness,暗之封印,
ADVENTURE_OPTION_EXIT_0,드래곤이 레벨업하여 자동 탐험을 종료합니다.,Dragon grows and ends Auto-Adventure.,龍升級，自動探索結束。,
ADVENTURE_OPTION_EXIT_1,Lv - 1 아이템이 부족하여 자동 탐험을 종료합니다.,End Auto-Adventure due to lack of Lv -1 item.,Lv - 1 道具不足，自動探索結束。,
ADVENTURE_OPTION_EXIT_2,먹이가 부족하여 자동 탐험을 종료합니다.,End Auto-Adventure due to lack of food.,餌不足，自動探索結束。,
ADVENTURE_OPTION_EXIT_3,치료제가 부족하여 자동 탐험을 종료합니다.,End Auto-Adventure due to lack of medicine,治療藥不足，自動探索結束。,
ADVENTURE_OPTION_EXIT_4,자동 탐험을 종료합니다.,End Auto-Adventure,自動探索結束。,
ADVENTURE_OPTION_TOAST_TEXT_0,드래곤이 성장하면 자동탐험이 종료됩니다.,Auto ends when the dragon grows.,龍成長後，自動探索結束。,
ADVENTURE_OPTION_TOAST_TEXT_1,"드래곤의 능력치가 최대치로 상승할 때까지 Lv-1 아이템을 자동으로 사용합니다.\n초월, 강림, 진각성 드래곤은 자동 Lv -1 사용이 적용되지 않습니다.","Until all 3 statuses of the Dragon grow to their maximum,\nuse the Lv -1 item automatically.\nTranscended / Awaken / Jin-Awaken Dragons cannot use ""Auto Lv -1"".",龍的能力值將自動使用Lv-1道具，直到達到最大值。\n超越、降臨、真覺醒龍將不會適用自動Lv-1使用。,
ADVENTURE_OPTION_TOAST_TEXT_2,지정한 드래곤으로 자동탐험을 진행합니다.,Designate the dragons,將使用指定的龍進行自動探索。,
ADVENTURE_QUEST_ERROR,퀘스트 내용이 정상적으로 반영되지 못했습니다.,The quest content has not been properly applied.,任務內容未能正常反映。,
adventureComment1,행운의 부적,Talisman,幸運符咒,
adventureComment2,행운의 부적 아이템을 착용하여,Dragon has cured by Talisman,使用幸運符咒,
adventureCommentMsg,<lightgreen>행운의 부적</lightgreen>\n행운의 부적 아이템을 착용하여\n당신의 드래곤이 행동 불능 상태에서 벗어났습니다.,"<lightgreen>Talisman of Fortune</lightgreen>\nFrom power of Talisman of Fortune,\nyour dragon recovered from injury.",<lightgreen>幸運符咒</lightgreen>的技能發動！\n您的神龍免疫於行動不能狀態。,
agree,수락,Allow,接受,
agree2,동의합니다.,Allow,我同意,
agreeDragonPut,드래곤의 승천을 수락 하시겠습니까?,Are you sure you want to allow the Dragon's ascension?,您是否要使用「飛龍在天」？,
ALERT,경고,Alert,Alert,
allReceiveMail,모두받기,receive all,全部領取,
alreadyHaveCard,이미 소지하고 있는 카드 입니다.\n그래도 구매 하시겠습니까?,You already possess the selected Card.\nContinue with purchase anyway?,已經有這張卡了喔.\n還是要購買麼?,
alreadyInTournament,이미 사용된 티켓입니다.\n전과 동일한 결과로 보여집니다.,Ticket has been already used.\nWill show the result for that ticket.,此張入場券已經被使用。\n將會顯示上次的結果。,
alreadyInUse,이미 선택하신 용이 사용 중입니다.,Current dragon is already in use,您選擇的神龍已經在使用此物品。,
alreadyReceived,이미 초대권을 가진 친구 입니다.,Friend already has invitation.,該好友已經擁有招待券.,
altar,어둠의 제단,Dark Altar,黑暗祭壇,
altarExplain,"보스 카이저데몬이 나타나는 던전이다.\n다크닉스 패배 후 나타난 추종자들이 제단을\n짓고 모험가들을 제물로 바치고 있다.\n출현 몬스터 : 다크머더러, 화이트머더러,\n레드크로우, 블루크로우","Dark Altar's boss Kaiser Demon\nhas built the altar for the return \nof Darknix's powers. Adventurers are\nbeing taken as sacrifices.\nMonster : Wraiths, Crows",有凱撒惡魔的地下城。\n達靈斯被擊敗後，有它的追隨者建立神壇，以冒險\n者的性命為祭品祭祀。\n 怪物：魑魅、魍魎、紅鬼靈、\n紫鬼靈,
altarIntro,당신은 어둠의 제단으로 탐험을 떠났습니다.\n어둠의 기운이 감돕니다.,You are exploring dark altar.\nDark forces are around you.,開始在黑暗祭壇進行冒險。\n空氣中瀰漫著濃厚的黑暗氣氛。,
altarItem,획득 아이템 : 버프 드링크,Item : Buf drink,獲得物品：增益效果藥劑,
ANNI_FEVER_WARNNING_1,피버 상태에서 이벤트 창을 닫으면\n피버가 초기화됩니다.,"If you close the event window in the Fever status,\nthe Fever is initialized.",在狂熱狀態下關閉事件視窗，\n狂熱狀態將會重置。,
ANNI_FEVER_WARNNING_2,정말 닫으시겠습니까?,Are you sure you want to close the window?,確定要關閉嗎？,
ANNI_TAG_RESULT_TEXT,이벤트 랭킹 포인트 %d을 획득하셨습니다.,%d event rank point is obtained.,獲得活動排名積分 %d。,
ANNIVERSARY_0,보석 결제,Diamond\npurchase,寶石支付,
ANNIVERSARY_1,일일 로그인,Daily\nlogin,每日登入,
ANNIVERSARY_2,탐험(전투),Adventure,探險（戰鬥）,
ANNIVERSARY_3,"콜로세움\n1:1,3:3","Colosseum\n1:1,3:3","競技場\n1:1, 3:3",
ANNIVERSARY_4,토너먼트,Tournament,錦標賽 ,
ANNIVERSARY_5,7주년 이벤트,7th anniversary,7週年活動,
ANNIVERSARY_6,%s ~ %s까지 진행,From %s to %s,%s ~ %s 期間進行,
ANNIVERSARY_7,모든 정령의 귀속을 해제합니다.,Set all spirits free.,解除所有精靈的綁定。,
ANNIVERSARY_8,이벤트 기간 중 1회만 사용 가능합니다.,Only 1 time available duirng the event,活動期間內僅可使用1次。,
ANNIVERSARY_9,모든 정령의 귀속이 해제되었습니다.,All spirits are free.,所有精靈的綁定已解除。,
ANNIVERSARY_10,1. 초기화 진행 시 현재 소지한 모든 정령의 드래곤 귀속이 해제됩니다,1. every spirit that equipped by dragon will be free if you initialize it,1. 進行重置時，當前持有的所有精靈之龍的綁定將被解除。,
ANNIVERSARY_11,2. 해제된 정령은 다시 다른 드래곤에게 귀속시킬 수 있습니다.,2. Freed spirits can be equipped to another dragon.,2. 解除綁定的精靈可以重新綁定到其他龍。,
ANNIVERSARY_12,3. 정령 해제는 이벤트 기간 동안 1회만 사용 가능합니다.,3. Spirit liberation is can be used only once.,3. 精靈解除僅可在活動期間內使用1次。,
ANNIVERSARY_13,정령 귀속 해제 이벤트,SPIRIT LIBERATION,精靈綁定解除活動,
ANNIVERSARY_14,Lv.8 포츈쿠키부터 개봉에 실패하면 누적된 보상이 사라집니다.,"If tamers fail to open a cookie higher than Lv.8, all items will disappear.",從 Lv.8 幸運餅乾 開始，若開啟失敗，累積的獎勵將會消失。,
ANNIVERSARY_15,7주년 출석 이벤트,7th anniversary Check-in event,7週年簽到活動,
ANNIVERSARY_16,"6,000","6,000","6,000",
ANNIVERSARY_17,"12,000","12,000","12,000",
ANNIVERSARY_18,"55,000","55,000","55,000",
ANNIVERSARY_19,"109,000","109,000","109,000",
ANNIVERSARY_20,5.49,5.49,5.49,
ANNIVERSARY_21,10.99,10.99,10.99,
ANNIVERSARY_22,54.99,54.99,54.99,
ANNIVERSARY_23,109.99,109.99,109.99,
Anniversary_132,Lv.8 포츈쿠키 이상 개봉 실패 시\n모든 누적보상을 잃어버립니다.\n개봉하시겠습니까?,"If you fail to open a cookie higher than Lv.8,\nall items will disappear.\nAre you sure?",若 Lv.8 幸運餅乾 以上的開啟失敗，\n將失去所有累積獎勵。\n是否要開啟？,
ANNIVERSARY_BOX_1,재화의 상자,Money Box,財貨之箱,
ANNIVERSARY_BOX_2,드래곤 상자,Dragon Box,龍之箱,
ANNIVERSARY_BOX_3,성장의 상자,Level Box,成長之箱,
ANNIVERSARY_BOX_4,정령의 상자,Spirit Box,精靈之箱,
ANNIVERSARY_BOX_5,강화의 상자,Enhancement Box,強化之箱,
ANNIVERSARY_BOX_6,꿈의 젬 상자,Dream Gem Box,夢幻寶石箱,
ANNIVERSARY_BOX_7,진화의 상자,Evolution Box,進化之箱,
ANNIVERSARY_BOX_8,피버 경험치,Fever Exp,狂熱經驗值,
ANNIVERSARY_BOX_FEVER_END,피버가 종료되었습니다.,Fever is termiranted.,狂熱狀態已結束。,
ANNIVERSARY_BOX_FEVER_RULE,"- 피버 상태가 된다면 제한시간내에 열쇠를 사용하여​ 상자를 연속적으로 개봉하실 수 있습니다.\n- 단, 피버 유지확률이 존재하여 개봉할 때 확률에 따라 피버가 종료될 수도 있습니다.\n- 피버 상태는 뽑기 결과 화면을 벗어나거나 제한시간이 끝나면 종료됩니다.\n- 피버 종료 시 다음 상자는 7종류의 상자중 하나로 바뀝니다.","- When the box goes to Fever, tamers can open the Fever box until its over.\n- BUT, Fever may be maintained or terminated randomly when the box open.\n- Fever is turned off when time is up or exit the result window.\n- When Fever is off, one of the seven boxes appears.",- 進入狂熱狀態後，可以在限定時間內使用鑰匙連續開啟寶箱。\n- 但狂熱狀態維持機率存在，每次開啟寶箱時，根據機率可能會結束狂熱狀態。\n- 狂熱狀態將在離開抽取結果畫面或時間結束時終止。\n- 狂熱結束後，下一個寶箱將隨機變為七種寶箱中的一種。,
ANNIVERSARY_BOX_LIST_1,"골드, 다이아, 황금다이아, 루비, 피버 경험치\n재화의 상자 제외 6종 상자","Gold, Diamond, Gold-dia, Ruby\nFEVER Exp, Other boxes",黃金、鑽石、黃金鑽石、紅寶石、狂熱經驗值\n除財貨之箱外的6種寶箱,
ANNIVERSARY_BOX_LIST_2,"스칼렛, 케이나인(C~SS), 선인장(C~SS), 네펜데스, 지진, 니케\n 나기, 블랙쇼커, 그리핀, 트리페어윙, 리바이어 던, \n스케어엘더 드래곤, 아스트라이나, 데네브, 블루벨, 호크아이\n박쥐곤, 엔틱 드래곤, 트와일라잇, 아쿠아펄\n키리온, 엔표, 앵커, 파프닐, 우파룸, 스윗 클라우드\n할루시, 화이트 스톰, 하레스, 나이트메어\n피버 경험치, 드래곤 상자 제외 6종 상자","Scarlet, Canine (C~SS), Cactus Dragon (C~SS), Retrieegon (C~SS)\nNepenthes, Earthquake, Nike, Nagi, Griffin, Blackshocker, Treefairwing\nLeviathan, Scare, Elderly Dragon, Astraina, Deneb, Bluebell, Hawkeye\nBatdragon, Antique dragon, Twilight, Aqua Pearl, Kirion\nEnfew, Anchor, Fafnir, Wooperum, Sweetcloud\nHallucy, Whitestorm, Hailes, Nightmare, FEVER Exp, Other boxes","史嘉雷, 凱納因(C~SS), 仙人掌(C~SS), 猪笼龍, 地震龍, 妮凱\n 娜其, 黑震龍, 獅鷲, 三對翼, 利維坦\n 驚懼長老龍, 阿斯特賴納, 天鵝座, 藍鈴龍, 鷹眼\n蝙蝠龍, 古董龍, 暮光之龍, 水珠龍\n 基里昂, 炎豹, 錨龍, 法夫尼爾, 烏帕魯姆, 甜雲\n哈魯西, 白風暴, 哈雷斯, 噩夢\n狂熱經驗值, 不包含龍之箱的6種寶箱",
ANNIVERSARY_BOX_LIST_3,"치료제, 에너지 드링크, 토벌권, 토너먼트 티켓, 꿈부 +1\nLv + 1, Lv - 1, 캡슐 레벨업, 각성 레벨업, 프리미엄 레벨업\n스페셜 레벨업, 피버 경험치, 성장의 상자 제외 6종 상자","Medicine, Energy Drink, Rampage ticket, Ticket, Dream Incubator+1\nLv + 1,Lv - 1,Capsule Lv+1, Awakening Lv+1, Prem Level+1\nSpecial Lv+1, FEVER Exp, Other boxes","治療藥水, 能量飲料, 討伐券, 錦標賽門票, 夢符 +1\nLv + 1, Lv - 1, 膠囊升級, 覺醒升級, 高級升級\n特殊升級, 狂熱經驗值, 不包含成長之箱的6種寶箱",
ANNIVERSARY_BOX_LIST_4,"일반정령 뽑기권, 고급 정령뽑기권, 최고급 정령 뽑기권\n5성 확정권(정령), 10+1 뽑기권(정령), 디바인 스톤\n피버 경험치 , 정령의 상자 제외 6종 상자","Normal Spirit Ticket, High Spirit Ticket, Prem. Spirit Ticket\n5 Star Ticket, 10+1 Spirit Ticket, DevineStone\nFEVER Exp, Other boxes","一般精靈召喚券, 高級精靈召喚券, 最高級精靈召喚券\n5星確定券（精靈）, 10+1召喚券（精靈）, 神聖石\n狂熱經驗值, 不包含精靈之箱的6種寶箱",
ANNIVERSARY_BOX_LIST_5,"이계의수정 5종, 꿈의조각(레드, 블루, 옐로우)\n강철의 망치, 마법의 망치, 디트의 망치\n피버 경험치, 강화의 상자 제외 6종 상자 ","Crystal alien (Yellow), Crystal alien (RED), Crystal alien (BLUE)\nCrystal alien (BLACK), Crystal alien (PURPLE), Dream Piece[R]\nDream Piece[Y], Dream Piece[B], Hammer of steel\nHammer of magic, Hammer of Deet\nFEVER Exp, Other boxes","異界水晶 5種、夢之碎片（紅、藍、黃）\n鋼鐵之鎚、魔法之鎚、迪特之鎚\n狂熱經驗值, 不包含強化之箱的6種寶箱",
ANNIVERSARY_BOX_LIST_6,"꿈의젬 +32 ,꿈의젬 +33, 꿈의젬 +34\n레드 파티클, 블루 파티클, 옐로우 파티클\n피버 경험치, 꿈의 젬 상자 제외 5종","Dream's ATT +32, Dream's DEF +32, Dream's HP +128, Dream's ATT +33\nDream's DEF +33, Dream's HP +132, Dream's ATT +34, Dream's DEF +34\nDream's HP +136, Red Particle, Blue Particle, Yellow Particle\nFEVER Exp, Other boxes","夢幻寶石 +32、夢幻寶石 +33、夢幻寶石 +34\n紅色粒子、藍色粒子、黃色粒子\n狂熱經驗值, 不包含夢幻寶石箱的5種",
ANNIVERSARY_BOX_LIST_7,"강화의 정수 (중급), 강화의 정수 (상급), 강화의 정수(최상급)\n초월의 정수 (레드), 초월의 정수 (블루), 초월의 정수 (옐로우)\n상급 초월의 정수 (레드) , 상급 초월의 정수 (블루) , 상급 초월의 정수 (옐로우) \n꿈의 정수 (최상급), 페르시온 결정\n피버 경험치, 꿈의 젬 상자 제외 5종","Jewel of transcend, Normal Elixir, High Elixir, Master Elixir\nHigh Essence[Y], High Essence[R], High Essence[B]\nMaster Essence[Y], Master Essence[R], Master Essence[B]\nMaster Dream Elixir, Persion Crystal, FEVER Exp, Other boxes","強化精華（中級）、強化精華（高級）、強化精華（最高級）\n超越精華（紅）、超越精華（藍）、超越精華（黃）\n高級超越精華（紅）、高級超越精華（藍）、高級超越精華（黃）\n夢幻精華（最高級）、佩爾西翁結晶\n狂熱經驗值, 不包含夢幻寶石箱的5種",
ANNIVERSARY_BOX_RANKING_RULE,규칙설명\n1. 열쇠를 소모하여 상자를 개봉할때마다 1포인트를 획득합니다. \n2. 이벤트가 종료된 후 랭킹에 따라 보상을 지급합니다.\n* 순위가 같다면 먼저달성한 테이머가 우선순위를 가집니다.,"Rule\n1. Each time you open the box, you get a point.\n2. When the event is over, the tamers will be awarded according to their ranking.\n*If the rankings are the same, rewards will be paid on a first-come, first-served basis.",規則說明\n1. 每次使用鑰匙開啟寶箱時，獲得 1 點數。\n2. 活動結束後，根據排名發放獎勵。\n*若排名相同，則先達成的馴獸師優先。,
ANNIVERSARY_BOX_RULE,"1. 열쇠를 소모하여 상자를 개봉하실 수 있습니다. \n2. 상자는 7종류(재화의 상자, 드래곤 상자, 성장의 상자, 정령의 상자, 강화의 상자, 꿈의 젬 상자, 진화의 상자)​의 상자가 존재합니다.\n3. 상자를 개봉하면 아이템, 피버 경험치, 또는 다른 상자가 등장합니다.\n4. 다른 상자가 등장하면 다음 개봉부터 해당 상자의 아이템을 획득하실 수 있습니다.\n5. 피버 경험치를 획득한다면 피버 게이지가 오르거나 감소합니다.\n6. 피버 게이지가 가득 차게 된다면 상자는 피버 상자가 됩니다.","1. Use a key to open a box.\n2. There are 7 kinds of boxes.\n3. Open the box to get items, Fever EXP or another box.\n4. If tamers get another box, tamers can get other kinds of reward from that box.\n5. Fever EXP increases or decreases the Fever Gauge.\n6.When Fever gauge is full, the box changes to the Fever box.",使用鑰匙可開啟寶箱。\n2. 寶箱共有 7 種類型（財貨之箱、龍之箱、成長之箱、精靈之箱、強化之箱、夢幻寶石箱、進化之箱）。\n3. 開啟寶箱後，可獲得道具、狂熱經驗值，或出現其他寶箱。\n4. 若出現其他寶箱，則從下一次開啟開始，將獲得該寶箱的道具。\n5. 獲得狂熱經驗值時，狂熱能量條將上升或下降。\n6. 當狂熱能量條滿時，寶箱將變為狂熱寶箱。,
ANNIVERSARY_BOX_TIME_ALERT,※  상자열기는 2 / 3 까지 가능합니다.,The box can be opened by February 3 (KST).,※ 開啟寶箱最多可進行 2 / 3 次。,
