﻿TID,KR,EN,TW,JP
ARCHA_SCENARIO1_14,"최근 테이머로부터 수많은 보고가 들어오고 있습니다. 엘피스 마을 외각에 이상한 균열이 생겼고, 이상한 세상이 있다는 보고였죠.",I got reports from lots of tamers recently. It was about crack near Elpis and weird world over it,最近有很多來自馴獸師的報告。據說在艾爾比斯村外圍出現了奇怪的裂縫，並且有報告指出那裡存在著一個奇異的世界。,
ARCHA_SCENARIO1_15,이상하네... 원래 %s도 처음엔 혼자만 알고 있었는데 갑자기 왜...,That's weird. I thought only %s knows about it but why?,真奇怪...本來%s一開始也只有自己知道，怎麼突然間...,
ARCHA_SCENARIO1_16,서두르는편이 좋을 것 같습니다. 괜찮으시다면 지금 바로 꿈의 세계로 이동하고 싶습니다만.,"Anyway, we have to hurry. I wanna Dreamlend if you have no problem",最好快點行動吧。我們能否現在就立刻前往夢境世界呢？,
ARCHA_SCENARIO1_17,알겠습니다. 일단 빨리 꿈의 세계부터 확인하죠.,Ok. Follow me,明白了。那我們先快速確認夢境世界的情況吧。,
ARCHA_SCENARIO2_0,크레바스를 무찌르고 처음 찾아온 꿈의 세계. 그리고 도착하는 순간 바로 이상한 점을 알게 되었다.,"It was first visit to World of dream after defeat Crevasse, I can feel something wrong.",擊敗克雷瓦斯後，我首次來到夢境世界。剛到達的那一刻，我便察覺到了一些異常。,
ARCHA_SCENARIO2_1,"윽, 뭐지 이게? 기분이 굉장히 이상해.",I don't feel well. What is this?,呃，這是怎麼回事？感覺好詭異。,
ARCHA_SCENARIO2_2,으으... 온 몸에서 힘이 빠져나가는 기분이야. 빨리 여기서 나가고 싶어.,It feels like suck my stamina. I don't want stay here,唔...感覺全身的力量都在流失，好想趕快離開這裡。,
ARCHA_SCENARIO2_3,여러분도 마찬가지군요. 처음에는 다른 세계로 왔다는 감각에서 온 불쾌감인줄 알았습니다. 하지만 그 정도가 점점 심해져서 지금은 아예 들어오지도 못하는 테이머도 생겼죠.,Some tamers report they felt like you. But it going bad so few of them can't enter the crack,你們也有同樣的感覺嗎？一開始以為是來到另一個世界的感覺帶來的不適，但這種感覺逐漸加劇，現在甚至有些馴獸師根本無法進來了。,
ARCHA_SCENARIO2_4,이건 정말 이상하네요. 이런 적은 없었는데......,This is not good. It was not like this,這真的很奇怪。從來沒有過這種情況……,
ARCHA_SCENARIO2_5,그순간 지부장이 나를 유심히 바라보기 시작했다.,At that time. Magener gazed me,就在那一瞬間，支部長開始仔細地盯著我看。,
ARCHA_SCENARIO2_6,그런데... %s는 영향을 많이 받지 않는 것 같군요.,But… %s look like all right,但是...%s似乎不受太大影響。,
ARCHA_SCENARIO2_7,좀 기분이 이상하긴 하지만 쓰러질 정도는 아닌 것 같은데요.,"I don't feel good, but I'm okay",雖然有點不太舒服，但不至於昏倒啦。,
ARCHA_SCENARIO2_8,그런 정도가 아닙니다. 지금 저희가 느끼는 것과는 정도가 다른 것 같군요. 표정이 다릅니다.,Much more than that you are something special. You look different.,程度確實好像不一樣。現在我們所感受到的似乎與您不同，表情也不一樣。,
ARCHA_SCENARIO2_9,의아한 마음에 누리와 즈믄을 돌아보자 확실히 고통이 서려있는 표정을 짓고 있었다. 난 저렇게까지 고통스럽진 않았다.,I spotted Nuri and Zimon pained look on their face. I'm different from them.,帶著疑惑的感覺，我回頭看了看諾莉和吉蒙，確實看到他們臉上帶著痛苦的表情。但我並沒有那麼痛苦。,
ARCHA_SCENARIO2_10,"최근 저 두 분과 다른 점이 있었나요? 음식, 생활 패턴, 하다못해 생일 별자리라도......","Is there any difference from them? Food, Living, at least constellation","兩位和我有什麼不同嗎？最近我們的飲物、生活模式，甚至星座之類的……""",
ARCHA_SCENARIO2_11,"지부장님이 좀 어처구니 없는 추측을 내놓는 그순간, 어디선가 음산한 목소리가 들려왔다.","Suddenly, We can hear dismal voice.",就在支部長提出了一個有些荒謬的猜測的那一刻，從某個地方傳來了陰森的聲音。,
ARCHA_SCENARIO2_12,"큭큭큭큭, 정말 바보같은 추측이군. 하지만 재미는 있었다.",muhahaha what a foolish guess. But It's fun,嘿嘿嘿，真是個愚蠢的猜測啊。不過倒是挺有趣的。,
ARCHA_SCENARIO2_13,"누, 누구야!",wh..who are you!,是...是誰啊!,
ARCHA_SCENARIO2_14,잔뜩 겁먹은 누리의 목소리와 함께 즈믄이 외침이 들렸다.,"With scared look of Nuri, Zimon shouted.",諾莉和吉蒙說道，兩人感覺受了恐懼。,
ARCHA_SCENARIO2_15,%s 조심해! 니 뒤에 뭔가가 있어!,%s watch out! Behind you!,%s 小心！你後面有東西！,
ARCHA_SCENARIO2_16,즈믄의 외침에 깜짝 놀라 얼른 한걸음을 물러섰다. 내 뒤에 있던 것은 지금까지 전혀 보이지 않았던 거대한 문이었다. 이렇게 큰 것이 갑자기 어디서 튀어나온거지?,Itook a step back in surprise.There was a huge gate behind me. Where this come from?,吉蒙的呼喊讓我嚇了一跳，立刻退後了一步。原本在我背後的，竟是一扇巨大的門，直到現在我從未見過這麼大的東西。這麼大的門到底是從哪裡突然冒出來的？,
ARCHA_SCENARIO2_17,그순간 거대한 문이 열리기 시작했다. 문 안쪽에 보이는 것은...... 말로 설명 할 수 없는 무언가의 소용돌이였다. 그리고 그 '무언가'의 안쪽에서 거대한 드래곤이 모습을 드러냈다.,"Suddenly, The gate opened, there was something… Inexplicabe maelstorm. And huge dragon came from the maelstorm",就在那一刻，巨大的門開始打開。門內所見的，是無法用言語形容的漩渦。而在那個「某種東西」的內部，一條巨大的龍現身了。,
ARCHA_SCENARIO2_18,"드디어 만나게 되었군. 네녀석을 오래 기다렸다. 내 이름은 다크베인, 아르하의 드래곤이지.","Now we meet finally. my name is Dark Vein, dragon of Archa. I waited for you for a long-time.",終於見面了。你這傢伙，我等你等了很久呢。我叫黑暗貝恩，是阿爾哈的龍。,
ARCHA_SCENARIO2_19,누굴 기다렸단...... 나? 날 기다렸다고?,Who are you wating f…. Me? Did you?,在等誰……我嗎？你在等我？,
ARCHA_SCENARIO2_20,"그래, 그렇다. 크레바스를 물리친 네가 필요했다. 아르하의 문을 열기 위한 유타칸의 열쇠.",Yes. I am. I need you. Key of Utahkhan to open gate of Archa.,對，沒錯。我所需要的是擊敗克雷瓦斯的你。開啟阿爾哈之門的尤塔勘的鑰匙。,
ARCHA_SCENARIO2_21,"열쇠? %s가 열쇠라니, 그게 대체 무슨 말이죠?",%s is the key? What are you talking about?,鑰匙？%s居然是鑰匙，這到底是什麼意思？,
ARCHA_SCENARIO2_22,아르하의 문을 열려면 좌표가 필요했지. 크레바스에게서 흘러나오는 꿈의 기운이 바로 그 좌표였고. 하지만 크레바스가 가진 꿈의 기운은 너무 막강해 섣불리 문을 열 수 없었다.,I need coordinate to open the gate of Archa. Force of dream from Crevasse was the coordinate. But Crevasse's force disturb me,要打開阿爾哈之門，必須要有座標。從克雷瓦斯身上流出的夢之氣息正是那個座標。然而，克雷瓦斯擁有的夢之氣息太過強大，我無法輕易打開門。,
ARCHA_SCENARIO2_23,다크베인이라는 드래곤이 씨익 웃었다. 불길한 웃음이었다.,Dark Vein gave us a sly grin.,名為黑暗貝恩的龍露出了詭異的笑容。那是一個不祥的笑容。,
ARCHA_SCENARIO2_24,"감사를 표하마. 너와 네 드래곤들은 크레바스가 남긴 마지막 꿈의 기운을 뒤집어쓴 훌륭한 좌표였다. 크레바스는 사라지고, 꿈의 기운만 남았으니 최고의 기회였지.","Thanks for your help. You are the best milestone for me. Now, Crevasse is gone and force left. This is the best chance",我對你表示感謝。你和你的龍們正是承載著克雷瓦斯最後留下的夢之氣息的完美座標。克雷瓦斯已經消失，只剩下夢之氣息，這正是最好的機會。,
ARCHA_SCENARIO2_25,아... 예.,Ah... you're welcome.,啊... 原來。,
ARCHA_SCENARIO2_26,뭘 대답을 하고 앉았어! 딱 봐도 나쁜놈인데!,What are you doing?! He is bad guy!,你幹嘛回答啊！他一看就是個壞人啊！,
ARCHA_SCENARIO2_27,"호오, 유타칸에는 희안한 드래곤이 있군. 알에 달라붙어버린 약해빠진 드래곤은 처음 보는데.",Hmm.. I've never seen like that freaky dragon.,哦，尤塔勘這裡居然有這麼奇怪的龍。我還是第一次見到像這樣緊緊黏在蛋上，這麼虛弱的龍。,
ARCHA_SCENARIO2_28,뭐야! 지금 나한테 한 말이냐!,What?! what did you say?!,什麼！你現在是在說我嗎！,
ARCHA_SCENARIO2_29,화를 내도 약해빠져 보이는건 여전하구만. 한번은 봐주지. 하지만 다시 한번 나에게 화를 낸다면 껍질채로 씹어먹어주마.,"Don't tell me to piss off , I'll bite you with your shell next time.",怎麼生氣了還這麼軟弱啊。這一回就放過你吧。但如果再對我發火，我會把你連殼一起嚼掉。,
ARCHA_SCENARIO2_30,다크베인의 살벌한 말에 즈믄은 얼른 누리 뒤로 숨었다.,Zimon hide behind  Nuri.,在黑暗貝恩兇狠的話語下， 吉蒙立刻躲到了諾莉的背後。,
ARCHA_SCENARIO2_31,"그래서, 날 열쇠로 아르하의 문을 연 이유가 뭐지?",So. What you gonna do?,那麼，你為什麼用鑰匙打開阿爾哈的門呢？,
ARCHA_SCENARIO2_32,"아, 그걸 말해주질 않았군. 목적은 유타칸의 정복이다.",Conquer Utahkhan!!,啊，忘了告訴你。目的是為了征服尤塔勘啊。,
ARCHA_SCENARIO2_33,뭐라구요?!,?!!,什麼？！,
ARCHA_SCENARIO2_34,네가 오기 전까지 전혀 진척이 없었는데 갑자기 찾아와주니 정말 감사할 따름이다. 덕분에 무사히 아르하의 문을 열고 정복의 첫 발을 디딜 수 있게 되었지.,I can make a step with your help. Really appreciate to you help me to conquer Utahkhan.,在你來之前原本完全沒有任何進展，但還好你來了，真是非常感謝。多虧你，我才能順利打開阿爾哈的門，邁出征服的第一步。,
ARCHA_SCENARIO2_35,"깊은 감사의 의미로, 아프지 않게 죽여주마. 보답은 어차피 할 수 없을테니 필요없다.","As a reward, I'll kill you without pain.",為了表達深深的感謝，我會讓你死得不痛苦。不必謝我啦，反正也沒方法報答。,
ARCHA_SCENARIO3_0,"너, 너무 강해! 거기다 뭐야 이게? 드래곤이 힘을 쓰지 못하고 있어!",To..too strong! What is this?! My dragon has no energy,你，太強了！而且這是怎麼回事？龍怎麼無法使用力量了！,
ARCHA_SCENARIO3_1,문을 봐! 저기서 흘러나오는 저 연기 때문이야! 꿈의 세계에서 계속 힘이 빠졌던 건 저것 때문이었어!,"Look that gate! it's because of that fog! That absorb us in World of dream, too.",看那扇門！好像是因為那裡流出來的煙霧！在夢境世界中一直感到力量流失，原來是因為那個！,
ARCHA_SCENARIO3_2,"문이 열리기도 전부터 그렇게 심했는데, 저렇게 쏟아져 나온다면 아무런 힘도 쓸 수 없어!","It was thick before gate open, we gonna lose it!",在門還沒打開之前就那麼嚴重了，如果那煙霧像這樣湧出來，我根本無法使用任何力量！,
ARCHA_SCENARIO3_3,"그순간, 지부장님이 나직하게 한마디를 했다.","At the moment, maneger told us in a low tone.",就在那一瞬間，支部長低聲說了一句話。,
ARCHA_SCENARIO3_4,성공했습니다.,We made it,成功了。,
ARCHA_SCENARIO3_5,이런 상황에 무슨 말씀이세요 갑자기?,What are you talking about?,在這種情況下，您這是什麼意思？,
ARCHA_SCENARIO3_6,유타칸과 꿈의 세계의 연결이 더욱 강해졌습니다. 디트님이 시간에 맞춰주셨군요.,Link between Utahkhan and world of dream become stronger. Deet nailed it,尤塔勘與夢境世界的連接變得更強了。是迪特大人按時調整的。,
ARCHA_SCENARIO3_7,네? 겨우 그런 걸로 뭐가 바뀌는거죠?,Is that all?,什麼？才這樣而已，怎能改變東西？,
ARCHA_SCENARIO3_8,그순간 다크베인이 고통스러운 비명을 내질렀다.,"Suddenly, Dark Vein screamed painfully",就在那一瞬間，黑暗貝恩發出了痛苦的尖叫聲。,
ARCHA_SCENARIO3_9,크아아악! 이게 무슨 짓이냐! 건방진 벌레들같으니!,Kraaak!! What's all this! You cheeky monkey!,嗚啊啊啊！這是在做甚麼！你們這些可悲的東西！,
ARCHA_SCENARIO3_10,"어, 어?! 뭐야? 왜저러지 갑자기?",What? What's going on?,欸，欸？！怎麼了？怎麼突然變那樣？,
ARCHA_SCENARIO3_11,지금이 기회입니다. 힘을 보태드릴테니 서둘러 녀석을 무찌르죠!,Don't miss this chance! Let's kick him,現在正是時候。我來幫你們增援，趕緊擊敗那傢伙吧！　,
ARCHA_SCENARIO4_0,멍청한 놈들! 적어도 내 손으로 편하게 해주려고 했더니 그걸 포기해!,You fools! I gave you a chance! so you kick it?!,真是一群笨蛋！我原本打算至少讓你們死得輕鬆點，結果怎麼放棄了！,
ARCHA_SCENARIO4_1,헛소리! 냉큼 너희 세계로 사라져라!,Bullshit! Go back to your world!,胡說八道！快給我消失在你的世界去吧！,
ARCHA_SCENARIO4_2,좋다... 이젠 나도 멈추지 않겠다! 곧 아르하의 괴물들이 너희를 덮칠 것이다! 후회할 기회조차 주지 않겠다!,No more mercy! My army will sweep over the Utahkhan! No time to regret!,很好...現在我也不會停下來了！很快阿爾哈的怪物們會把你們吞噬！你們將連後悔得機會也沒有！,
ARCHA_SCENARIO4_3,얼마든지! 유타칸의 테이머가 너희들을 모조리 없애줄거야!,Come on! Tamer of Utahkhan will kick your ass,隨便你！尤塔坤的馴獸師會把你們全部消滅掉！,
ARCHA_SCENARIO4_4,그래 맞아! 그리고 이 껍질은 패션이다!,Yes! And this shell is my style!,沒錯！而這個外殼只是裝飾用的！,
ARCHA_SCENARIO4_5,뭐?,What?,什麼？,
ARCHA_SCENARIO4_6,네?,Huh?,蛤？,
ARCHA_SCENARIO4_7,푸하하하!,Hahahahahahaha,哈哈哈！,
ARCHA_SCENARIO4_8,즈믄도 가끔 무리할 때가 있다.,Zimon sometimes doing over.,吉蒙有時也有點做得過頭。,
ARCHA_SCENARIO4_9,시끄러워! 빨리 너희 세계로 돌아가! 으앙!,Silent! Go back to your world! baw~,吵死了！快點回到你們的世界去！呃啊！,
ARCHA_SCENARIO4_10,웃음과 괴성이 뒤섞인 이상한 소리를 내며 다크베인는 문 너머로 사라졌다. 그리고 다시 굳게 닫힌 거대한 문.,"With mixed giggle and scream, Dark Vein goes over the gate. And it closed again.",帶著笑聲和怪異的慘叫，黑暗貝恩消失在門的另一邊。隨後，那扇巨大的門再次緊緊關閉。,
ARCHA_SCENARIO4_11,"겨우 막아냈군요. 아무래도 저 연기...... '아르하의 기운'이라는 것은 유타칸의 드래곤의 힘을 뺏고, 아르하의 드래곤에게는 힘을 주는 것 같습니다.","Looks like we did it, I think that fog... ""Force of Archa"" absorb dragon's energy of Utahkhan and help Archa's.",終於擋住了。看來那煙霧……所謂的「阿爾哈的氣息」，應該是奪取尤塔勘龍的力量，並將力量賦予阿爾哈的龍。,
ARCHA_SCENARIO4_12,네. 확실히 꿈의 세계에 들어올 때부터 드래곤의 상태가 평범하지 않았어요.,I agree. My dragons are not good after enter the world of dream,是的。從進入夢境世界開始，龍的狀態就明顯不正常。,
ARCHA_SCENARIO4_13,맞아. 하지만 지부장님이 유타칸의 연결이 더욱 강해졌다고 한 순간부터 상황이 완전히 뒤바뀌었지.,"Yes, but situation reversed after manager tell us the link become stronger",沒錯。不過，從支部長說尤塔勘的連接變得更強那一刻起，情況就徹底改變了。,
ARCHA_SCENARIO4_14,"%s의 드래곤들은 갑자기 힘을 내고, 다크베인의 힘은 오히려 줄어들었어.",Dark Vein becomes weak and %s's dragons stronger,%s的龍突然恢復了力量，而黑暗貝恩的力量反而減弱了。,
ARCHA_SCENARIO4_15,"아무래도 굉장히 다른 세계인가보군요. 서로가 완벽히 상쇄되고, 심지어 생명체가 반대 기운에 닿으면 약화 효과까지 있습니다.",Maybe it is very different world. Canceling each other and living's get weak,看來這確實是個非常不同的世界。彼此之間完全相互抵消，甚至當生物接觸到相反的氣息時，會產生弱化效果。,
ARCHA_SCENARIO4_16,"연구할 가치가 있군요. 추측단계지만 많은 가능성이 보이는군요. 하지만 일단, 더 급한 일부터 처리해야겠군요.","It deserve to study. Well just a guess, it seems have the possibility. But I have something urgent",這確實值得研究。雖然還不確定，但已經顯示出很多可能性。不過，首先還是得處理眼前更緊急的事情。,
ARCHA_SCENARIO4_17,아직은 추측 단계입니다. 일단 더 급한 일이 있죠.,"This is my just guess, I have another urgent.",現在還處於觀察中的階段。畢竟眼前還有更緊急的事情需要處理。,
ARCHA_SCENARIO4_18,"먼저 유타칸에서 좀 더 많은 자재와 사람을 불러와 전초 기지를 세우도록 하겠습니다. 바로 이곳, 아르하의 입구 앞에서요","I'll have more men and make a outpost at here, in front of gate.",首先，我會從尤塔勘召集更多的資源和人員，在這裡——阿爾哈的入口前建立前哨基地。,
ARCHA_SCENARIO4_19,그리고 전초기지에 연구소를 두고 아르하의 기운을 연구할 예정입니다. 어쩌면 드래곤의 새로운 성장 단계를 알 수도 있을 것 같군요.,"And build a lab in outpost, doing research about force of Archa. We may find out new steps of dragon.",然後，我打算在前哨基地設立研究所，研究阿爾哈的氣息。或許我們能揭示龍的新成長階段。,
ARCHA_SCENARIO4_20,"그리고 %s, 당신에게는 협조를 구하고 싶습니다. 침공을 막는데 힘을 보태주십시오.","%s, please help us. Give me your hand to keep Utahkhan safe.",然後，%s，我希望能得到你的協助。請幫助我們阻止入侵，增援力量。,
ARCHA_SCENARIO4_21,다크베인과의 전투에서 알 수 있었듯이 혼자서는 힘든 일입니다. 앞으로 이곳에서 벌어지는 전투는 최소 4인의 협력 관계에서만 진행하도록 지침을 내리겠습니다.,"As you know, This is very dangerous place, I declare every tamers must makes 4-man party before battle at here",正如在與黑暗貝恩的戰鬥中所看到的，單打獨鬥是很難應對的。未來在這裡發生的戰鬥，我將指示必須至少在四人合作的情況下進行。,
ARCHA_SCENARIO4_22,또 침공을 막을 때마다 얻게 되는 '아르하의 세계의 재료'를 가져와 주신다면 연구에 큰 도움이 될 것 같습니다. 대신 연구 결과의 혜택은 %s와도 나누도록 하죠.,"And bring me the materials of Arhca, it will be great help to research. instead of that, I'll share the benefit with %s.",如果每次成功阻止入侵後，能將“阿爾哈世界的素材”帶來，這將對研究有很大的幫助。而研究結果的好處將與%s共享。,
ARCHA_SCENARIO4_23,"우와, 지금 지부장님한테 직접 지시를 받은거야?!",Wow! Did you got direct order from manger?,哇，是直接收到支部長的指示嗎？！,
ARCHA_SCENARIO4_24,"축하해 %s, 출세했구나!",Cogretulation %s! You promoted!,恭喜你，%s，出息了！,
ARCHA_SCENARIO4_25,아르하라...... 다크베인만 봐도 알 수 있었다. 아마 지금까지와는 비교도 안될 정도로 막강한 적이 나타날 것이다.,Archa... I can get the picture of it. Powerful enemies I've never seen before will show up.,阿爾哈……光是從黑暗貝恩就能看出來。很可能會出現比以往任何時候都更強大的敵人。,
ARCHA_SCENARIO4_26,"하지만 테이머 협회의 지원과, 동료 테이머들과 함께 한다면 얼마든지 이겨낼 수 있을 것이다.","But with support of tamer association and my friend, I can them.",但是，若有馴獸師協會的支持，以及與夥伴馴獸師們一起合作，我們一定能夠戰勝一切。,
ARCHA_SCENARIO4_27,심각한 상황이었지만 가슴이 뛰기 시작했다.,"Situation is bad, but my heart start beating fast.",雖然情況嚴峻，但我的心開始跳動起來。,
ARCHA_SCENARIO4_28,"이것은 어쩌면, 새로운 거대한 모험의 시작일지도 모른다는 예감이 들었다.","Maybe, this is the beginning of new great adventure.",我有一種預感，這或許是全新、巨大冒險的開始。,
astarothCounterAttackScenario0_0,평소와 다름없는 하루. 내 옆을 함께 걷던 누리와 즈믄은 따분함을 느끼는 듯하다,Ah~ just another plain day. Looks like Nuri and Zimon is bored also.,平凡的一天。走在我旁邊的諾莉和吉蒙似乎感到有些無聊。,
astarothCounterAttackScenario0_1,당연할지 모른다. 하늘왕국의 큰 사건 이후 그다지 즐거운 모험은 없었으니,"Yeah, its been awhile since our last incident at the SkyKingdom.",其實也能理解啦。因為在天國的大事件後，我們並沒有經歷什麼特別有趣的冒險。,
astarothCounterAttackScenario0_2,으으으~! 이렇게 평화로운 건 왠지 따분하다고!!,Arrrgg~~! Being this peaceful is so boring!,哎呀~！這麼平靜，好無聊啊！！,
astarothCounterAttackScenario0_3,누리 너 지금 마치 악당이 말하는 대사를 한 것 같아.,"Nuri, you look and sound just like a villain now.",怎覺得你現在說的話聽起來像是壞人會說的台詞啊。,
astarothCounterAttackScenario0_4,내가 어딜 봐서 악당 같다는 거야?,"Huh, where do you see a villain in this beauty.",我哪裡像壞人了啊？,
astarothCounterAttackScenario0_5,심보는 이미 악당역에 충분하고! 아까 대사로 완벽한 악당역에 가까워졌는걸?,"That attitude towards peace, makes you enough of a villain.",妳的心態已經夠像壞人了！剛剛的台詞簡直快要成為完美的壞人角色了呢！,
astarothCounterAttackScenario0_6,뭐야!,I'm just saying...,怎樣啦!,
astarothCounterAttackScenario0_7,멀리서 나지막한 발소리가 들려온다,I hear foot steps from a far.,遠處傳來了微弱的腳步聲。,
astarothCounterAttackScenario0_8,안녕하세요. 오랜만이에요!,"Hello, it's been awhile.",你好，好久不見！,
astarothCounterAttackScenario0_9,밝아 보이는 얼굴의 아리아. 몸의 병도 전보다 많이 회복된 듯하다,Aria looks bright. She seems to have recovered much of her illness.,臉上看起來充滿活力的艾莉亞。她的身體似乎比以前好多了，病情有了很大的恢復。,
astarothCounterAttackScenario0_10,우아! 오랜만이야!! 예전보다 더 건강해 보이네?!,Hey~ Aria. It's been so long. You look much healthier.,哇！好久不見！！看起來比以前更健康了呢？！,
astarothCounterAttackScenario0_11,레오나 여신님이 만들어준 약이 효과가 좋았던 모양이야.,Looks like Goddess Leona's medicine really did work.,看來雷歐娜女神所製作的藥效果真不錯呢。,
astarothCounterAttackScenario0_12,네. 여러분의 도움 덕에 지금은 이렇게 밖을 오랜 시간 걸을 수도 있어요.,It's all thanks to your help that I can even spend this much time in the outdoors.,是的。多虧了大家的幫助，我現在可以在外面走這麼長的時間了。,
astarothCounterAttackScenario0_13,정말 감사합니다. 그리고….,Thank you so much. And...,真的非常感謝你們。呃……,
astarothCounterAttackScenario0_14,…저기.,...,...那個。,
astarothCounterAttackScenario0_15,나는 머뭇거리는 아리아에게 이유를 물었다,I ask her what she was hesitating to say.,我問了問猶豫不決的艾莉亞怎麼了。,
astarothCounterAttackScenario0_16,아버지가 여러분을 만나고 싶다고 하셨어요.,Father want to meet you all.,我父親說他想見你們。,
astarothCounterAttackScenario0_17,이유는 묻지 말라고 하셨는데… 왠지 걱정되네요.,He said the reason can't be told. I'm quite worried.,但他不讓我問原因…害我好擔心。,
astarothCounterAttackScenario0_18,뭐야… 혹시! 또 나쁜 G스컬과 협력해서 우리를 골탕먹이려…읍!,Hmm... What's he up to again... Humpp.,甚麼…難道！又是想和那個壞心的G骷髏合作，要來為難我們嗎…唔！,
astarothCounterAttackScenario0_19,즈믄이 누리의 입을 막았다,Zimon stuffed Nuri's mouth.,吉蒙把諾莉的嘴巴給捂住了。,
astarothCounterAttackScenario0_20,넬슨 씨도 생각이 있는 사람이야. 다시 실수할 인물은 아니라고!,Nelson is a thoughtful man. He won't be doing the same wrong again.,尼爾森先生可是個聰明的人呢，他絕對不會再犯同樣的錯誤！,
astarothCounterAttackScenario0_21,분명 우리에게 몰래 이야기할 이야기가 있을 게 분명해.,There must be something he want to tell us in secret.,他一定有什麼想私下告訴我們的事情。,
astarothCounterAttackScenario0_22,나는 즈믄의 말에 전적으로 동의하며 고개를 끄덕였다,I noded. Agreeing to Zimon.,我完全同意吉蒙的話，並點了點頭。,
astarothCounterAttackScenario0_23,나는 아리아에게 넬슨이 있는 위치를 물었다.,I asked Aria where her father was.,我問了問艾莉亞尼爾森現在究竟在哪。,
astarothCounterAttackScenario0_24,최근에는 자주 유적지를 조사하고 계세요.,He's out investigating the old ruins often.,最近他經常在調查遺跡。,
astarothCounterAttackScenario0_25,아침 일찍 바람의 신전으로 향했으니 바람의 신전으로 가보세요.,He should be at the Temple the Wind.,清晨的時候，他前往了風之神殿，您可以去那裏找他。,
astarothCounterAttackScenario0_26,아리아의 말에 따르면 분명 넬슨이 이곳에 있을 것이다.,Nelson should be around here.,根據艾莉亞的話，奈爾森應該就在這裡。,
astarothCounterAttackScenario0_27,우앗! 저기 누군가 있어!!,There's someone.,哇！那裡好像有人！！,
astarothCounterAttackScenario0_28,…너희였군. 다행이야.,"It's you lads, thank god.",…原來是你們啊，幸好。,
astarothCounterAttackScenario0_29,그게 무슨 소리죠? 온몸은 땀범벅이고….,What's wrong? You are full of sweat.,那是什麼意思呢？而且怎麼全身都是汗啊…,
astarothCounterAttackScenario0_30,"우, 우선 이곳을 벗어나지. 시간이 없어. 어서 날 따라와!",Ah.. let's get out of this place first. Follow me now!,先，先離開這裡吧。沒時間了，快跟我來！,
astarothCounterAttackScenario0_31,넬슨은 거친 숨을 내쉬며 주변을 두리번거렸다,"Nelson breathing heavily, kept his eye out for the surroundings.",奈爾森一邊喘著粗氣，一邊四處張望。,
