,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,액션 번호,사운드
,2,24,다크닉스,요셉,Joseph,約瑟,73,다크닉스의 부활,Resurrection of Dark Nix,黑暗尼斯的復活,1,
,2,25,G스컬,요셉,Joseph,約瑟,73,G스컬의 폭주,Attack of G-skull,G骷髏的暴走,1,
,2,26,드래곤슬레이어,요셉,Joseph,約瑟,73,드래곤 슬레이어의 봉인 해제,Dragon slayer's unsealing,屠龍者的封印解開,1,
,2,27,크레바스,요셉,Joseph,約瑟,73,크레바스의 소환,Summon of Crevasse,克雷瓦斯的召喚,1,
,2,28,아르하침공,요셉,Joseph,約瑟,73,아르하의 침공까지,Archa Invasion,阿爾哈的侵略,1,
,2,29,왕궁별채 배경,요셉,Joseph,約瑟,98,그 모든 일이 일어난 주변에서 이 마력 조각을 발견했습니다.,I found this piece of mana around where all that happened.,在發生這些事件的周圍，我們都發現了這塊魔力碎片。,1,문장이 이상함.
,2,30,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,그럼 혹시 고대의 탑에서도?,So even in the Ancient Tower?,那麼，難道在古代的塔中也有嗎？,,
,2,31,왕궁별채 배경,베로니카,Veronica,貝羅尼卡,94,예상은 하고 있지만 조사해봐야 할 것 같아요.,"I'm expecting it, but I think we'll have to look into it.",雖然有預感，但還是需要調查一下。,,
,2,32,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,그럼 바로 가보죠. 고대의 탑으로!,Then let's go right away. To the Ancient Tower!,那我們馬上出發吧，前往古代的塔！,,
,3,1,왕궁별채 배경,베로니카,Veronica,貝羅尼卡,94,예상대로 남아있었네요.,"As expected, it remained.",果然如預期，還留著呢。,,
,3,2,왕궁별채 배경,베로니카,Veronica,貝羅尼卡,94,우린 이 마력 조각을 일컬어 ‘카닐’이라 부르죠.,"We call this piece of mana ""Kanyl.""",我們稱這塊魔力碎片為「卡尼爾」。,,
,3,3,시즌6컷신3,요셉,Joseph,約瑟,73,이건 ‘카닐’을 감지하는 센서장치입니다.,And this is the sensor that senses it.,這是用來感覺「卡尼爾」的傳感裝置。,1,
,3,4,시즌6컷신3,디트,Deet,迪特,73,이건 내가 예전에 페르시온 조각을 찾기 위해 만든 장치랑 비슷한데?,This is similar to a device I used to make to find Persion Debris.,這個跟我以前為了尋找費爾西翁碎片而製作的裝置很相似呢？,,
,3,5,시즌6컷신3,요셉,Joseph,約瑟,73,"네, 그걸 카닐에 맞게 개량한 거에요.","Yes, we modified that device.",對，這是我將它改良過，專門用來感應卡尼爾的。,,
,3,6,시즌6컷신3,베로니카,Veronica,貝羅尼卡,73,이 장치를 땅에 설치하고 카닐의 힘이 감지되면 바로 저희에게 알려주죠.,It'll let us know as soon as it's detected by Kanyl's power.,將這個裝置安裝在地面上，一旦感應到卡尼爾的力量，就會立即通知我們。,,
,3,7,까만 배경,,,,0,요셉은 장치를 작동시키고 우리가 가져온 마력 조각으로\n감지하는 걸 보여주었다.,Joseph operated the device and showed us\nsensing it as a piece of mana we brought.,約瑟啟動了裝置，並展示了如何利用我們帶來的魔力碎片\n來進行感應。,,
,3,8,왕궁별채 배경,베로니카,Veronica,貝羅尼卡,94,여러분들이 함께 이 장치를 지역 곳곳에 설치해 주세요.,Please install this device all over the area.,請大家一起將這些裝置安裝在各地。,1,
,3,9,왕궁별채 배경,즈믄,Zimon,茲門,6,장치 설치를? 어떻게 하는 건데?,Install the device? How?,裝置安裝嗎？該怎麼做呢？,,
,3,10,왕궁별채 배경,요셉,Joseph,約瑟,98,카닐이 감지될 확률이 높은 지역의 땅속에 심고\n가운데 버튼을 누르면 장치가 작동해요.,"Plant it in the areas where Kanyl is more likely to be detected\nand press the button, the device will turn on.",將裝置埋在可能會感應到卡尼爾的區域地下，然後按下中央的按鈕，裝置就會啟動。,,
,3,11,왕궁별채 배경,즈믄,Zimon,茲門,7,"오, 그거 간단하네.","Oh, that's simple.",歐，那蠻簡單的。,,
,3,12,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,그럼 우선 처음 G스컬과 다크닉스가 나타났던 던전부터 시작하죠.,Let's start with the Dungeon where G-skull and Dark Nix first appeared.,那麼就從一開始G骷髏和黑暗尼斯出現的地下城開始吧。,,
,3,13,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,어쩌면 그곳에 카닐이란 조각이 있을지도 몰라요.,Maybe there's a piece of Kanyl there.,或許在那裡會有卡尼爾的碎片呢。,,
,4,1,시즌6컷신4,,,,0,...,...,...,1,
,4,2,시즌6컷신4,,,,0,나무 던전의 보스를 격파하고 센서장치를 설치했다.,We defeated the boss of Tree dungeon and planted the sensor.,擊敗了樹木地下城的BOSS並安裝了感應裝置。,,
,4,3,시즌6컷신4,베로니카,Veronica,貝羅尼卡,94,여긴 끝났군요. 고룡의 무덤으로 가요.,It's over here. Let's go to Bone Yard,這裡結束了，那我們就前往古龍的墳墓吧.,,
,5,1,던전 지역 배경,주인공,Player,Player,0,"갑자기 땅이 흔들려, 뭐지?",The ground is shaking. What is it?,突然地面震動了，怎麼回事？,7,BGM/dragon_theme_10sec.mp3
,5,2,던전 지역 배경,누리,Nuri,諾莉,5,"즈믄, 대체 저 드래곤은 뭐야??",What is that dragon?!,吉蒙？那隻龍是誰？,,
,5,3,던전 지역 배경,즈믄,Zimon,茲門,6,"나도 몰라, 그렇지만 상당히 위험해 보여!",I don't know! but it looks dangerous!,我也不知道，但看起來非常危險！,,
,6,1,시즌6컷신5,,,,0,리치몬드 뒤의 높은 암석 위로 검은 로브를 입은 자가 있다.,There is a man in a black robe on the high rock behind Lichmond,在里奇蒙德後方的高岩石上，有一個穿著黑色長袍的人。,1,BGM/dragon_theme_10sec.mp3
,6,2,시즌6컷신5,누리,Nuri,諾莉,73,응? 저기 위에 누가 있어!,Huh? There's someone up there!,嗯？那裡上面有人！,8,
,6,3,시즌6컷신5,,,,0,옆에 있던 베로니카가 갑자기 몸을 부들부들 떨기 시작했다.,Veronica suddenly began to tremble.,旁邊的貝羅尼卡突然開始全身顫抖。,9,
,6,4,던전 지역 배경,요셉,Joseph,約瑟,98,"베로니카님, 괜찮으십니까?","Veronica, are you all right?",貝羅尼卡小姐，您還好嗎？,1,
,6,5,던전 지역 배경,베로니카,Veronica,貝羅尼卡,97,역시 저희 예상이 맞는 것 같아요...\n저들은 이 마력 조각과 연관이... 윽...,I think our prediction is right... They're related to this piece of mana. Ugh.,果然我們的預測沒錯……\n他們似乎和這些魔力碎片有關……呃…,,
,6,6,던전 지역 배경,,,,0,베로니카가 의문의 드래곤 기운을 이기지 못하고 쓰러졌다.,"Veronica collapsed, unable to overcome the mysterious dragon energy.",貝羅尼卡無法抵擋那股神秘的龍之氣息，倒下了。,,
,6,7,던전 지역 배경,요셉,Joseph,約瑟,100,베로니카님!,Veronica!,維羅妮卡小姐！ ,,
,6,8,던전 지역 배경,즈믄,Zimon,茲門,6,일단 여기서 벗어나는 게 좋을 것 같아!,I think we'd better get out of here first!,先離開這裡好了！,,
,7,1,왕궁별채 배경,,,,0,지부장님과 디트에게 던전에서 있었던 일들에 대해 이야기했다.,I talked to the manager and Deet about what happened at Dungeon.,我將地下城裡發生的事情告訴了支部長和迪特。,,
,7,2,왕궁별채 배경,누리,Nuri,諾莉,2,지부장님은 뭐 아시는 거 없으세요?,Do you know anything about it?,支部長，您知道些什麼嗎？,,
,7,3,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,검은 로브를 입었다면...,Man in a black robe...,如果穿著黑色長袍的話…,,
,7,4,왕궁별채 배경,디트,Deet,迪特,76,한동안 잠잠하더니 다시 활동을 시작했구먼!,"They've been quiet for a while, and then they're back in action!",沉默了一段時間後，竟然又開始活動了！,,
,7,5,왕궁별채 배경,요셉,Joseph,約瑟,98,"네, 맞습니다. 검은 로브의 사도로 보였어요.","Yes, that’s right. It looked like an apostle of black robe.",是的，沒錯。那個穿黑色長袍的人看起來像是黑袍使徒。,,
,7,6,왕궁별채 배경,누리,Nuri,諾莉,2,검은 로브의 사도?,Apostle?,黑袍使徒？那是什麼樣的存在？,,
,7,7,왕궁별채 배경,요셉,Joseph,約瑟,98,예부터 검은 로브를 입고 제사를 지내서 검은 로브의 사도라 불렸습니다.,They were called the Apostles of the black robe because they wore black capes to perform ancestral rites for a long time ago.,從古以來，他們穿著黑色長袍進行祭祀，因此被稱為黑袍使徒。,,
,7,8,왕궁별채 배경,요셉,Joseph,約瑟,98,이 세상에 몬스터들을 출몰하게 된 것도\n그들의 제사 때문이죠.,Monsters appeared in the world\nbecause of their ancestral rites.,這個世界上怪物的出現，\n也是因為他們的祭祀所引發的。,,
,7,9,왕궁별채 배경,요셉,Joseph,約瑟,98,목적을 이루기 위해선 잔인한 일도 마다치 않죠.,They don't mind cruel things to achieve their goals.,為了達成目的，他們也不會避開殘忍的手段。,,
,7,10,왕궁별채 배경,요셉,Joseph,約瑟,101,그들 때문에 제 가족들도 그만..,"Because of them, all of my family..",因為他們，我的家人也…,,
,7,11,왕궁별채 배경,누리,Nuri,諾莉,5,….,....,….,,
,7,12,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,"아무래도 검은 로브의 사도와 카닐, G스컬 또한 깊은 연관이 있을 것 같아요.","I think the Apostles, Kanyl, and G-skull are also deeply related.",看來黑袍使徒、卡尼爾和G骷髏之間也有深刻的聯繫。,,
,7,13,왕궁별채 배경,주인공,Player,Player,0,검은 로브의 사도와 G스컬이?,The Apostles and G-skull?,黑袍使徒和G骷髏？,,
,7,14,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,"네, 협회에 의하면 G스컬이 나타난 지역에서 검은 로브의\n사도를 보았다는 제보가 있었으니까요.","Yes, according to the association, there was a report that they saw a man in black robe in the area where G Skull appeared.",是的，根據協會的消息，\n在G骷髏出現的地區曾有目擊者報告看見黑袍使徒。,,
,7,15,왕궁별채 배경,즈믄,Zimon,茲門,6,그럼 아까 나타난 드래곤은 대체...,So what the hell is the dragon that showed up...,那麼剛才出現的龍到底是什麼呢…,,
,7,16,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,흠.. 고룡의 무덤에서 발견되었다면... \n고대 드래곤과 어떤 관련이 있지 않을까요?,Hmm... if it was found in Bone Yard... wouldn't it have something with the ancient dragon?,嗯…如果在古龍的墳墓發現的話…\n會不會與古代龍有某種關聯呢？,,
,7,17,왕궁별채 배경,즈믄,Zimon,茲門,6,고대 드래곤이라면 드래곤 슬레이어와 연관이 있을지도…,An ancient dragon might have something with Dragon slayer.,如果是古代龍，可能與屠龍者有關聯…,,
,7,18,왕궁별채 배경,누리,Nuri,諾莉,2,그럼 루나 왕녀님이 뭔가 알고 있지 않을까?,Then wouldn't the princess Luna know something?,那麼，露娜公主應該知道一些事情吧？,,
,8,1,하늘왕국 왕궁 배경,헥토르,Hector,赫克托爾,30,현재 루나 왕녀님은 부재중이시라 도움을 드리진 못합니다.,"The princess is currently away, so she can't help us.",目前露娜公主不在，無法提供幫助。,,
,8,2,하늘왕국 왕궁 배경,주인공,Player,Player,0,그런데 나 아까 꿈에서 그 검은 로브의 사도를 봤었어.,Well... I saw the Apostle of that black robe in my dream.,我剛才夢到那個穿著黑色長袍的使徒。,,
,8,3,하늘왕국 왕궁 배경,누리,Nuri,諾莉,4,뭐? 그걸 왜 이제 말하는 거야?,What? Why are you saying that now?,什麼？為什麼現在才說？,,
,8,4,하늘왕국 왕궁 배경,즈믄,Zimon,茲門,6,어떤 꿈이었는데?,What kind of dream was it?,是什麼樣的夢？,,
,8,5,하늘왕국 왕궁 배경,,,,0,난 꿈에 대해 이야기를 했다.,I talked about dreams.,我說了有關夢的故事。,,
,8,6,하늘왕국 왕궁 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,흠.. 장치를 설치하기에 앞서\n검은 로브의 사도에 대한 조사부터 진행해야겠어요.,"Well, before we install the device, we need to investigate the Apostles of the Black robes.",嗯.. 在安裝裝置之前，\n我需要先進行關於黑袍使徒的調查。,,
,8,7,하늘왕국 왕궁 배경,요셉,Joseph,約瑟,101,제가 도움을 드리고 싶지만 베로니카님 곁에 있어 드려야 하니…,"I'd love to help, but I have to stay with Veronica...",我很想幫忙，但我必須待在貝羅尼卡身邊…,,
,8,8,하늘왕국 왕궁 배경,누리,Nuri,諾莉,3,저희만 믿으세요. 이보다 더 큰일도 해냈어요! \n 그렇지? (주인공)?,Just trust us. We've done something bigger than this! \nIsn't that right? (주인공),只要相信我們就好！我們也做過比這更大的事情！對吧？(주인공),,
,8,9,하늘왕국 왕궁 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,방심하면 안 됩니다. 그들이 무슨 일을 꾸미고 있을지 몰라요.,Don't let your guard down. We don't know what they're planning.,不能掉以輕心。我們不知道他們正在策劃什麼。,,
,8,10,하늘왕국 왕궁 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,혹여 그자를 발견한다면 덤비지 말고 바로 알려줘야 합니다!,"If you find him, don't rush and let me know!",如果發現那個人，千萬不要衝動，必須立刻告訴我們！,,
,8,11,하늘왕국 왕궁 배경,요셉,Joseph,約瑟,98,아모르의 은총이 함께 하기를…,May Amorru's grace be with you.,願阿莫爾的恩寵與你同在…,,
,9,1,마을 배경,즈믄,Zimon,茲門,6,검은 로브의 사도라... 다시 한번 고룡의 무덤에 가볼까?,Apostle of Black rove...Shall we go to Bone Yard again?,黑袍使徒啊... 要不要再去一次古龍的墓地？,,
,9,2,마을 배경,누리,Nuri,諾莉,5,바로 가기엔 좀 두렵기도 한데...,"I'm a little afraid to go right now, but...",直接去好像有點怕啊…,,
,9,3,마을 배경,누리,Nuri,諾莉,5,아까 그 드래곤의 힘만 봐도 드래곤슬레이어와 견줄만하잖아..,It's almost as dangerous as Dragon slayer?,光是剛才那條龍的力量，就能與屠龍者相匹敵了吧…,,
,9,4,마을 배경,즈믄,Zimon,茲門,6,꿈에서 그자를 본 건 (주인공). \n그러니까 네가 정해!,It was (주인공) who saw him in a dream.\nSo you decide!,夢中看到那個人的是(주인공)。所以你來決定！,,
,9,5,마을 배경,,,,0,그렇게 우린 검은 로브의 흔적을 찾는 탐험을 시작했다.,So we set out on an expedition looking for traces of the black robes.,就這樣，我們開始了尋找黑袍痕跡的探險。,,
