,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,,
,38,8,물의 봉인지,드래곤 슬레이어,,나와라 고대신룡! 다크닉스! 죽여주겠다!\n크아아아아!,Come on! God dragon! Dark Nix! I'll kill you!\nKraaaaak!,,,
,,,,퀘스트,43,드래곤 슬레이어를 무찌르자\n(물의 봉인지에 퀘스트 표시)\n(전투 퀘스트),Defeat Dragon slayer.,,,
,39,1,꿈의 세계 월드맵,주인공,,"눈을 뜨자 그곳은 아르하의 전초기지였다.\n지부장님과 즈믄, 누리까지 나를 걱정스럽게 보고 있었다.","When I opened my eyes, it was a base camp of Archa.\nThe manager, Nuri, and Zimon looked on me with anxiety.",,,
,39,2,꿈의 세계 월드맵,지부장,슬픔,렉스톤에게 이야기 들었습니다. 고생하셨군요.,I heard about it from Rexton.,,,
,39,3,꿈의 세계 월드맵,주인공,,헬카이저와 고대신룡은 어떻게 되었느냐고 묻자 아무도 대답하지 않았다.\n슬프게도 그것만으로 충분한 대답이었다.,"When asked what happened to Hell kaiser and God dragon, no one answered.\nSadly, that was a good answer.",,,
,39,4,꿈의 세계 월드맵,지부장,,"솔라와 제피로스, 포폰도 지금 이곳에 있습니다.\n아르하에 있는 적 세력이 너무 강해져 일단 피신했죠.","Solar, Zephyros and Popon are here now.\nThe enemy of Archa became so strong that they took refuge.",,Zephyros,
,39,5,꿈의 세계 월드맵,주인공,,......죄송합니다.,.... Sorry.,,,
,39,6,꿈의 세계 월드맵,누리,슬픔,아냐 (주인공)! 혼자 고생 많았어! 충분히 열심히 했는걸!,"No, (주인공)! You've worked hard enough!",,,
,39,7,꿈의 세계 월드맵,즈믄,슬픔,어쩔 수 없어! 적의 세력을 모르는 상태에서 혼자 열심히 했잖아!\n너무 자책하지 마!,you can't help it! You worked hard alone without knowing the enemy's power!\nDon't be so hard on yourself!,,,
,39,8,꿈의 세계 월드맵,주인공,,사과하는 나를 누리와 즈믄이 위로해줬다.\n하지만 지금 심정은 그 어떠한 말로도 위로 못할 참담한 심정이었다.,Nuri and Zimon comforted me for apologizing.\nBut now I felt miserable.,,,
,39,9,꿈의 세계 월드맵,지부장,보통,그리고 결코 당신을 탓하는 건 아니지만 일단 들어두세요.\n드래곤 슬레이어가 실종되었습니다.,"And I don't blame you for anything, but just listen.\nDragon Slayer is missing.",,,
,39,10,꿈의 세계 월드맵,주인공,,뭐라구요?!,What?!,,,
,39,11,꿈의 세계 월드맵,지부장,보통,"이곳 유타칸으로 돌아오진 않았습니다.\n그 자리의 모두가 쓰러진 후, 정신을 차리니 이미 없어졌다고 하더군요.","It didn't come back to Yutakan.\nAfter everybody collapsed, they said it was gone.",,,
,39,12,꿈의 세계 월드맵,주인공,,그 배신자 같으니! 미치광이 드래곤! 그렇게 복수밖에 몰랐던건가!,Traitor! It only knew about revenge!,,,
,39,13,꿈의 세계 월드맵,지부장,슬픔,......어떠한 일이 있었는지는 모르겠습니다.\n하지만 그렇게 흥분만 하고 있어서야 상처가 낫지 않죠. 진정하세요.,"...... I don't know what happened.\nBut that kind of excitement doesn't heal the wounds. Calm down. ",,,
,39,14,꿈의 세계 월드맵,주인공,,다 끝났습니다! 고대신룡은 이미 죽었습니다!\n드래곤 슬레이어의 봉인도 영원히 풀려버린거구요!,"It's over! God dragon is already dead!\nDragon slayer's seal has been lifted forever!",,,
,39,15,꿈의 세계 월드맵,누리,슬픔,진정해! 그렇게 화내면 상처가 벌어져!,Calm down! Your wounds will get worse.,,,
,39,16,꿈의 세계 월드맵,솔라,,그 말이 맞다. 그리고 네 말은 틀렸다.,That's right. And what you said was wrong.,,,
,39,17,꿈의 세계 월드맵,주인공,,솔라의 차분한 음성이 들리자 절로 마음이 가라앉았다.\n물론 마음만. 머리 속은 여전히 잔뜩 격앙된 상태였다.,"When Solar`s calm tone was heard, I became calm.\nOf course, my mind was still in great excitement. """,,,
,39,18,꿈의 세계 월드맵,솔라,,이제야 정신을 차렸군. 인간치고는 꽤나 튼튼하구나.,Now you've come to your senses. You are quite strong for a human being.,,,
,39,19,꿈의 세계 월드맵,주인공,,......미안합니다 솔라. 당신들을 돕기엔 제 힘이 너무 미약했습니다.,"...... Sorry, Solar. I'm not enough to help you.",,,
,39,20,꿈의 세계 월드맵,솔라,,다 생각하던 것이니 너무 신경쓰진 마라.\n드래곤 슬레이어가 제일 큰 도움이 됐던 것만 알고 있으면 된다.,"I've been thinking about it, so don't worry too much.\nAll you have to do is know that Dragon slayer helped you the most.",,,
,39,21,꿈의 세계 월드맵,주인공,,뒤에서 즈믄이 솔라를 고약하게 노려보는게 보였다.\n어쩐지 그 모습이 너무 웃겼다.,I could see Zinon staring angrily at Solar from behind.\nSomehow the look was so funny.,,,
,39,22,꿈의 세계 월드맵,지부장,보통,"이야기를 계속 하죠. 당신이 일어나기 전, 수호룡들과 대화를 했습니다.\n그리고 다시 한번 임무를 지속할 기회가 있단 것을 알았죠.","Let's keep talking. Before you got up, I had a talk with the guardian dragons.\nAnd I knew we had another chance to continue our mission.",,,
,39,23,꿈의 세계 월드맵,주인공,,그게 무슨 말이죠?,What does it mean?,,,
,39,24,꿈의 세계 월드맵,솔라,,그들이 원하는건 고대신룡의 목숨이 아니다. 그 영혼이지.\n그냥 죽이는 것이 목적이었다면 그자리에서도 충분했다.,"It is not the life of God dragon they want. It's the soul.\nIf killing was the goal, there was plenty to kill.",,,
,39,25,꿈의 세계 월드맵,솔라,,먼저 렉스톤에게 이야기를 듣는 게 좋겠다.\n그가 마지막까지 헬카이저를 지켜본 드래곤이니.,"You'd better listen to the story from Rexton first.\nHe is the dragon who watched Hell kaiser until the end.",,,
,,,,퀘스트,44,렉스톤의 이야기를 듣자\n(아르하 입구에 퀘스트 표시),Focus on Rexton's story.,,,
,40,1,꿈의 세계 월드맵,렉스톤,,"이블 던과 레버넌트, 헬카이저 본인까지 나선건 말이 안돼.\n단순히 죽이는 거라면 몬스터만 보내도 해결될 문제다.","It doesn't make sense for Evil Dawn, Revenant, Hell kaiser himself to stand out.\nIf killing simply is the goal, sending monsters alone will solve the problem.",Hell kaiser,Revenant,
,40,2,꿈의 세계 월드맵,지부장,보통,그 과정에서 헬카이저까지 상처를 입었습니다.\n그만한 감당을 하면서 고대신룡을 데려가려는 건 이유가 있겠죠.,"And in the process, Hell kaiser even got a wound.\nI guess there's a reason why they want to take God dragon.",,,
,40,3,꿈의 세계 월드맵,렉스톤,,아마도 승천을 통한 영혼의 추출일거란 추측이 들었다.\n고대신룡의 영혼이라면 카데스가 눈독을 들이겠지.,"I had a hunch it was a extraction of the soul through the ascension.\nIf it is the soul of God dragon, Kades will give his eye to it.",,,
,40,4,꿈의 세계 월드맵,지부장,보통,"그렇죠, 빛의 상징인 고대신룡입니다. 그 영혼을 추출하는 일이죠.\n아마 적은 시간이 걸리지는 않을겁니다.","Yes, he is the symbol of light, God dragon. It's about extracting that soul.\nIt'll take a lot of time.",,,
,40,5,꿈의 세계 월드맵,솔라,,"(주인공), 준비해라. 다시 한번 아르하로 간다.\n이번에야말로 헬카이저를 쳐부수고 고대신룡을 구한다.","(주인공), make you ready. We are going to Archa again.\nThis time, we destroy Hell kaiser and save God dragon.",,,
,40,6,꿈의 세계 월드맵,주인공,,내가 환희에 찬 표정을 짓자 솔라가 한번 더 기쁜 말을 했다.,Solar said another glad word as I gave him a delighted look.,,,
,40,7,꿈의 세계 월드맵,솔라,,고대신룡을 구한다면 이번에야말로 도와주겠다.\n3마리의 수호룡의 힘으로라도 어떻게든 상처를 치료해보지.,"If we can save God dragon, I'll help him this time.\nI'll treat the wounds somehow, even with the power of three guardians.",,,
,40,8,꿈의 세계 월드맵,주인공,,좋군요. 아직 시간이 남아있는거라면 충분합니다.\n어서 준비하죠!,"Great. If there's still time left, there's plenty.\nLet's get ready!",,,
,40,9,꿈의 세계 월드맵,주인공,,거기서 내 결의의 찬 대사를 제지한 건 다름아닌 지부장님이었다.,It was none other than the manager that blocked my decision there.,,,
,40,10,꿈의 세계 월드맵,지부장,보통,"당장은 안됩니다. (주인공), 당신의 전력이 너무 떨어집니다.\n이제 드래곤 슬레이어는 없습니다. 당신이 그 자리를 메꿔야 합니다.","Not right now. (주인공), you are short.\nThere is no Dragon slayer anymore. You have to fill the position.",,,
,40,11,꿈의 세계 월드맵,주인공,,그게 무슨 말이죠?,What does it mean?,,,
,40,12,꿈의 세계 월드맵,지부장,보통,"드래곤 슬레이어는 강한 드래곤이었습니다.\n대부분의 전투에서 그 위력을 뽐냈지만, 지금 그는 없습니다.","Dragon slayer was a strong dragon.\nIt showed off its strength in most battles, but its not in now.",,,
,40,13,꿈의 세계 월드맵,솔라,,맞다. 유타칸의 드래곤이면서 유일하게 아르하의 기운에 영향이 없었지.\n네게도 그런 드래곤이 필요하다.,"Right. It was Yutakan's dragon and the only one that wasn't affected by the energy of Archa.
\nYou need such a dragon.",,,
,40,14,꿈의 세계 월드맵,주인공,,어...... 그런 방법이 있나요?,Uh ...... is there a way?,,,
,40,15,꿈의 세계 월드맵,지부장,웃음,있습니다.,I have it.,,,
,40,16,꿈의 세계 월드맵,주인공,,지부장님이 환하게 웃었다. 반대로 내 마음은 어두워졌다.\n조심스럽게 방법이 뭔지를 물어봤더니 솔라가 대뜸 나섰다.,"The manager smiled brightly. On the contrary, my mind was darkened.\nWhen I asked carefully what the solution was, Solar came forward to answer.",,,
,40,17,꿈의 세계 월드맵,솔라,,아주 지혜로운 인간이다. 유타칸과 아르하의 힘을 합칠 생각을 하다니.\n페르시온 결정이라는 물건을 봤는데 아주 강력한 힘이 있더군.,She is a very wise human. Thinking about combining Yutakan and Archa.\nI saw the Persion Crystal and it was very powerful.,,,
,40,18,꿈의 세계 월드맵,지부장,보통,제가 설명할테니 조용하세요.,"I'll explain, so be quiet.",,,
,40,19,꿈의 세계 월드맵,주인공,,솔라는 입을 다물었다. 지금 드는 생각인데 지부장님은 뭔가 힘이 있다.\n드래곤을 조용히 만드는 힘이......,"Solar was shut up. I'm thinking about it now, but the manager has something special.\nThe power to make the dragon silent ...",,,
,40,20,꿈의 세계 월드맵,지부장,보통,"아르하의 힘을 담은 정수들과 페르시온 결정의 힘을 합쳐봤습니다.\n그 결과, 각성 드래곤에게 새로운 힘을 부여하더군요.","We've combined the power of archa crystals with the power of persion crystals.\nAs a result, it gives new power to awakened dragon.",,,
,40,21,꿈의 세계 월드맵,주인공,,네? 새로운 힘이요?,What? New power?,,,
,40,22,꿈의 세계 월드맵,지부장,보통,그렇습니다. 저희는 이것을 '진각성'이라고 이름붙이기로 했습니다.\n각성의 틀은 보존한 채 새로운 강화의 힘을 부여하기 때문이죠.,Yes. We decided to call it Jin-awakening.\nIt gives dragon new power in preservation.,,,
,40,23,꿈의 세계 월드맵,지부장,보통,"물론 그 과정이 쉽진 않습니다.\n다량의 아르하 정수와 페르시온 결정, 강화의 정수도 필요합니다.","Of course, it's not easy.\nYou also need a large number of Archa crystals and persion crystals, and elixirs.",,,
,40,24,꿈의 세계 월드맵,지부장,보통,"서두르세요 (주인공). 반격을 위해, 진각성 드래곤의 힘이 필요합니다.","Hurry up, (주인공). To fight back, we need the power of the  Jin-awaken dragon.",,,
,,,,퀘스트,45,"드래곤 연구소에서 진각성 알아보기.\n(아르하의 입구에 퀘스트 표시)\n(진각성 튜토리얼 진행, 관련 재료 시스템 상 지급)","Understand about Jin-awakening at the Dragon lab.\n(아르하의 입구에 퀘스트 표시)\n(진각성 튜토리얼 진행, 관련 재료 시스템 상 지급)",,,
,41,1,드래곤 연구소,지부장,보통,진각성에는 45레벨에 모든 강화를 끝마친 각성 드래곤이 필요합니다.,"You need Lv.45, awaken dragon with full reinforcement for Jin-awakening.",렉스톤 선택하기,,
,41,2,드래곤 연구소,지부장,보통,그리고 진각성의 힘을 합쳐줄 두마리의 드래곤이 더 필요합니다.,And you need two more dragons to make Jin-awakening.,포메쿨 2마리 선택하기,,
,41,3,드래곤 연구소,지부장,보통,필요한 아르하의 정수와 페르시온 결정의 수는 등급에 따라 결정됩니다.\n등급이 낮을수록 더 많은 수량이 필요하죠.,"The number of materials required is determined by the grade.\nThe lower the grade, the more materials are needed.",다음 대사로 이어짐,,
,41,4,드래곤 연구소,지부장,보통,여기까지 알려드렸으니 이제 진각성을 진행해보죠,"Now that I've told you, let's do Jin awakening.",진각성 하고 결과창,,
,41,5,드래곤 연구소,지부장,보통,렉스톤이 더욱 강해졌습니다.\n이제 아르하로 떠나 고대신룡을 구할 차례입니다.,"Rexton is stronger.\nNow it's time to leave Archa and save God dragon.",완료,,
,,,,퀘스트,46,아르하로 떠나기\n(아르하의 입구에 퀘스트 표시),Go to Archa.,,,
