,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,
,68,19,꿈의 세계,주인공,,"포폰의 말을 마지막으로 모두가 조용해졌다. 배신, 세뇌, 타락, 여러가지 단어들이 머릿속을 맴돌았다. 하지만 입 밖으로 나오진 않았다.","At the end of Popon's words, everyone fell silent. Betrayal, brainwashing, corruption, and many other words were in my head. But it didn't come out of my mouth.",,
,68,20,꿈의 세계,주인공,,아마 모두가 그런 생각을 하고 있었을 것이다. 그렇기에 침묵이 길었다.,"Perhaps everyone was thinking that way. Therefore, silence was long.",,
,68,21,꿈의 세계,지부장,보통,......비극적인 상황은 이해합니다. 하지만 그렇다고 이대로 손 놓고 있을 순 없죠.,I understand the tragic situation. But I can't let it go.,,
,68,22,꿈의 세계,솔라,,"딱히 이해를 바라는 건 아니다. 우리는 졌고, 그로 인해 일어난 결과일 뿐이지. 아르하를 구하려고 하는 지금은...... 그들도 적일 뿐이다.","I am not really looking for an understanding. We lost, and that's a result. They are the enemy now that we are trying to save Archa.",,
,68,23,꿈의 세계,누리,슬픔,그래도 이건 너무 슬프잖아요. 옛 동료나 여신님과 싸워야 한다니......,But this is so sad. We have to fight with your old friend and goddess... ,,
,68,24,꿈의 세계,렉스톤,변신,저쪽이 대화의 의지가 전혀 없어. 저번 전투에서 명백히 죽이려고 달려들었으니까.,They have no will to talk. They attacked us in the last battle.,,
,68,25,꿈의 세계,제피로스,,맞아. 그들은 이미 아르하를 수호하겠다는 사명을 저버린 거나 마찬가지다. 이미 배신자지.,"Yes, they have already given up their mission to protect Archa. They are already traitors.",,
,68,26,꿈의 세계,주인공,,"포폰은 아무 말 없이 땅만 쳐다보고 있었다. 슬픈 표정으로, 두 주먹을 불끈 쥐고.","Popon was looking at the ground without saying anything. With a sad look, two fists in a fit.",,
,68,27,꿈의 세계,지부장,보통,"자, 정해졌으면 움직이죠. 적은 분명합니다. 그들은 우리의 목적을 가로막고 있고, 우린 어떻게 해서든 여신을 찾아야 합니다.","Well, let's move. The enemy is clear. They are blocking our purpose, and we must find the goddess at all costs.",,
,68,28,꿈의 세계,지부장,보통,"솔라, (주인공)일행과 함께 증명의 탑을 올라가 주세요. 이렇게 된 이상 드래곤 슬레이어가 가장 확실한 단서가 될 수 있습니다.","Solar, go up the Tower of proof with (주인공) party. Once this happens, Dragon slayer can be the most obvious clue.",,
,68,29,꿈의 세계,솔라,,상황이 상황이니 만큼 어쩔 수 없군. 모두 서두르자. 장난칠 때가 아니야.,I can't help it. Let's hurry. This is no time for mischief.,,
,,,,퀘스트,,"증명의 탑 50층에 도달하자 (0/50)
(증명의 탑에 퀘스트 표시)
(증명의 탑 진입하는 순간 바로 퀘스트 진행, 0/50은 허세)",Reach to the 50th floor of the tower.,,
,69,1,증명의 탑,솔라,,"50층 따위...... 순식간...... 내가 1등...... 헉, 헉.",Fifty stories ...... in a second. I'm the first.....huff huff,,
,69,2,증명의 탑,제피로스,,"헉, 헉...... 정신 나갔어 저건.",I think he is crazy.,,
,69,3,증명의 탑,포폰,,제발 그만해 솔라! 이럴 때가 아니야 우리!,"Stop it, Solar! This is not the time!",,
,69,4,증명의 탑,솔라,,난 증명의 탑의 왕이다! 으하하하하!,I'm king of the tower!!! Hahahahahahahaha!,,
,69,5,증명의 탑,주인공,,"다행히 헬카이저가 아닌, 드래곤 슬레이어가 어처구니 없는 표정으로 우릴 바라보고 있었다.","Fortunately, Dragon Slayer, not Hell kaiser, was staring at us with a ridiculous look.",,
,69,6,증명의 탑,드래곤 슬레이어,변신,무슨 놀이냐 이건.,What are you doing now?,,
,69,7,증명의 탑,고대신룡,변신,다행이다. 헬카이저는 아니었군.,"Luckily, Hell kasier isn't here.",,
,69,8,증명의 탑,드래곤 슬레이어,변신,최근에는 탑에서 보이지 않았다. 만나면 가만두지 않으려고 했건만. 그래서 저것들은 지금 뭐하는거냐 대체.,"Recently, he was not seen at the tower. I wasn't going to let him go when I met him, so what are you doing?",,
,69,9,증명의 탑,주인공,,역시 지부장님의 추측이 맞았다. 헬카이저 역시 여신님을 찾고 있었던 것이다.,The manager was right. Hell kaiser was also looking for the goddess.,,
,69,10,증명의 탑,렉스톤,변신,우리도 몰라. 결국 다같이 올라가야 되는데 갑자기 자기들끼리 다음층 올라가는걸 경쟁하더라고.,"We don't know. We had to climb up all together, but all of a sudden they were competing to climb up the floors.",,
,69,11,증명의 탑,드래곤 슬레이어,변신,저 노란 놈은 병이냐? 혼자서도 자꾸 기웃거리더니. 아무튼 잘도 여기까지 왔구나. 실력에 쥐꼬리만한 자신이라도 붙여서 온 모양인데 어디 한번......,"Is that yellow one sick? He kept snooping around. Anyway, you came all the way here. I guess you just added a little confidence to your ability, but...",,
,69,12,증명의 탑,고대신룡,변신,"아, 지금 그러려고 온게 아냐. 잠깐 기다려줘.","Oh, that's not what we are here to do. Wait a minute.",,
,69,13,증명의 탑,드래곤 슬레이어,변신,그럼 뭐하러 온거냐.,Then why did you come here?,,
,69,14,증명의 탑,주인공,,짜증이 난건지 드래곤 슬레이어는 낮게 으르렁거렸다. 우린 드래곤 슬레이어에게 여신의 행방을 묻기 위해 찾아왔다고 했다.,"Perhaps annoying, Dragon slayer snarled. We told Dragon slayer that we came to ask the goddess's whereabouts.",,
,69,15,증명의 탑,드래곤 슬레이어,변신,여긴 없다. 있으면 내가 잡아먹었겠지.,Not here. I would have eaten it if I had.,,
,69,16,증명의 탑,주인공,,농담할 시간 없어! 넌 여신님을 직접 만나봤잖아? 어디서 뵌건지 알려줘.,"There's no time to be joking! You've met the goddess, haven't you? Let me know where you met her.",,
,69,17,증명의 탑,드래곤 슬레이어,변신,"내가 생사의 갈림길에서 오락가락 할때였지. 헬카이저에게 패배하고 목숨도 경각에 달린 그때, 난 실제 한번 죽었다. 그리고 난 나쁜놈이니 지옥에 갔지.","It was when I was on the point of life and death. When I lost to Hell kaiser and my life was on the line, I actually died once. And I went to hell because I'm a bad.",,
,69,18,증명의 탑,드래곤 슬레이어,변신,"그런데 세상에, 여신이 지옥에 있다니? 어째서지? 알고보니 겉으로 착한 척 하면서 뒤로는 드래곤의 생피를 마시고 인간의 살을 씹으며......","But for God's sake, the goddess is in hell? Why? It turns out that while pretending to be nice, she drinks dragon's blood and chews human flesh...",,
,69,19,증명의 탑,렉스톤,변신,야! 똑바로 대답하라고!,Yo! Answer straight!,,
,69,20,증명의 탑,주인공,,다행히 거짓말이었다. 세 수호룡의 얼굴이 점점 파랗게 변하다가 렉스톤의 호통을 듣고 다시 멀쩡하게 돌아왔다. 물론 난 속지 않았다. 정말로.,Luckily it was a lie. The face of the three guardians gradually turned pale and returned to normal after hearing Rexton's roar. Of course I wasn't fooled. Really.,,
,69,21,증명의 탑,드래곤 슬레이어,변신,모른다.,I don't know.,,
,69,22,증명의 탑,렉스톤,변신,뭐?,What?,,
,69,23,증명의 탑,드래곤 슬레이어,변신,"모른다고 했다. 그때 빈사의 상태에서 빛을 느끼기는 했다. 목소리도 들었고 대화도 했지. 정신을 차려보니 난 더 강해져 있었고, 주변엔 아무도 없었다.","I don't know. It was then a dying moment when I felt the light. I heard voices and talked with her. When I woke up, I was stronger, and there was no one around.",,
,69,24,증명의 탑,주인공,,아무래도 이번엔 진짜같다.,I think it's true this time.,,
,69,25,증명의 탑,드래곤 슬레이어,변신,그때 본인이 직접 정체를 밝힌 것이 아르하의 여신이었고 힘을 빌려달라고 했다. 헬카이저 그 망할 놈에게 열받아 있던 나는 냉큼 수락했지.,"At that time, she was the goddess of Archa who revealed herself and asked for help. I was so pissed off at Hell kaiser that I accepted it right away.",,
,69,26,증명의 탑,드래곤 슬레이어,변신,어렴풋한 기억이기는 한데 그리고는 만나지 못했다. 뭔가 더 말한 것 같기도 한데 뒤는 나도 몰라. 기억 안난다.,"It was a dim memories, but I couldn't meet. I think she said something more, but I don't know what happened next. I don't remember.",,
,69,27,증명의 탑,솔라,,여신님이 계신 장소나 다른 단서같은 것도 전혀 없었나?,Were there any clues to where the goddess was?,,
,69,28,증명의 탑,드래곤 슬레이어,변신,"없었고, 있었어도 말할 순 없지.","No, I couldn't say if I did.",,
,69,29,증명의 탑,제피로스,,어째서지?,Why?,,
,69,30,증명의 탑,드래곤 슬레이어,변신,저기에서 지켜보는 쥐새끼가 한마리 있기 때문이거든.,Because there's a rat watching from there.,,
,,,,퀘스트,,"숨어있는 자를 찾아내자
(증명의 탑에 퀘스트 표시)","Find the ""Rat""",,
,70,1,증명의 탑,포폰,,이그나......,Igna...,,
,70,2,증명의 탑,이그나,,......,...,,
,70,3,증명의 탑,솔라,,무슨 일이냐 이그나. 왜 우릴 쫓아온거지?,What's the matter with you? Why did you come after us?,,
,70,4,증명의 탑,이그나,,여신...... 을 찾기 위해서다.,I am looking for a goddess.,,
,70,5,증명의 탑,솔라,,여신님을 찾아서 어쩌려는거지?,What are you going to do after finding the goddess?,,
,70,6,증명의 탑,이그나,,......,......,,
,70,7,증명의 탑,제피로스,,대답해라 이그나!,Answer!,,
,70,8,증명의 탑,이그나,,이제와서 너희들에게 할 말따윈 없다.,I have nothing to tell you now.,,
,70,9,증명의 탑,솔라,,말을 하지 않으면 뭘 하자는거냐?,What the hell are you doing if you don't talk?,,
,70,10,증명의 탑,이그나,,너희들은...... 멍청해.,You guys are ...... stupid.,,
,70,11,증명의 탑,렉스톤,변신,맥락 하고는. 똑바로 좀 얘기해. 수다스럽던 녀석이 갑자기 띄엄띄엄 더듬고 있어.,Speak up. The chatterbox is groping suddenly.,,
,70,12,증명의 탑,이그나,,......,...,,
,70,13,증명의 탑,솔라,,적어도 대화를 길게 하고 싶지 않다는 의지는 알겠다.,At least I can see that you don't want to talk long.,,
,70,14,증명의 탑,제피로스,,결국 싸워야 하나.,Do we have to fight after all?,,
,70,15,증명의 탑,솔라,,준비해라. 만만치 않은 적이......,Make you ready. Formidable enemy ......,,
,70,16,증명의 탑,드래곤 슬레이어,변신,멍청한 것들이 갑자기 여기서 뭘 하려는거냐.,What are those stupid things trying to do here?,,
,70,17,증명의 탑,주인공,,"등 뒤에서 드래곤 슬레이어의 음산한 목소리가 들렸다. 분노와 짜증, 깊은 어둠이 서린 목소리였다. 갑자기 심기가 불편해진 걸까?",I could hear the gloomy voice of Dragon slayer behind my back. His voice was filled with anger and deep darkness. Did he suddenly get upset?,,
,70,18,증명의 탑,드래곤 슬레이어,변신,나랑 싸울거 아니면 나가서 싸워라. 정신 사나워.,"If you're not fighting with me, go out and fight.",,
,,,,퀘스트,,"불의 봉인지에서 이그나를 쓰러뜨리자
(불의 봉인지에 퀘스트 표시)(실화전투, 능력치 30%로 하향)",Defeat Igna at the land of fire.,이그나 잡고 대사 나오다 3번 팅 -> 아르하로,
,71,1,불의 봉인지,솔라,,다시 한번 묻지 이그나. 너희들의 목적은 뭐냐!,I ask to you again. What is your purpose?!,,
,71,2,불의 봉인지,이그나,,크윽......,...,,
,71,3,불의 봉인지,솔라,,"한때 동료였다는 아량은 기대하지 마라! 이미 너희는 적이다, 빨리 대답해!","Don't expect mercy! You are an enemy already, answer quickly!",,
,71,4,불의 봉인지,주인공,,솔라는 전에 본적 없는 격앙된 태도로 이그나에게 호통쳤다. 포폰은 어쩔 줄 몰라했지만 차마 말리진 못했다.,Solar bellowed at Igna with an angry attitude he had never seen before. Popon did not know what to do but could not stop it.,,"1. 영문대사 아예 안나옴
2. 2회차, 다시 이그나 전투 개시(71로 돌아감)"
,71,5,불의 봉인지,이그나,,적이라면 죽여라. 왜 살려두는거지?,Kill me if you think I'm an enemy. Why are you keeping me alive?,,
,71,6,불의 봉인지,솔라,,네가 죽고 사는 것도 우리가 판단할 일이다. 순순히 묻는 말이나 대답해.,It is up to us to judge that you live and die. Just answer the question.,,
,71,7,불의 봉인지,이그나,,"큭큭큭...... 어리석구나 솔라. 제피로스, 포폰 너희도 마찬가지다. 이제와서 아르하가 구원받을 수 있을거라고 생각해?","That's stupid Solar. Zephyros, Popon, you too. Do you think Archa can be saved now?",,
,71,8,불의 봉인지,솔라,,그게 무슨 말이지!,What do you mean?,,
,71,9,불의 봉인지,이그나,,쉴라는 아르하를 포기했다! 아르하는 카데스에게 멸망당할 수밖에 없어!,Shilla gave up on Archa! Archa must be destroyed by Kades!,,
,71,10,불의 봉인지,주인공,,나도 모르게 눈을 질끈 감았다. 제피로스가 보이지도 않는 속도로 달려가서 이그나의 머리에 있는 힘껏 박치기를 한 것이다!,I shut my eyes tight in spite of myself. Zephyros ran and gave Igna a hard headbutt!,,
,71,11,불의 봉인지,이그나,,으아악!,Aaaah!,,
,71,12,불의 봉인지,제피로스,,니가 지금! 뭐라고...,You!! Say again!!,,
,71,13,불의 봉인지,주인공,,제피로스는 더 말을 잇지 못하고 쓰러졌다. 화가 난 건 이해하지만 이건 너무 과한 공격 아닌가? 본인 스스로에게?,"Zephyros fell down without any more words. I understand he is angry, but isn't this too much? To himself?",,
,71,14,불의 봉인지,렉스톤,변신,저쪽이 더 단단한데?,He has a stronger head.,,
,71,15,불의 봉인지,고대신룡,변신,쉿. 듣겠다.,Shh. he will hear you.,,
,71,16,불의 봉인지,솔라,,"우리 인내심을 시험하지 마라 이그나. 난 단단히 각오한 상태다. 너희의 목적과 나머지 배신자들, 그리고 시렐라 님은 어디 계신거냐!","Don't test our patience, Igna. I am prepared. What are your purposes and where are the rest of betrayers and Sirella?!",,
,71,17,불의 봉인지,주인공,,이그나는 두 눈을 지그시 감았다. 죽음을 각오했다는 결연한 의지가 느껴졌다. 그리고 솔라의 다음 말에서는 큰 슬픔이 느껴졌다.,Igna closed his eyes. I felt a determined will to die. And there was a great sadness in Solar's next words.,,
,71,18,불의 봉인지,솔라,,더럽혀졌구나 이그나.,"Igna, you've been tainted.",,
,71,19,불의 봉인지,이그나,,어리석을 바에는 더러운게 낫지.,It's better to be dirty than to be silly.,,
,71,20,불의 봉인지,솔라,,그렇다면 마지막 부탁이다. 이유라도 알려다오. 어째서 여신님을 배신한거지? 시렐라님은 왜 카데스에게 복종하고 계신거냐?,Then this is my last request. Give me a reason. Why did you betray goddess? Why is Sirella obedient to Kades?,,
,71,21,불의 봉인지,이그나,,이제와서..... 이제와서 밝힐 것 같으냐 솔라!,Do you think I'll tell you now? Solar!,,
,,,,퀘스트,,"불의 봉인지에서 이그나를 쓰러뜨리자
(불의 봉인지에 퀘스트 표시)(실화전투, 능력치 30%로 하향)",Defeat Igna again at the land of fire.,이그나 잡고 대사 나오다 1번 팅 -> 아르하로,
