TID,KR,EN,CN,JP,PLD,TW,IND
adventureCommentMsg,<lightgreen>행운의 부적</lightgreen>\n행운의 부적 아이템을 착용하여\n당신의 드래곤이 행동 불능 상태에서 벗어났습니다.,"<lightgreen>Talisman of Fortune</lightgreen>\nFrom power of Talisman of Fortune,\nyour dragon recovered from injury.",<lightgreen>幸運符咒</lightgreen>的技能發動！\n您的神龍免疫於行動不能狀態。,"<lightgreen>Talisman of Fortune</lightgreen>\nFrom power of Talisman of Fortune,\nyour dragon recovered from injury.",<lightgreen>Talizman Szczęścia</lightgreen>\nTwój smok nie poniósł obrażeń\ndzięki Talizmanowi Szczęścia.,<lightgreen>幸運符咒</lightgreen>的技能發動！\n您的神龍免疫於行動不能狀態。,<lightgreen>Talisman of Future</lightgreen>\nKarena Talisman of Fortune.\nNaga Kamu sudah sembuh.
agree,수락,Allow,接受,承知,Zezwól,接受,Setuju
agreeDragonPut,드래곤의 승천을 수락 하시겠습니까?,Are you sure you want to allow the Dragon's ascension?,您是否要使用「飛龍在天」？,ドラゴンの昇天を承知しますか？,Czy chcesz uwolnić (zezwolić na wzniesienie się w powietrze) smoka?,您是否要使用「飛龍在天」？,Apakah Anda ingin memperbolehkan ascend naga?
SealDragonPut,드래곤의 봉인을 수락 하시겠습니까?,Are you sure you want to allow the seal of the Dragon?,,,,,
SealDragonPutOk,드래곤이 봉인되었습니다.,Dragon has been sealed.,,,,,
SealDragonError,"해치, 해츨링 단계의 드래곤만 봉인할 수 있습니다\n성체에서 레벨다운을 사용한 드래곤에도 사용할 수 없습니다.",You can only seal Hatch or Hatchling step dragons.,,,,,
alreadyInTournament,이미 사용된 티켓입니다.\n전과 동일한 결과로 보여집니다.,Ticket has been already used.\nWill show the result for that ticket.,此張入場券已經被使用。\n將會顯示上次的結果。,使用されたチケットです。.\n 以前の結果を出力します。,Wykorzystano już ten bilet.\nPokażę wyniki dla tego biletu.,此張入場券已經被使用。\n將會顯示上次的結果。,Tiket sudah digunakan.\nAkan menampilkan hasil tiket tersebut.
alreadyInUse,이미 선택하신 용이 사용 중입니다.,Current dragon is already in use,您選擇的神龍已經在使用此物品。,選択した龍はすでに使われています。,,您選擇的神龍已經在使用此物品。,
altar,어둠의 제단,Dark Altar,黑暗祭壇,Altar of Dark,Ołtarz Mroku,黑暗祭壇,Dark Altar
altarExplain,"보스 카이저데몬이 나타나는 던전이다.\n다크닉스 패배 후 나타난 추종자들이 제단을\n짓고 모험가들을 제물로 바치고 있다.\n출현 몬스터 : 다크머더러, 화이트머더러,\n레드크로우, 블루크로우","Dark Altar's boss Kaiser Demon\nhas built the altar for the return \nof Darknix's powers. Adventurers are\nbeing taken as sacrifices.\nMonster : Wraiths, Crows",有凱撒惡魔的地下城。\n達靈斯被擊敗後，有它的追隨者建立神壇，以冒險\n者的性命為祭品祭祀。\n 怪物：魑魅、魍魎、紅鬼靈、\n紫鬼靈,"Altar of Dark's boss Kaiser Demon\nhas built the altar for the return \nof Darknix's powers. Adventurers are\nbeing taken as sacrifices. \n \nMonster : Wraiths, Crows","Władcą jest Kaiser Demon\nWybudował on ołtarz aby \nodzyskać potęgę Darknix`a. Podróżnicy są składani w ofierze na tutejszym ołtarzu.\nPrzeciwnicy : Widma, Kruki",有凱撒惡魔的地下城。\n達靈斯被擊敗後，有它的追隨者建立神壇，以冒險\n者的性命為祭品祭祀。\n 怪物：魑魅、魍魎、紅鬼靈、\n紫鬼靈,"Kaiser Demon, boss Dark Altar telah\nmembangun altar untuk mengembalikan\nkekuatan Darknix. Petualang ditangkap\nsebagai tumbal. \nMonster: Wraith, Crows"
altarIntro,당신은 어둠의 제단으로 탐험을 떠났습니다.\n어둠의 기운이 감돕니다.,You are exploring dark altar.\nDark forces are around you.,開始在黑暗祭壇進行冒險。\n空氣中瀰漫著濃厚的黑暗氣氛。,You are exploring altar of dark.\nDark forces are around you.,Podróżując w okolicach Ołtarza Mroku\nwyczuwasz w pobliżu ożywione zło.,開始在黑暗祭壇進行冒險。\n空氣中瀰漫著濃厚的黑暗氣氛。,You are exploring dark altar.\nDark forces are around you.
altarItem,획득 아이템 : 버프 드링크,Item : Buf drink,獲得物品：增益效果藥劑,Item : Buf drink,Przedmioty : Napoje wzmacniające,獲得物品：增益效果藥劑,Item : Buff drink
ascendDragon,%s 레벨 <red>%d</red>,%s's level <red>%d</red>,%s 等級 <red>%d</red>,%s's level <red>%d</red>,%s poziom <red>%d</red>,%s 等級 <red>%d</red>,%s's level <red>%d</red>
askVAT,※ 게임내 결제는 부가세 별도 입니다.,※ VAT excluded in iAP prices shown.,,,,,
askContinue,"계속 도전하시겠습니까?\n%d회 째, 다이아 %d개 소모\n(현재보유 다이아 %d)","Would you like to go on?\n%d times continue, Cost : %d diamond\n(Current Dia %d)",您有一次接關的機會。\n是否要接關？\n（消耗 1 個鑽石）,You have one chance to continue.\nWould you like to go on?\n(Cost : 1 diamond),Masz jedną szansę aby kontynuować.\nChcesz ją wykorzystać?\n(Koszt : 1 diament),您有一次接關的機會。\n是否要接關？\n（消耗 1 個鑽石）,Kamu mendapat satu kesempatan untuk melanjutkan.\nApakah kamu ingin melanjutkan?\n(Biaya : 1 diamond)
askPurchase0,다이아 %d개를 구입합니다.\n결제하시겠습니까?,Purchase %d diamonds,,,,,
askPurchase1,다이아 10개를 구입합니다.\n결제하시겠습니까?,Purchase 10 diamonds?,購買十個寶石\n您願意付費嗎？,Purchase 10 diamonds?,Zamówić 10 diamentów?,購買十個寶石\n您願意付費嗎？,Beli 10 diamonds?
askPurchase2,다이아 25개를 구입합니다.\n결제하시겠습니까?,Purchase 25 diamonds?,購買二十五個鑽石\n您願意付費嗎？,Purchase 25 diamonds?,Zamówić 25 diamentów?,購買二十五個鑽石\n您願意付費嗎？,Beli 25 diamonds?
askPurchase3,다이아 70개를 구입합니다.\n결제하시겠습니까?,Purchase 70 diamonds?,購買七十個寶石\n您願意付費嗎？,Purchase 70 diamonds?,Zamówić 70 diamentów?,購買七十個寶石\n您願意付費嗎？,Beli 70 diamonds?
askPurchase4,다이아 200개를 구입합니다.\n결제하시겠습니까?,"Purchase 200 diamonds and 20,000 gold and 40 Golden Diamond?",購買兩百個寶石\n您願意付費嗎？,Purchase 200 diamonds?,Zamówić 200 diamentów?,購買兩百個寶石\n您願意付費嗎？,Beli 200 diamonds?
askPurchase5,"다이아 400개(골드50,000, 황금 다이아80)를 구입합니다.\n결제하시겠습니까","Purchase 400 diamonds and 50,000 gold and 80 Golden Diamond?","購買四百個寶石（金幣50,000）\n您願意付費嗎？","Purchase 400 diamonds and 50,000 gold?","Zamówić 400 diamentów i 50,000 gold?","購買四百個寶石（金幣50,000）\n您願意付費嗎？","Beli 400 diamonds and 50,000 gold?"
askPurchase6,"다이아 600개(골드100,000, 황금 다이아120)를 구입합니다.\n결제하시겠습니까?","Purchase 600 diamonds and 100,000 gold and 120 Golden Diamond?","購買六百個寶石（金幣100,000）\n您願意付費嗎？","Purchase 600 diamonds and 100,000 gold?","Zamówić 600 diamentów i 100,000 gold?","購買六百個寶石（金幣100,000）\n您願意付費嗎？","Beli 600 diamonds and 100,000 gold?"
goldPurchase0,골드 %d개를 구입합니다.,Purchase %d Golds,,,,,
askUseDifferentDrink,%s 턴이 %d 만큼 남았습니다.\n%s을 적용 하시겠습니까?,%s has %d turns left.\nApply %s?,%s的效果尚餘下%d回合 。\n您要使用%s嗎？,%s has %d turns left.\nApply %s?,%s %d turnes remaining..\nSure you want to take %s?,%s的效果尚餘下%d回合 。\n您要使用%s嗎？,%s memiliki %d giliran lagi.\nGunakan %s?
atShopMsg,상점에서 <red>%s</red>을(를) 구매 할 수 있습니다.,Can buy <red>%s</red> from the shop.,在商城可以購買<red>%s</red>。,Can buy <red>%s</red> from the shop.,<red>%s</red> są dostępne w sklepie.,在商城可以購買<red>%s</red>。,<red>%s</red>Grapefruit bisa dibeli di shop.
attackAfterHealMsg,%s가 회복 하고 남은 수치로 공격했다.\n%d 대미지를 입었다.,%s attacked with left over energy.\nTook %d damage.,%s恢復，以餘下的攻擊對方。\n%d受傷。,%s attacked with left over energy.\nTook %d damage.,%s zaatakował ostatnimi siłami.\nZadano %d obrażeń.,%s恢復，以餘下的攻擊對方。\n%d受傷。,%s menyerang dengan energi yang tersisa.\nMenerima %d damage.
attackGem,공격력 젬,Attack Gem,紅榴石,攻撃力ジェム,Diament Ataku,紅榴石,Attack Gem
attackGemResult,공격력 젬 다음 단계,Attack gem next level,上級紅榴石,攻撃力ジェムの次の段階,Następny poziom diamentu Ataku,上級紅榴石,Attack gem level selanjutnya
autoSaveFailed,자동 저장에 실패했습니다.,Auto save failed.,自動儲存失敗。,Auto save failed.,Auto-zapis się nie powiódł.,自動儲存失敗。,Auto save gagal.
bagRewardGold1,5만 골드,"50,000 gold",5萬金幣。,50000 gold,50000 gold,5萬金幣。,50k Gold
bagRewardGold2,10만 골드,"100,000 gold",10萬金幣。,"100,000 gold","100,000 gold",10萬金幣。,100k Gold
bagRewardGold3,25만 골드,"250,000 gold",25萬金幣。,"250,000 gold","250,000 gold",25萬金幣。,250k Gold
adsMovieReward,무료 보상을 받으시겠습니까?\n다음 보상 중 1개 지급 (1일 최대 3회),You can get one of rewards for free!\n(3 times a day maximum),,,,,
adsMovieReward2,광고 동영상을 보시겠습니까?\n시청 완료시 100 골드 지급!,Watch a video\n and get a 100 gold reward!,,,,,
adsMovieRewardDia,무료 다이아 보상 지급!,You get the Diamond reward!,,,,,
adsMovieRewardGold,무료 골드 보상 지급!,You get the Gold reward!,,,,,
adsMovieRewardItem,무료 보상 <red>%s</red> 지급!,Rewarded <red>%s</red>!,,,,,
adsMovieRewardTour,광고 동영상을 보시겠습니까?\n시청 완료시 토너먼트 입장!,Play tournament for free!\nDo you want to watch video Ad?,,,,,
basicTutorial0_1,어! 만나서 반가워!! 난 누리!!,Hey! What`s up!! I`m Nuri!!,嗨！你好！我叫娜莉。,Hey! Nice to meet you!! I'm Nuri!!,Hej! Dobrze że wpadłeś!! Jestem Nuri!!,嗨！你好！我叫娜莉。,Hey! Nice to meet you!! I'm Nuri!!
basicTutorial0_2,난 즈믄이야!!,Hi! I'm Zimon!!,我叫茲門!!,Hi! I'm J!!,Siema! Jestem J!!,我叫茲門!!,Hi! I'm J!!
basicTutorial0_3,처음 유타칸에 온 드래곤 테이머 같네?\n이름이 뭐야?,You must be the new dragon tamer! Welcome to Utahkhan Island! What`s your name?,你是第一次來幽塔卡恩的馴龍者吧？\n你叫什麼名字？,You must be the new dragon tamer! Welcome to Utahkhan Island! What`s your name?,Wyglądasz na nowego zaklinacza smoków na Utahkhanie. Jak się nazywasz?,你是第一次來幽塔卡恩的馴龍者吧？\n你叫什麼名字？,You look like a new dragon tamer here at Utahkhan. What's your name?
basicTutorial0_4,나는 나의 이름을 누리와 즈믄에게 말해주었다.,I told them my name.,我告訴了娜莉和茲門我的名字。,I told my name to Nuri and J.,Powiedziałem Nuri i J jak się nazywam.,我告訴了娜莉和茲門我的名字。,I told my name to Nuri and J.
basicTutorial0_5,%s\n좋은 이름이야!!,%s\nYou have a cool name!!,%s\n你的名字很好聽唷！,%s\nThat's a great name!!,%s\nmiło nam Cię poznać!!,%s\n你的名字很好聽唷！,%s\nThat's a great name!!
basicTutorial0_6,자! 그럼 드래곤 부터 부화시켜보자!\n화살표를 잘 따라와!!,Alright! Let`s hatch a dragon!\n Follow the finger!,好！我們先去孵化龍蛋吧！\n跟著箭頭來！,Alright! Let's hatch a dragon!\nFollow the arrow!,Weźmy się do roboty! Pomóżmy wykluć się smokowi!\npodążaj za łapką!,好！我們先去孵化龍蛋吧！\n跟著箭頭來！,Alright! Let's hatch a dragon!\nFollow the arrow!
basicTutorial1_1,드래곤을 부화시키기 위해서는 부화기가 필요해!\n처음 온 만큼 이번에는 우리가 하나~지급해줄게!!,We need an incubator to hatch a dragon!\n Here`s a free one!,孵化龍蛋需要使用孵化器！\n我看你是新手，這一次我就先送你一個！,We need incubator to hatch dragon!\nWe will give you one for the first time!!,Potrzebujemy inkubatora aby smok mógł się wykluć!\nDamy Ci teraz jeden!!,孵化龍蛋需要使用孵化器！\n我看你是新手，這一次我就先送你一個！,We need incubator to hatch dragon!\nWe will give you one for the first time!!
basicTutorial1_2,축하해! 파트너!! 드래곤이 부화했어!!,Congrats!! You hatched your first dragon!!,恭喜！！你已經成功孵化第一顆龍蛋了！,Congratulation!! You successfully hatched your first dragon!!,Gratulacje!! Udało Ci się pozyskać nowego smoka!!,恭喜！！你已經成功孵化第一顆龍蛋了！,Congratulation!! You successfully hatched your first dragon!!
basicTutorial1_3,오! 잠깐만!! 저기 미션 그림이 보이지?!\n미션을 하나 완수했어!! 바로 확인해~보자!,Oh wait!! Do you see that mission scroll?!\nYou`ve cleared a mission!! Let`s check it out!,啊！等一等！你有沒有看到那裡的任務欄？ \n你已經完成了一個任務，我們快去任務欄看看！,Oh wait!! Can you see the mission board?!\nYou've done a mission!! Check it out now!,Oh czekaj!! Widzisz tablicę z misjami?!\nWłaśnie wykonałeś misję!! Sprawdźmy to!,啊！等一等！你有沒有看到那裡的任務欄？ \n你已經完成了一個任務，我們快去任務欄看看！,Oh wait!! Can you see the mission board?!\nYou've done a mission!! Check it out now!
basicTutorial1_4,바로 그거야! 그런 식으로 미션을 완수하면\n꼭! 꼭! 확인해서 필요한 보상을 받도록 해!!,"Awesome!,\n make sure to check here and get your reward!!",對，就這樣！任務完成以後，\n千萬不要忘記到這裡進行確認，以獲得成就獎賞！,"Yes that's it! Once you are done with each mission,\n make sure to check and get reward!!","Tak jest! Sprawdzaj czy wykonałeś misję,\n i odbieraj nagrody!!",對，就這樣！任務完成以後，\n千萬不要忘記到這裡進行確認，以獲得成就獎賞！,"Yes that's it! Once you are done with each mission,\n make sure to check and get reward!!"
basicTutorial1_5,좋아! 이제 바로 모험을 떠나보자!!,Great! Now let's go on an adventure!!,好的！那就出發冒險吧！,Great! Now let's go on an adventure!!,Super! Ruszajmy zwiedzić Utahkhan!!,好的！那就出發冒險吧！,Great! Now let's go on an adventure!!
basicTutorial10_1,어라! 오랜만이야!!\n드래곤이 정말 멋지게 변했구나!!,It's been a while!!\nYour dragon is looking fabulous now!!,哇！好久不見！\n你的神龍經已變得威風凜凜了！,It's been a while!!\nYour dragon is looking fabulous now!!,Cześć!!\nTwój smok wygląda niesamowicie!!,哇！好久不見！\n你的神龍經已變得威風凜凜了！,It's been a while!!\nYour dragon is looking fabulous now!!
basicTutorial10_2,즉! 많은 드래곤 테이머들이 서로 실력을 겨루는\n콜로세움에 들어갈 자격이 되었단 이야기지!,You are finally ready to enter the Colosseum\nwhere you can fight other dragon tamers!,也就是說，你經已有資格進入競技場，\n與其他有實力的馴龍者一比高下了！,"In other words, you are ready to enter the Colosseum\nwhere lots of dragon tamers compete each other!","Innymi słowy, jesteś gotowy, aby zobaczyć Koloseum\ngdzie wiele smoków konkuruje ze sobą!",也就是說，你經已有資格進入競技場，\n與其他有實力的馴龍者一比高下了！,"In other words, you are ready to enter the Colosseum\nwhere lots of dragon tamers compete each other!"
basicTutorial10_3,뭐~이건 내가 설명하기 보다 직접 가서 몸으로 배우라고!,Why don't you try it yourself!,競技場的箇中奧妙之處，最好就是你自己去感受一下！,"Well instead of telling you what to do, it's better to try yourself!","Zamiast gadać, lepiej jest zobaczyć Koloseum na własne oczy!",競技場的箇中奧妙之處，最好就是你自己去感受一下！,"Well instead of telling you what to do, it's better to try yourself!"
basicTutorial10_4,뭐 그러는 편이 더 빠르겠지!\n콜로세움에 들어가볼까?,I agree!\nCome visit Colosseum later to test your tamer skills!,百聞不如一見！\n有時間的話，記得去一下競技場唷！,"Yeah I agree!\nIf you have time, enter the Colosseum and fight!","Zgadzam się!\nJeśli masz czas, to wejdź do Koloseum i zacznij walkę!",百聞不如一見！\n有時間的話，記得去一下競技場唷！,"Yeah I agree!\nIf you have time, enter the Colosseum and fight!"
basicTutorial10_5,오늘은 그럼 이만 물러갑니당~!,We gotta go now!,我們要走了～！,We got to go now!,My wracamy do pracy!,我們要走了～！,We got to go now!
basicTutorial10_6,바이바이~!,See ya~!,拜拜～！,Byebye~!,Narka~!,拜拜～！,Byebye~!
basicTutorial100_1,오! 그거 드래곤카드잖아?!\n대단한~걸 그건 얻기 어려운 거야!!,Wow! Is that a dragon card?!\nAwesome! That`s pretty hard to get!!,哇～！這不是神龍卡嗎？！\n你也太厲害了吧～那可是非常稀有的耶！,Wow! Isn't that a dragon card?!\nAwesome! That's hard to get!!,Łał! Czy to nie jest karta?!\nŚwietnie! Trudno się je zdobywa!!,哇～！這不是神龍卡嗎？！\n你也太厲害了吧～那可是非常稀有的耶！,Wow! Isn't that a dragon card?!\nAwesome! That's hard to get!!
basicTutorial100_2,많이 모아두라고!\n카드는 나중에 여러 가지로 쓰임새가 있어!,Try to collect as many as possible!\nCards might come in handy later!,盡可能地在冒險中收集神龍卡吧，\n這些卡片將來會有很多用途喔！,Try to collect as many as possible!\nCards are useful in many ways!,Spróbuj zebrać tyle kart ile to możliwe!\nKarty są bardzo przydatne!,盡可能地在冒險中收集神龍卡吧，\n這些卡片將來會有很多用途喔！,Try to collect as many as possible!\nCards are useful in many ways!
basicTutorial100_3,나도 아직은 카드의 비밀을 모르니까!\n차근~차근 모아두고 있거든!!,I'm not sure what secrets these cards hold...\nI`m just collecting them one by one!!,其實我對神龍卡也不太了解……\n不如我們先一張張地收集起來吧！,I don't know any secrets of the cards yet!\nI'm just collecting one by one!!,Jeszcze nie wiem jak się ich konkretnie używa!\nKolekcjonuję kartę po karcie!!,其實我對神龍卡也不太了解……\n不如我們先一張張地收集起來吧！,I don't know any secrets of the cards yet!\nI'm just collecting one by one!!
basicTutorial100_4,그럼~잘 모아두라고!\n우린 이만~!,So good luck collecting!\nWe need to go now!,加油吧！\n我們又該走了～,So good luck collecting!\nWe need to go now!,Powodzenia w zbieraniu kart!\nMusimy wracać do miasta!,加油吧！\n我們又該走了～,So good luck collecting!\nWe need to go now!
basicTutorial100_5,바이 바이~!,Bye~!,拜拜～！,Bye bye~!,Narazie~!,拜拜～！,Bye bye~!
basicTutorial11_1,어라! 드래곤 레벨이 20이나 되다니 !!,Whoa! Your dragon reached level 20!!,哇! 你的神龍已經升到20級了!!,Whoa! Your dragon reached level 20!!,Łał! Twój smok osiągnał 35 poziom!!,哇! 你的神龍已經升到20級了!!,Whoa! Your dragon reached level 20!!
basicTutorial11_10,알려줬으니 우린 이만~!,We gave you a tip and it's time for us to go!,該教的都已經教完了。我們先走了~!,We gave you a tip and it's time for us to go!,Pomogliśmy Ci jak mogliśmy! Czas na nas.,該教的都已經教完了。我們先走了~!,We gave you a tip and it's time for us to go!
basicTutorial11_2,감격스러운걸!\n대견해~ 우하하하!!,Impressive!\nWell done haha!!,太強了!\n做得好~ 哇哈哈!!,Impressive!\nWell done haha!!,Niesamowite Haha!\nŚwietna robota!!,太強了!\n做得好~ 哇哈哈!!,Impressive!\nWell done haha!!
basicTutorial11_3,드래곤 레벨 20가 되면 교배가 가능해!\n뭐~ 말보다는 역시 직접 해보는게 더 빠르겠지 ??,"Once your dragon reaches level 20, you can breed them!\nLet me show you how it works!",神龍升至20級後，就可進行交配!\n等我指導你如何替神龍進行交配吧。,"Once your dragon reach level 35, you can breed!\nLet me show you how it works!","Jeśli Twój smok osiągnie 35 poziom, możesz wyhodować jego potomka!\nPozwól, że pokażę Ci jak to działa!",神龍升至20級後，就可進行交配!\n等我指導你如何替神龍進行交配吧。,"Once your dragon reach level 20, you can breed!\nLet me show you how it works!"
basicTutorial11_4,자~ 따라오세요!,Follow me!,跟我來!,Come follow me!,Podążaj za moimi instrukcjami!,跟我來!,Come follow me!
basicTutorial11_5,여기가 드래곤 둥지야!\n드래곤을 교배 시키는 장소지!,This is a dragon nest!\nIt`s where you breed your dragons,這裡便是神龍峽谷，\n也就是神龍進行交配的場所!,This is dragon nest!\nIt's the place to breed dragons,To jest Legowisko!\nTutaj możesz wyhodować nowe smoki.,這裡便是神龍峽谷，\n也就是神龍進行交配的場所!,This is dragon nest!\nIt's the place to breed dragons
basicTutorial11_6,드래곤을 교배하기 위해서는 빛 속성 드래곤과\n암흑 속성 드래곤이 필요해. 예를 들어 보여줄게!,"You need a light dragon,\n and a dark dragon to start breeding. I`ll show you what I mean!",進行交配需要準備光屬性的神龍\n和黑暗屬性的神龍。我先給你看吧!,You need to have light\n and dark dragons to breed. I'll show you an example!,Potrzebujesz smoka światła\n i mroku. Pokażę Ci na przykładzie!,進行交配需要準備光屬性的神龍\n和黑暗屬性的神龍。我先給你看吧!,You need to have light\n and dark dragons to breed. I'll show you an example!
basicTutorial11_7,저렇게 해당 드래곤을 터치해서 올려두고\n기다리면 되지!!,Place each dragons by tapping on the slots\nand press breed!!,輕按方格選擇想要進行交配的神龍，\n之後再按下交配。,Place each dragons by tapping on the slots\nand press breed!!,"Umieść każdego smoka dotykając wolnych okienek.\nNastępnie dotknij przycisku ""Hoduj""!!",輕按方格選擇想要進行交配的神龍，\n之後再按下交配。,Place each dragons by tapping on the slots\nand press breed!!
basicTutorial11_8,기다리기 어렵다면 보석을 사용해서\n바로 교배를 완료할 수 도 있어!,"If you can't wait, use diamonds\nto finish breeding instantly!",交配過程需要一點時間。如果不想等太久的話，使用鑽石\n就可以即時完成交配!,"If you can't wait, use diamonds\nto finish breeding instantly!","Jeśli nie możesz się doczekać, użyj diamentów\naby wyhodować smoka natychmiast!",交配過程需要一點時間。如果不想等太久的話，使用鑽石\n就可以即時完成交配!,"If you can't wait, use diamonds\nto finish breeding instantly!"
basicTutorial11_9,그럼~ 멋진 드래곤을 구해서 교배 해보라고!,"Now, try to collect cool dragons by breeding!",那麼，你也試著替合適的神龍進行交配吧!,"Now, try to collect cool dragons and breed!","Już wiesz wszystko, jak zebrać fajne smoki!",那麼，你也試著替合適的神龍進行交配吧!,"Now, try to collect cool dragons and breed!"
basicTutorial2_1,자! 탐험맵으로 넘어가보자!,Tap the adventure map!,按一下右上角，進入冒險地區!,Tap right to the adventure map!,"Dotknij przycisk ""Przygody"" aby przenieść się do mapy.",按一下右上角，進入冒險地區!,Tap right to the adventure map!
basicTutorial3_1,으악! 드래곤 능력치가 최악으로 올라갔는걸?!\n이럴 때는 레벨 다운 아이템이 필요해!!,Oh no! We got the worst level up stats.\n We need to level down!,噢! 神龍升級所提升的能力太低了?!\n這樣的情況就需要降級物品幫忙!!,Whoops! Dragon stats gone up the worst.\n We need a level down item!,Łups! Statystyki smoka nie podniosły się najlepiej.\n Powinniśmy przywrócić smoka do poprzedniego poziomu!,噢! 神龍升級所提升的能力太低了?!\n這樣的情況就需要降級物品幫忙!!,Whoops! Dragon stats gone up the worst.\n We need a level down item!
basicTutorial3_2,레벨 다운 아이템을 사용해봐!\n내가 선심 쓰고 1개를 무료로 줄~게!,Try a level down item!\n Here's a free one!,試用一下降級物品吧!\n這次，我先送你一個!,Try a level down item!\n I'll give you one for free!,"Spróbuj przedmiotu ""Poziom -1""!\n Jeszcze jeden mi został, więc go wypróbuj!",試用一下降級物品吧!\n這次，我先送你一個!,Try a level down item!\n I'll give you one for free!
basicTutorial4_1,흐음..반대로 레벨업 아이템은\n다시 내려간 드래곤의 레벨을 손쉽게 올릴 수 있어!!,There's a level up item too!\n It levels up a dragon right away!,嗯…相反，使用升級物品的話\n神龍很容易地就能升回到原來的等級!!,"Hmm.. In contrast, level up item\n can level up the deleveled dragon!","Hmm.. A teraz użyj ""Poziom +1""\n może teraz smok się lepiej rozwinie!",嗯…相反，使用升級物品的話\n神龍很容易地就能升回到原來的等級!!,"Hmm.. In contrast, level up item\n can level up the deleveled dragon!"
basicTutorial4_2,짜잔! 여기~레벨업 아이템이야!,Tada! Here's a level up item!,看看! 這是升級物品!,Tada! Here you go a level up item!,"Tada! Mam dla Ciebie ""Poziom +1""!",看看! 這是升級物品!,Tada! Here you go a level up item!
basicTutorial4_3,우아! 드래곤 능력치가 모두 MAX가 됐어!\n이렇게만 육성~한다면 분명 최고의 드래곤이 될 거야!!,Wow! 3 max stats!!!\nKeep this up and you'll have the best dragon!,哇! 神龍升級所提供的數值都達到最大值!\n這樣成長下去的話，一定會成為最優秀的神龍!!,Wow! All the dragon stats gone max!\nKeep it up to foster the best dragon!,ŁAŁ! Wszystkie statystyki wzrosły na maxa!\nTak trzymaj! Wychowaj najsilniejszego smoka!,哇! 神龍升級所提供的數值都達到最大值!\n這樣成長下去的話，一定會成為最優秀的神龍!!,Wow! All the dragon stats gone max!\nKeep it up to foster the best dragon!
basicTutorial4_4,음~그럼 설명은 다 한 것 같은데?!,"Well, this is all I have for you.",嗯～我想，該講的都講完了。,"Well, I guess I explained it all to you.","Myślę, że póki co wszystko Ci wyjaśniliśmy.",嗯～我想，該講的都講完了。,"Well, I guess I explained it all to you."
basicTutorial4_5,그럼 우린 이만 가볼게!!,We gotta go!!,拜拜，我們先走了!!,We got to go!!,Musimy spadać!!,拜拜，我們先走了!!,We got to go!!
basicTutorial4_6,나중에 또 만나~!%s,Seeya~!%s,再見~!%s,See you again~!%s,Do zobaczenia!%s,再見~!%s,See you again~!%s
