구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,표정,대사 한글,대사 영문,연출 종류,사운드
,11,14,던전 지역 배경,,,0,분명 즈믄은 이를 놓치지 않고 장난을 친 것이다.,"In my opinion, Zimon didn't miss this timing",,
,11,15,던전 지역 배경,주인공,Player,0,그만 그만. 일단 어둠의 제단으로 가자.,Stop stop . Let's go to the Dark Altar.,,
,12,1,던전 지역 배경,,,0,몬스터들이 어떤 의식을 치르고 있는 걸 목격했다.,We saw the monsters performing some rituals.,,
,12,2,던전 지역 배경,누리,Nuri,2,몬스터들이 의식을 치르는 건 처음 보는데..?,I've never seen monsters perform a ritual before.,,
,12,3,던전 지역 배경,즈믄,Zimon,6,뭔가 불길한데...,Something's ominous.,,
,12,4,던전 지역 배경,누리,Nuri,3,뭐하는지 한번 물어보지 뭐~,Let's ask them what they do!,,
,12,5,던전 지역 배경,즈믄,Zimon,8,누리 잠깐 기다려!,Nuri! STOP!,,
,12,6,던전 지역 배경,,,0,누리는 말릴 새도 없이 몬스터에게 다가갔다.,Nuri walked to the monsters with no time to stop her.,,
,13,1,던전 지역 배경,누리,Nuri,4,대체 여기서 무슨 일을 꾸미고 있는거야?,What are you guys doing here?,,
,13,2,던전 지역 배경,카이저데몬,Kaiser Demon,102,….,….,,
,13,3,던전 지역 배경,주인공,Player,0,검은로브를 입은 자들이 찾아온 적 있어?,Have you ever seen people in black robes?,,
,13,4,던전 지역 배경,,,0,내가 물어보자 카이저데몬은 기분 나쁜 소리로 웃으며 대답했다.,"When I asked, Kaiser Demon replied with a nasty laugh.",,
,13,5,던전 지역 배경,카이저데몬,Kaiser Demon,102,키킥.. 그자를 얘기하는건가..키킥,Are you talking about him? krrrr,,
,13,6,던전 지역 배경,누리,Nuri,4,야! 왜 내 말은 무시하는건데!,Hey! Why are you ignoring me?,,
,13,7,던전 지역 배경,카이저데몬,Kaiser Demon,102,키키킥. 그자가 누구인지 중요해? 의식이 끝났다는게 중요하지? 키킥,Kick kick. Does it matter who he is? It's important that the ritual is over!,,
,13,8,던전 지역 배경,주인공,Player,0,의식이 끝나…?,What?,,stop
,13,9,던전 지역 배경,,,0,내 의문이 풀리기도 전에 땅이 크게 흔들렸다.,The ground shook hard even before my question was solved.,7,
,13,10,던전 지역 배경,,,0,그 순간 이질적인 기운을 느껴 그쪽을 바라봤다.,"At that moment, I felt a disparate energy and looked at you.",,BGM/Sky_mine.mp3
,13,11,시즌6컷신6,,,0,내 시선 끝에는 다른 공간과 연결되는 구멍이 있었고,There was a hole at the end of my eye that connected to another space.,1,
,13,12,시즌6컷신6,,,0,그 구멍을 통해 처음 보는 몬스터가 넘어왔다.,And monsters that I've never seen before came over through the hole.,,
,13,13,시즌6컷신6,누리,Nuri,5,저..저것들은 뭐야?,What is that?,,
,13,14,시즌6컷신6,카이저데몬,Kaiser Demon,102,다이어울프라 불리는 놈들이지~ 키키킥.,They're called Dire wolf.,,
,13,15,시즌6컷신6,주인공,Player,0,[다이어울프? 언뜻 보기에도 늑대 같이 생기긴 했는데 왠지 위험해 보여.],"[ Dire wolf? they look like wolves at first glance, but somehow they look dangerous.]",,
,13,16,시즌6컷신6,즈믄,Zimon,8,(주인공)! 주변 장치들을 파괴해서 못나오게 막아!,(주인공)! Destroy the devices around it to stop them!,,
,13,17,시즌6컷신6,주인공,Player,0,아..알았어!,"Oh, I will!",,
,14,1,던전 지역 배경,,,0,주변 장치를 모두 파괴하자 구멍이 사라졌다.,"When all the surrounding devices were destroyed, the hole disappeared.",,
,14,2,던전 지역 배경,누리,Nuri,2,이런.. 이미 몇 마리 빠져나갔는데?,"Oh, no. we've lost a few.",,
,14,3,던전 지역 배경,즈믄,Zimon,8,"마을쪽으로 가는걸 봤어, 빨리 쫓아가자!","I saw them heading toward village, let's go after them!",,
,14,4,던전 지역 배경,카이저데몬,Kaiser Demon,102,"키키킥, 이미 늦었다. 곧 고대의 힘이 부활할 것이니까! 키키킥.","Kick, it's too late. Soon the ancient power will be restored! Kick, kick.",,
,14,5,던전 지역 배경,,,0,카이저데몬은 알 수 없는 말을 남기곤 어둠의 제단 밑으로 도망쳤다.,"Kaiser Demon fled under the altar, leaving an unknown word.",,
,14,6,던전 지역 배경,누리,Nuri,2,고대의 힘이라니.. 그게 무슨..,Ancient power? What the...,,
,14,7,던전 지역 배경,즈믄,Zimon,8,그보다 마을 사람들이 위험해!,People are more dangerous than that!,,
,15,1,마을 배경,,,0,마을은 평온했다.,The village was at peace.,,
,15,2,마을 배경,,,0,다이어울프가 오지 않은 것 같다.,I don't think Dire wolves have come.,,
,15,3,마을 배경,누리,Nuri,3,휴~ 다행히 아무일도 없어보여.,"Phew~ Fortunately, nothing seems to have happened.",,
,15,4,마을 배경,주인공,Player,0,[그럼 대체 다이어울프들은 어디로 간거지?],[So where the hell did the wolf go?],,
,15,5,마을 배경,,,0,생각에 잠겨 있을 때 넬슨이 숨을 헐떡이며 우리 앞에 나타났다.,"While thinking, Nelson appeared in front of us gasping for breath.",,
,15,6,마을 배경,넬슨,Nelsen,13,헉..헉.. 혹시 우리 아리아 본 적 없어?,Have you ever seen my daughter?!,,
,15,7,마을 배경,넬슨,Nelsen,13,돌아올 시간이 됐는데 아직 돌아오지 않았어..,"It's time for her to come back, but she hasn't returned yet.",,
,15,8,마을 배경,누리,Nuri,2,어디로 갔는데요?,Where did she go?,,
,15,9,마을 배경,넬슨,Nelsen,13,잠깐 나갔다 오겠다고만 했는데 어디로 갔는진 모르겠어.,"She said she would go out for a while, but I don't know where she went.",,
,15,10,마을 배경,즈믄,Zimon,6,마을에서 본 사람이 있을거야. 일단 목격자를 찾아보자.,I think there's someone in the village who's seen her. Let's find a witness.,,
,16,1,월드 배경,누리,Nuri,2,혹시 아리아가 어디로 갔는지 보셨어요?,Did you see where Aria went?,,
,16,2,월드 배경,할아버지,Senior,103,아리아는.. 오늘 본 적이 없구나. 다른 사람에게도 물어보렴.,Aria... I haven't seen her today. Ask someone else.,,
,16,3,월드 배경,주인공,Player,0,[여기서 본 사람은 없는 것 같다. 점술집에 가보자],[I don't think anyone has seen her here. Let's go to the spirit lodge],,
,17,1,점술집 배경,누리,Nuri,2,언니. 혹시 아리아가 어디로 갔는지 보셨어요?,Did you see where Aria went?,,
,17,2,점술집 배경,유리아,Yulia,104,아리아라면 아까 하늘의 신전으로 가는걸 봤어요.,I saw Aria go to Sky Temple earlier.,,
,17,3,점술집 배경,누리,Nuri,2,언제요?,When?,,
,17,4,점술집 배경,유리아,Yulia,104,흠..시간이 꽤 지난것 같은데…,Hmm.. I think it's been a while...,,
,17,5,점술집 배경,즈믄,Zimon,6,그 늑대들이 데려간거 아냐?],Didn't those wolves take her?,,
,17,6,점술집 배경,,,0,아리아가 걱정되기 시작했다. 서둘러 하늘의 신전으로 향했다.,We are beginning to worry about Aria and hurried to Sky Temple,,
,18,1,하늘의 신전 배경,,,0,하늘의 신전을 둘러보아도 아리아를 찾을 수 없었다.,We looked around the Sky Temple but couldn't find Aria.,,
,18,2,하늘의 신전 배경,누리,Nuri,5,어떡해? 여긴 아리아가 없는 것 같아.,What should we do? I don't think Aria is here.,,
,18,3,하늘의 신전 배경,즈믄,Zimon,6,제우스 주니어라면 알고 있을 지도 몰라.,Zeus Jr. might know.,,
,18,4,하늘의 신전 배경,즈믄,Zimon,6,하늘의 신전으로 들어오는 자들을 계속 주시하고 있잖아.,He keeps an eye on those who enter the Sky Temple.,,
,19,1,하늘의 신전 배경,누리,Nuri,2,아리아라는 소녀를 봤어?,Did you see a girl named Aria?,,
,19,2,하늘의 신전 배경,,,0,제우스주니어는 커다란 늑대들이 불의 산으로 잡아가는 걸 봤다고 말한다.,Zeus Jr. says he saw a big wolf take a girl to Fire Mt.,,
,19,3,하늘의 신전 배경,주인공,Player,0,다이어울프가 잡아간게 틀림없어!,They kidnapped her!,,
,19,4,하늘의 신전 배경,누리,Nuri,5,아리아가 위험해!,Aria is in danger!,,
,19,5,하늘의 신전 배경,,,0,우리는 아리아를 구하기 위해 서둘러 불의 산으로 달려갔다.,We rushed to the Fire Mt. to save Aria.,,
,20,1,불의 산 배경,,,0,드디어 아리아를 찾았다.,We found Aria.,,BGM_War.mp3
,20,2,불의 산 배경,,,0,아리아는 다이어울프 3마리 사이에 기절해 있었다.,She had fainted among the three wolves.,,
,20,3,불의 산 배경,누리,Nuri,2,저기 아리아가 있어!,There she is!,,
,20,4,불의 산 배경,즈믄,Zimon,8,주변에 다이어울프들이 있으니 조심해!,Watch out the wolves!,,
,21,1,불의 산 배경,,,0,다이어울프는 힘겨워하며 다른 차원으로 도망쳤다.,"Dire wolf fled to another dimension, struggling.",,BGM_War.mp3
,21,2,불의 산 배경,누리,Nuri,2,좋아! 잘했어 (주인공)!,"Good! Good job, (주인공)!",,
,21,3,불의 산 배경,즈믄,Zimon,8,조심해! 아직 2마리가 더 있어!,Watch out! There are still two more!,,
,22,1,불의 산 배경,주인공,Player,0,아리아!,Aria!,,
,22,2,불의 산 배경,,,0,다이어울프 3마리 모두 쫓아내고 아리아를 구했다.,We drove all three of the Dire wolves out and saved Aria.,,
,22,3,불의 산 배경,,,0,겉으로 보기에는 별 다른 상처는 없었다.,She didn't look hurt.,,
,22,4,불의 산 배경,,,0,그래도 상태를 보기 위해 아리아를 깨웠다.,But I woke Aria up to see her condition.,,
,22,5,불의 산 배경,누리,Nuri,2,아리아 괜찮아?,Are you okay?,,
,22,6,불의 산 배경,아리아,Aria,15,"네, 저는 괜찮아요.","Yes, I'm fine.",,
,22,7,불의 산 배경,주인공,Player,0,어떻게 된 일이야?,What happened to you?,,
,22,8,불의 산 배경,아리아,Aria,15,하늘의 신전에서 약초를 캐고 집으로 돌아오려는데,"I was going to come back home after digging up herbs from the temple, ",,
,22,9,불의 산 배경,아리아,Aria,15,늑대들이 절 데리고 이곳으로 왔어요.,but the wolves brought me here.,,
,22,10,불의 산 배경,아리아,Aria,15,이곳에 도착한 후 늑대들은 울부짖기 시작했고…,"After arriving here, the wolves began to howl...",,
,22,11,불의 산 배경,아리아,Aria,17,...그 후론 기억이 나지 않아요.,...I don't remember after that.,,
,22,12,불의 산 배경,즈믄,Zimon,6,다이어울프가 왜 아리아를 잡아온건지 알 수가 없네.,Why did the wolves kidnap her?,,
,22,13,불의 산 배경,즈믄,Zimon,6,여긴 3마리 밖에 없으니 다른 다이어울프를 찾아내면 알 수 있을거야.,"There's only three here, so we'll find other wolves and we'll find out.",,
,22,14,불의 산 배경,주인공,Player,0,일단 마을로 돌아가자!,Let's go back to the village!,,
,22,15,불의 산 배경,누리,Nuri,2,맞아! 아리아부터 안전하게 데려다줘야지.,That's right! We'll take Aria home safely first.,,
,23,1,마을 배경,,,0,우린 넬슨에게 아리아를 무사히 데려다주고 헤어졌다.,We took Aria safely to Nelson and parted.,,
,23,2,마을 배경,,,0,마을에 빛의 사제들이 찾아와 있었기 때문이었다.,It was because the priests were visiting the village.,,
,23,3,마을 배경,누리,Nuri,2,어? 빛의 사제님들이 여긴 어떻게 오신거에요?,Oh? How did the you get here?,,
,23,4,마을 배경,요셉,Joseph,98,베로니카님이 깨어나신 후 하늘왕국부터 모험지역까지 센서장치를 설치하다가 마을에 도착한겁니다.,We arrived here after Veronica woke up and installed sensors from Sky realm to Adventure.,,
,23,5,마을 배경,베로니카,Veronica,94,혹시 검은로브의 사도와 관련되서 알아내신게 있으신가요?,Did you find out anything about the black robe?,,
,23,6,마을 배경,,,0,우린 그동안 있었던 일들에 대해 이야기 했다.,We told them about what had happened.,,
,23,7,마을 배경,베로니카,Veronica,94,다이어울프와 고대의 힘에 부활...,Dire wolves and resurrection of ancient powers...,,
,23,8,마을 배경,요셉,Joseph,98,근데 다른 다이어울프들은 어디로 갔을까요?,But where did the other wolves go?,,
,23,9,마을 배경,베로니카,Veronica,94,일단 불의 산 주변에 남아있을지도 모르니 돌아보면서 찾아보죠.,"Wolves may be left in Fire Mt, so let's search near the mountain.",,
,24,1,희망의 숲 배경,요셉,Joseph,98,숲 쪽으로는 오지 않은 것 같아요.,I don't think they came towards the forest.,,
,24,2,희망의 숲 배경,누리,Nuri,2,난파선으로 가봐요.,Let's go to the Wrecked Ship.,,
,25,1,난파선 배경,,,0,난파선 어디에서도 다이어울프의 발자국조차 발견되지 않았다.,No footprints of Dire wolf were found anywhere at the Wrecked Ship.,,
,25,1,난파선 배경,,,0,우리는 난파선을 지나 바람의 신전으로 향했다.,We passed the Wrecked ship and headed for the Wind Temple.,,
,26,1,바람의 신전 배경,누리,Nuri,2,왠지 탐험지역에는 없을 것 같은데요?,I don't think they are in the Adventure.,,
,26,1,바람의 신전 배경,즈믄,Zimon,6,아직 무지개 동산이 남아있어.,There's still Rainbow left.,,
,26,1,바람의 신전 배경,베로니카,Veronica,94,확인 하는게 좋겠어요.,We had better check it out.,,
,27,1,무지개 동산 배경,요셉,Joseph,98,아무래도 탐험지역에는 없는 것 같군요.,It really doesn't seem to be in the Adventure.,,
,27,2,무지개 동산 배경,누리,Nuri,2,혹시 꿈의 틈새로 들어간건 아닐까요?,Maybe they went into World of dreams?,,
,27,3,무지개 동산 배경,즈믄,Zimon,6,확인은 해보자.,Let's check it out.,,
,28,1,꿈의 마당 배경,누리,Nuri,2,여긴 없는 것 같아.,I don't think they're here.,,
,29,1,꿈의 잔재 배경,즈믄,Zimon,6,여기에도 없어.,"Not here, too.",,
,29,2,꿈의 잔재 배경,주인공,Player,0,남은 곳은 몽환의 탑인가? 가보자.,What about the Tower of Dreams?,,
,30,1,몽환의 탑 배경,,,0,꿈의 세계에서 다이어울프를 수색했지만,We searched the Dire wolf in the World of Dreams.,,
,30,2,몽환의 탑 배경,,,0,아무것도 발견하지 못했다.,but can't find anything.,,
,30,3,몽환의 탑 배경,즈믄,Zimon,6,너무 과한 추측이었나봐.,I guess it was too much speculation.,,
,30,4,몽환의 탑 배경,주인공,Player,0,[설마 아르하까지 간 건 아니겠지?],"[Don't tell me they didn't go all the way to Archa, did they?]",,
,30,5,몽환의 탑 배경,누리,Nuri,2,다시 던전으로 돌아간 거 아닐까?,Maybe they're back to the Dungeon.,,
,30,6,몽환의 탑 배경,베로니카,Veronica,94,다이어울프들은 던전지역에서 나타났다고 했었죠?,"You said the wolves showed up in the Dungeon, right?",,
,30,7,몽환의 탑 배경,즈믄,Zimon,6,"응, 거기서 전부 마을쪽으로 향해 가는걸 봤어.","Yeah, I saw them all heading towards village.",,
,30,8,몽환의 탑 배경,베로니카,Veronica,94,그럼 분명 마을 이후 지역에 목적이 있을 거에요.,Then there must be their purpose in the area after the village.,,
,30,9,몽환의 탑 배경,누리,Nuri,2,남은 곳은 에스텔라랑 하늘왕국인데 설마 그 늑대들이 바닷속을 간 건 아니겠지?,"The rest of the area is Estella and Sky realm, but they didn't go underwater, did they?",,
,30,10,몽환의 탑 배경,즈믄,Zimon,6,우리도 가는데 다이어울프라고 못 갈리 없잖아.,"We can go, so the wolf can go.",,
,30,11,몽환의 탑 배경,주인공,Player,0,어쩔 수 없네. 에스텔라 지역에 먼저 확인하러 가자.,I can't help it. Let's go check Estella first.,,
,31,1,별빛의 산호초 배경,,,0,여기는 문제가 없는 것 같다.,I don't think there's any problem here.,,
,31,2,별빛의 산호초 배경,,,0,고요의 암석터를 가보자.,Let's go to the Carm Lithosphere,,
,32,1,고요의 암석터 배경,,,0,다이어울프들이 레오나 여신과 대치 중이다.,The dire wolf is confronting the goddess Leona.,,BGM_War.mp3
,32,2,고요의 암석터 배경,누리,Nuri,2,레오나 여신님!,Goddess Leona!,,
,32,3,고요의 암석터 배경,레오나,Reona,22,오지 마세요!,Don't come!,,
,32,4,고요의 암석터 배경,,,0,레오나 여신님께 다가가려 하자 다이어울프는 더 사납게 으르렁대기 시작했다.,"When we tried to reach out to the goddess Leona, Dire wolf began to growl more ferociously.",,
,32,5,고요의 암석터 배경,즈믄,Zimon,6,함부로 다가가면 레오나 여신님이 위험할 것 같아.,"If we approach her recklessly, she'll be in danger.",,
,32,6,고요의 암석터 배경,누리,Nuri,5,그럼 어떻게 해..,So what do we do?,,
,32,7,고요의 암석터 배경,,,0,순간 다이어울프가 먼저 공격해오기 시작했다.,"At the moment, Dire wolf began to attack.",,
,33,1,고요의 암석터 배경,주인공,Player,0,"[으윽.. 불의 산에서 만난 울프들이랑 달리, 강하다!]",Ugh! It's stronger than the wolf I met in the mountains!,,BGM_War.mp3
,33,2,고요의 암석터 배경,주인공,Player,0,[왜지? 똑같은 다이어울프들이고 생긴것도 다를게 없는데..],Why? Isn't it the same wolf?,,
,33,3,고요의 암석터 배경,누리,Nuri,4,(주인공) 조심해!,(주인공)! Watch out!,,
,33,4,고요의 암석터 배경,,,0,누리가 생각에 잠겨 있던 날 밀치며 구해준다.,Nuri pushes and saves me when I was lost in thought.,,
,33,5,고요의 암석터 배경,즈믄,Zimon,8,(주인공)! 무슨 생각에 사로 잡혀있는거야? 정신차려!,What are you doing?! Get yourself together!,,
,33,6,고요의 암석터 배경,주인공,Player,0,하늘신전에서 만났던 울프들과 힘이 달라서..,It's different from the wolves I met at the Sky Temple.,,
,33,7,고요의 암석터 배경,베로니카,Veronica,96,혹시..,Maybe...,,
,33,8,고요의 암석터 배경,,,0,베로니카가 다이어울프를 유심히 지켜본다.,Veronica watches the Dire wolf closely.,,
,33,9,고요의 암석터 배경,베로니카,Veronica,94,어쩌면 다이어울프란 몬스터가 물의 속성이기 때문에 이곳에서 더 힘이 강해진걸 수도 있어요.,"Maybe a monster called Dire wolf is a element of water, which makes it stronger here.",,
,33,10,고요의 암석터 배경,베로니카,Veronica,96,땅속성 드래곤이라면 이길 수 있을지도 몰라요!!,"If you're with the Earth element dragon, you might win!",,
,34,1,고요의 암석터 배경,레오나,Reona,20,감사합니다. 여러분이 아니었다면 큰일날 뻔 했어요.,"Thank you. If it wasn't for you, I would have been in trouble.",,
,34,2,고요의 암석터 배경,누리,Nuri,4,저것들이 여신님을 왜 찾아온거죠?,Why did they come to see you?,,
,34,3,고요의 암석터 배경,레오나,Reona,20,모르겠어요. 갑자기 공격해 와서 경계는 했지만...,I don't know. I was on the alert for a sudden attack.,,
,34,4,고요의 암석터 배경,레오나,Reona,20,근데 같이 오신분들은 누구시죠?,"By the way, who are you with?",,
,34,5,고요의 암석터 배경,누리,Nuri,2,이분들은 신성바이델에서 오신 빛의 사제님들이세요.,These are the Priests of Light from the Holy Videl Kingdom.,,
,34,6,고요의 암석터 배경,베로니카,Veronica,94,처음 뵙겠습니다. 베로니카라고 해요.,It's a great pleasure to meet you. My name is Veronica.,,
,34,7,고요의 암석터 배경,요셉,Joseph,98,전 베로니카님을 보필하는 요셉이라고 합니다.,"I'm Joseph, the assistant of Veronica.",,
,34,8,고요의 암석터 배경,레오나,Reona,20,바이델에서 온 빛의사제라니.. 오랜만에 보네요.,Priest of Light from the kingdom. It's been a while since I saw them.,,
,34,9,고요의 암석터 배경,레오나,Reona,20,어쩐일로 이곳에 오신거에요?,What brings you into coming here?,,
,34,10,고요의 암석터 배경,,,0,우린 레오나 여신에게 그동안 있었던 일에 대해 이야기 했다.,We talked to the goddess Leona about what had happened.,,
,34,11,고요의 암석터 배경,레오나,Reona,20,검은로브의 사도 말이군요. 알고 있습니다.,That's the story of the apostle of a black robe. I know them.,,
,34,12,고요의 암석터 배경,레오나,Reona,20,그들이라면 오래전 자취를 감췄다고 들었는데..,I heard they disappeared a long time ago.,,
,34,13,고요의 암석터 배경,주인공,Player,0,고대의 힘에 대해 뭔가 생각나는게 있으신가요?,Do you have anything in mind about ancient power?,,
,34,14,고요의 암석터 배경,레오나,Reona,20,고대의 힘? 혹시... 그 유물과 관련이 있을 것 같네요.,Ancient power? Maybe... I think it has something to do with the artifact.,,
,34,15,고요의 암석터 배경,베로니카,Veronica,94,어떤 유물이요?,What kind of artifact?,,
,34,16,고요의 암석터 배경,레오나,Reona,20,일단 신전으로 돌아가서 이야기 하죠.,Let's go back to the temple and talk.,,
,35,1,신전 에스텔라 배경,,,0,신전에 도착하자 레오나 여신은 벽면 비밀공간을 열더니 그곳에서 어떤 석판을 꺼냈다.,"When we arrived at the temple, she opened a secret space on the wall and took out a stone tablet.",,
,35,2,시즌6컷신7,레오나,Reona,73,이게 바로 그 유물입니다.,This is the artifact.,1,
,35,3,시즌6컷신7,레오나,Reona,73,어딘가에 숨겨진 고대 문명에 대한 정보가 적혀있죠.,There's information about the ancient civilization hidden somewhere.,,
,35,4,신전 에스텔라 배경,베로니카,Veronica,94,그렇다면 검은로브의 사도와 고대 문명이 어떤 연관이 있는게 아닐까요?,There may be some connection between apostles and ancient civilization.,1,
,35,5,신전 에스텔라 배경,누리,Nuri,2,고대 문명이 어떤 곳인데요?,What is the ancient civilization like?,,
,35,6,신전 에스텔라 배경,레오나,Reona,20,그건 언니가 알고 있을거에요.,I'm sure my sister knows that.,,
,35,7,신전 에스텔라 배경,누리,Nuri,2,루나 왕녀님이요?,Princess Luna?,,
,35,8,신전 에스텔라 배경,베로니카,Veronica,94,그럼 이 유물엔 어떤 정보가 적혀 있는거죠?,So what information does this artifact have?,,
,35,9,신전 에스텔라 배경,레오나,Reona,20,그건 아직 파악하지 못했습니다.,I haven't figured that out yet.,,
,35,10,신전 에스텔라 배경,검은로브,Black robe,73,그럼 내가 파악해주지. ,Then let me do it!,,
,35,11,신전 에스텔라 배경,,,0,갑자기 나타난 검은로브의 사도는 순식간에 레오나 여신에게서 유물을 빼앗았다.,"Suddenly, the apostle of the black robe took the artifact from the goddess Leona in an instant.",,fight1.mp3
,35,12,신전 에스텔라 배경,레오나,Reona,23,꺄악!,Yipe!,,
,35,13,신전 에스텔라 배경,요셉,Joseph,100,검은로브의 사도! 놓치지 않겠다!,Black robe! I will not let you go!,,
,35,14,신전 에스텔라 배경,,,0,요셉은 허리에 찬 무기로 검은로브에게 공격을 가하나 검은로브는 쉽게 피해 버린다.,"Joseph attacks the black robe with a weapon around his waist, but it avoided the attack easily.",,
,35,15,신전 에스텔라 배경,검은로브,Black robe,105,다시 만나게 될 테니 너무 아쉬워하지 말거라~크크큭.,Don't be so sad because we'll see each other again.,,
,35,16,신전 에스텔라 배경,,,0,요셉은 또 공격을 가하지만 검은로브는 공격을 흘려버리며 이내 사라져 버렸다.,"Joseph attacked again, but the black robe soon disappeared.",,
,35,17,신전 에스텔라 배경,베로니카,Veronica,96,이렇게 쉽게 유물을 빼앗기다니…,I can't believe it's taken away so easily.,,
,35,18,신전 에스텔라 배경,레오나,Reona,20,검은로브의 사도와 고대 문명이 확실히 연관되어 있어요.,The apostles of the black robe and the ancient civilization are clearly related.,,
,35,19,신전 에스텔라 배경,레오나,Reona,20,하늘왕국에도 또 다른 유물이 있습니다! 언니가 위험해요!,"There is another artifact in The Castle, too! My sister might be in danger!",,
,35,20,신전 에스텔라 배경,,,0,우리는 하늘왕궁으로 서둘러 이동했다.,We hurried to The Castle,,
,36,1,하늘왕국 왕궁 배경,주인공,Player,0,루...루나 왕녀님!,Princess Luna!,,
,36,2,하늘왕국 왕궁 배경,루나,Luna,26,시끄럽습니다. 무슨 일이시죠?,What's the matter?,,
,36,3,하늘왕국 왕궁 배경,,,0,하늘왕국은 평소와 다른점이 없었다. \n아직 검은로브의 사도는 나타나지 않은 것이다.,Sky realm was nothing different than usual. \nThe apostle of the black robe has not yet appeared.,,
,36,4,하늘왕국 왕궁 배경,,,0,루나 왕녀에게 심해에서 있었던 이야기를 했다.,I told Princess Luna about what happened in Estella,,
,36,5,하늘왕국 왕궁 배경,루나,Luna,26,그렇다면 반드시 유물을 찾으러 올 겁니다.,Then he'll definitely come looking for the artifact.,,
,36,6,하늘왕국 왕궁 배경,베로니카,Veronica,94,유물에 대해 아시는게 있으신가요?,Do you know anything about the artifact?,,
,36,7,하늘왕국 왕궁 배경,루나,Luna,26,그걸 지키는 것 또한 왕가의 의무입니다. 유물에 대한 존재조차 알려져선 안됩니다.,It is also the royal responsibility to keep it and the existence of artifacts should not be known.,,
,36,8,하늘왕국 왕궁 배경,누리,Nuri,2,그게 무슨 말씀이세요?,What do you mean?,,
,36,9,하늘왕국 왕궁 배경,,,0,정적이 흘렀다. \n루나 왕녀가 입을 다문 것이다.,There is a silence. Princess Luna closed her mouth.,,stop
,36,10,하늘왕국 왕궁 배경,,,0,"그것도 잠깐, 다시 입을 열었다.","Just for a while, and she opened her mouth again.",,
,36,11,하늘왕국 왕궁 배경,루나,Luna,26,...정황상 여러분을 믿고 이야기 해야겠군요.,...I have to trust you and talk to you.,,
,36,12,하늘왕국 왕궁 배경,,,0,모두 조용히 루나 왕녀의 말에 귀를 기울이기 시작했다.,Everyone began to listen quietly to Princess Luna.,,
,36,13,하늘왕국 왕궁 배경,루나,Luna,26,고대 문명.. 그 곳의 이름은 레무리아라 불리는 곳입니다.,Ancient civilization. It is called Remuria.,,col.mp3
,36,14,하늘왕국 왕궁 배경,루나,Luna,26,세상에 평화를 유지하고 번영시키기 위해 만든 나라였죠.,It was a country built to maintain peace and prosperity in the world.,,
,36,15,하늘왕국 왕궁 배경,루나,Luna,26,어떤 마도사가 나라를 위해 강력한 힘을 가진 마석을 만들었습니다.,A wizard created a powerful mana stone for the country.,,
,36,16,하늘왕국 왕궁 배경,루나,Luna,26,마석의 힘을 통해 나라는 번창했고 평화로웠습니다.,"Through the power of mana stone, the country flourished and was peaceful.",,
