구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드
,1,11,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,"다만 한가지 해결하지 못한 문제점이 있습니다. 아르하의 기운을 추적하는 기술은 완성되었지만,\n추적 대상이 될만한 강력한 아르하의 기운을 아직 손에 넣지 못했습니다.",But we still have a problem. The tracking technology is complete.\nWe haven't found a clue to trace yet.,不過有一個問題還沒解決。雖然追蹤阿爾哈的氣息的技術已經完成，\n但我們還沒能獲得足以作為追蹤對象的強大阿爾哈氣息。,,
,1,12,꿈의 세계 월드맵,주인공,Player,Player,,그 강력한 아르하의 기운이란게 혹시......,Clue means....,那股強大的阿爾哈氣息，難道是指……？,,
,1,13,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,네. 다크베인을 무찔러야 합니다.,Yes. We must defeat Dark Vein.,沒錯。我們必須擊敗黑暗貝恩。,,
,1,14,꿈의 세계 월드맵,즈믄,Zimon,茲門,슬픔,너 뭐 잘못한 거 있어? 빨리 사과드려!,"Did you do something wrong? Come on, apologize!",我做錯了什麼嗎？快點道歉！,,
,1,15,꿈의 세계 월드맵,주인공,Player,Player,,죄송합니다! 제가 뭔가 실수를......,I'm sorry! Did I made a mistake ...,對不起！我是不是做錯了什麼事……,,
,1,16,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,웃음,그런게 아닙니다. (주인공) 혼자서 싸우는 것이 아니라 테이머 협회의 총력을 기울인 일전을 준비중입니다.,"No. Not only you, (주인공) You are not fighting on your own. Tamer association is preparing for a full-scale battle, too.",不是那樣的。(주인공)並不是單獨作戰，而是準備著馴獸師協會全力以赴的決戰。,,
,1,17,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,막강한 적이지만 꼭 이겨야 할 필요가 있는만큼 우리의 모든 것을 쏟을 예정이죠.,"He is a powerful enemy, but we have to win, so we will give it all we've got.",雖然是強大的敵人，但由於這場戰鬥極為關鍵，我們將全力以赴，傾盡一切。,,
,1,18,꿈의 세계 월드맵,주인공,Player,Player,,"그, 그렇군요. 천만 다행입니다.",Ye..s. that sounds better.,是、是嗎。太好了。,,
,1,19,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,"아마 곧 준비가 끝날겁니다. (주인공), 다크베인을 무찌르고 아르하의 기운을 수집하세요.","Association is ready to fight. (주인공), defeat Dark Vein and collect the force of Archa.",準備應該很快就會完成。 (주인공)，擊敗黑暗貝恩並收集阿爾哈的氣息吧。,,
,,,,퀘스트,퀘스트,퀘스트,,다크베인을 무찌르고 아르하의 기운을 수집하자.\n(아르하의 입구에 퀘스트 표시)\n(터치 시 바로 다음 시나리오 연출 시작),"Defeat Dark Vein and collect the force of Archa.\n(아르하의 입구에 퀘스트 표시)\n(다크베인 강제 전투, 주인공 외 3명은 랜덤 드래곤, 다크베인 스펙을 약화시켜 승률 100%로)",擊敗黑暗貝恩並收集阿爾哈的氣息。  \n(阿爾哈的入口處顯示任務標記)\n(觸碰後立即開始下一個劇情演出),,
,2,1,꿈의 세계 월드맵,다크베인,Dark Vein,黑暗貝恩,,포기를 모르는 벌레들 같으니! 이런 하찮은 공격이 통할 것 같으냐!,You nasty bugs! You can't hurt me!,你們這些不知放棄的臭蟲！以為這種微不足道的攻擊有用嗎！,,
,2,2,꿈의 세계 월드맵,주인공,Player,Player,,"다크베인이 방심한 그순간, 고대신룡과 눈이 마주쳤다.\n난 고개를 끄덕였고, 고대신룡은 순식간에 다크베인의 등 뒤로 접근했다.","At that time, when Dark Vein off guard, I made eye contact with God Dragon.\nI nodded, God dragon got six of Dark Vein.",就在黑暗貝恩放鬆警惕的那一刻，我與古代神龍對到眼。 \n我點了點頭，古代神龍瞬間接近了黑暗貝恩的背後。,,
,2,3,꿈의 세계 월드맵,고대신룡,God Dragon,古代神龍,,싸움 중에 한눈 팔지 마라!,Eat this!,在戰鬥中還分心！,,
,2,4,꿈의 세계 월드맵,다크베인,Dark Vein,黑暗貝恩,,크아아아악! 이런 비겁한 놈!,Yipe! You sneaky jerk!,嗚啊啊啊！這樣卑鄙的傢伙！,,
,2,5,꿈의 세계 월드맵,주인공,Player,Player,,"큰 상처를 입은 다크베인은 거대한 문 너머로 도망치려고 했다.\n나와 고대신룡이 서둘러 다크베인을 쫓으려 한 순간, 지부장님이 크게 외쳤다.",The injured Dark Vein tried to run over the huge gate.\nManager shouted when I and God dragon try to chase after it,受到重傷的黑暗貝恩試圖逃向那扇巨大的門。  \n當我和古代神龍急忙追趕時，支部長大聲喊道。,,
,2,6,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,화남,기다리세요! 도망치게 둬야 합니다!,Wait! Let it go,等一下！讓他逃吧！,,
,2,7,꿈의 세계 월드맵,주인공,Player,Player,,지금이 기회 아닌가요?,What? This is the chance!,現在不正是時候嗎？,,
,2,8,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,아뇨. 아직 다크베인이 가진 아르하의 기운을 수집하는 중입니다.\n완전히 무찔러 버리면 모든 게 처음부터에요!,"Negative. We still collecting the force from Dark Vein.\nIf you defeat it totally, we had to do it again from the beginning.",不，黑暗貝恩還在收集阿爾哈的氣息。  如果徹底擊敗他，所有的努力將歸零！,,
,2,9,꿈의 세계 월드맵,즈믄,Zimon,茲門,슬픔,"으으, 아깝다. 진짜 막타만 남았는데......",That was really close.,唔，好可惜。真的只差最後一擊了……,,
,2,10,꿈의 세계 월드맵,누리,Nuri,諾莉,보통,실망하지 마 즈믄! 아르하로 가서 적 본거지를 공격하기만 하면 전부 끝날거야!\n아르하의 기운이 수집되는걸 기다려 보자구!,Cheer up Zimon. All we have to do is attack the enemy's base!\nLet's wait and see the energy collecting!,讓我們等著收集阿爾哈的氣息吧！,,
,,,,퀘스트,퀘스트,퀘스트,,수집 작업이 완료됐는지 확인하자\n(아르하의 입구에 퀘스트 표시),Check collecting is done,確認收集工作是否完成。  \n(阿爾哈的入口處顯示任務標記),,
,3,1,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,웃음,"됐어, 성공입니다!",Yes! We made it!,好了，成功了！,,
,3,2,꿈의 세계 월드맵,주인공,Player,Player,,지부장님이 평소 보기 힘든 환한 웃음을 지었다. 옆에 있던 디트도 너털웃음을 터뜨리며 기뻐했다.,Manager made a big smile. Deet was delighted too.,支部長露出了平時難得一見的燦爛笑容。旁邊的迪特也忍不住大笑，顯得非常高興。,,
,3,3,꿈의 세계 월드맵,디트,Deet,迪特,웃음,"하하, 어떠냐! 성공이지! 내가 만든 아르하 추적 장치는!",Haha. How was it? My invention is great!,哈哈，怎麼樣！成功了吧！這就是我製作的阿爾哈追蹤裝置！,,
,3,4,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,웃음,"네, 잘 작동하는군요. 이제 아르하의 좌표를 특정지을 수 있습니다.","Yes. It works very well. Now, we can specify the coordinate of Archa.",是的，運作良好。現在我們可以確定阿爾哈的座標了。,,
,3,5,꿈의 세계 월드맵,주인공,Player,Player,,그리고 지부장님은 언제 웃었냐는듯 다시 진지한 표정으로 나를 돌아봤다.,And the manager looked back at me with a serious look on her face.,然後，支部長似乎從未笑過，立即恢復了認真的表情，轉頭看向我。,,
,3,6,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,"(주인공), 임무를 하달하겠습니다. 고대신룡과 함께 아르하로 지금 즉시 이동해주세요.\n그리고 주변의 지형을 파악하고, 적의 근거지를 정찰하는 선발대로 활동해주시기 바랍니다.","(주인공), I'll give you a mission. Go to Archa with God dragon and reconnoiter enemy's territory. Now.",(주인공)，我將下達任務。請立即與古代神龍一同前往阿爾哈。  \n並且，作為先遣隊，請了解周圍地形，進行敵人的據點偵查。,,
,3,7,꿈의 세계 월드맵,즈믄,Zimon,茲門,보통,어째서 (주인공)만 가는거죠? 저희는요?,Why only (주인공)? How about us?,為什麼只有(주인공)去？我們呢？,,
,3,8,꿈의 세계 월드맵,주인공,Player,Player,,즈믄의 말에 지부장님은 고개를 가로저었다.,She shook her head in denial.,對於吉蒙的話，支部長搖了搖頭。,,
,3,9,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,소규모 선발대로 적에게 들키지 않는 것이 목적입니다. (주인공)와(과) 고대신룡 정도만 해도 충분합니다.,Scout team have to infiltrate into enemy's base on a small group. (주인공) and God dragon are enough.,目的是讓小規模的先遣隊不被敵人發現。像(주인공)和古代神龍這樣的人就足夠了。,,
,3,10,꿈의 세계 월드맵,즈믄,Zimon,茲門,보통,하지만......,But...,但......,,
,3,11,꿈의 세계 월드맵,누리,Nuri,諾莉,웃음,"자, 즈믄! 우리도 할 일은 많다고! 다크베인과의 싸움으로 망가진 전초기지도 고치고, 부상병도 도와야지?",Come on Zimon! We got a lot to do! We need to fix the outpost and help the wounded soldiers.,來吧，吉蒙！我們也有很多事情要做！修理與黑暗貝恩戰鬥中損壞的前哨基地，還有幫助傷員吧？,,
,3,12,꿈의 세계 월드맵,주인공,Player,Player,,누리가 즈믄의 입을 손으로 막으며 데려갔다. 별 일 아닌 척은 하지만 아마 누리도 많이 걱정할 것이다.,"Nuri dragged Zimon. Se pretends it is not a big deal, but she may also be worried.",諾莉用手堵住了吉蒙的嘴巴，並把他帶走了。她雖然表現得若無其事，但我想她也會非常擔心吧。,,
,3,13,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,"잘 들으세요. 이번 임무의 최종 목표는 귀환입니다. 절대 죽지 말고, 살아 돌아와서 보고하세요.\n그렇지 않으면 선발대의 의미가 없습니다.","Listen up. Your goal is come back in one piece. Never die, come back alive and report.\nOtherwise, there is no point in the scouts",請聽好。這次任務的最終目標是安全回歸。絕對不能死，必須活著回來報告。  \n否則，先遣隊的意義就不存在了。,,
,3,14,꿈의 세계 월드맵,주인공,Player,Player,,"네, 알겠습니다.",Aye aye ma'am,是的，明白了。,,
,3,15,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,그리고 이 추적 장치를 절대 잊지 마세요. 아르하의 기운으로부터 여러분을 보호해줄 겁니다.\n마지막 점검이 끝나면 서둘러 출발해주세요.,And keep this tracer. It will protect you from the force of Archa.\nMake a quick start after the last checkup,而且，請絕對不要忘記這個追蹤裝置。它將會保護你們免受阿爾哈的氣息影響。  \n最後的檢查結束後，請儘快出發。,,
,,,,퀘스트,퀘스트,퀘스트,,"아르하로 이동하자\n(아르하의 입구에 퀘스트 표시, 아르하의 입구를 선택하면 전초기지와 아르하 선택지가 등장)\n(월드맵 버튼에 아르하 버튼 활성화)",Go to Archa,前往阿爾哈。\n(阿爾哈的入口顯示任務標記，選擇阿爾哈的入口後，前哨基地與阿爾哈的選擇將顯示)\n(世界地圖按鈕中啟用阿爾哈按鈕),,
,4,1,아르하 월드맵,주인공,Player,Player,,"눈을 뜨자 그곳은 지금까지 한번도 보지 못한 세상이었다.\n모든것이 파괴된듯한 기괴하고 아찔한 광경. 그러면서도 일견, 아름다웠다.","When I opened my eyes, it was a world I had never seen before.\nThe bizarre and giddy scene where everything seemed to be destroyed. But, it was beautiful.",睜開眼睛的時候，看見的是一個前所未見的世界。 \n一切彷彿都被摧毀，呈現出奇異而令人膽寒的景象。儘管如此，從某個角度看，它又是那麼的美麗。,,
,4,2,아르하 월드맵,고대신룡,God Dragon,古代神龍,,다 부서졌네. 엉망이군. 거기다 영 이상한데.,"Everything is gone and mess. Plus, it's very weird.",全都壞了，亂七八糟的。而且，這裡也太奇怪了。,,
,4,3,아르하 월드맵,주인공,Player,Player,,고대신룡의 의견은 나와 상당히 달랐다.,His opinions differed considerably from mine.,古代神龍的意見與我大相徑庭。,,
,4,4,아르하 월드맵,고대신룡,God Dragon,古代神龍,,잘 봐. 생명의 기척이 전혀 느껴지지 않아.,Look. There is no sign of living things.,看清楚了嗎？這裡完全感覺不到任何生氣。,,
,4,5,아르하 월드맵,주인공,Player,Player,,"고대신룡의 말을 듣고 다시 한번 자세히 살펴보니 정말 그랬다.\n풀벌레, 바람 소리 하나 없이 사방이 적막했고 무언가 움직이는 것조차 발견할 수 없었다.","When I heard what he said and looked around again, it really was.\nIt was desolate all around, without a sound of the wind, and couldn't even detect something moving.",聽了古代神龍的話，我再次仔細檢視，果然如此。  \n四周一片寂靜，沒有昆蟲的聲音，也沒有風的聲音，甚至連任何東西的動靜都無法察覺。,,
,4,6,아르하 월드맵,주인공,Player,Player,,음...... 일단 주변을 살펴보자.\n이렇게 조용하니 우리 움직임이 크게 눈에 띌거야. 되도록 조심히 움직여야겠어.,"Let's check around.\nWith this quiet, we'll be able to see very clearly. We'll move as carefully as we can.",嗯......先仔細查看周圍吧。  \n這麼安靜，我們的動靜肯定會引起注意。必須小心行動。,,
,,,,퀘스트,퀘스트,퀘스트,9,주변을 수색하자.\n(탐색대 메뉴에 퀘스트 마크 표시)\n(선택하면 탐색대 메뉴로 이동)\n(수색 1회 완료할것)\n(해당 퀘스트 완료 시 빛의 봉인지 수색지 오픈),Search the neighborhood.,搜查周圍。  \n(探索隊菜單顯示著任務標記)  \n(選擇後將進入探索隊菜單)  \n(完成一次搜查)  \n(完成該任務後，開啟光之封印的搜尋區域),,
,5,1,아르하 월드맵,주인공,Player,Player,,저 탑 안에 뭔가 있는데?,Something in that tower!,那座塔裡似乎有什麼東西嗎？,,
,5,2,아르하 월드맵,고대신룡,God Dragon,古代神龍,,움직이고 있어. 동물이나 아르하의 드래곤...... 혹은 적일지도 몰라.,It's moving. Animals or Dragons ...... or enemies.,它在移動。可能是動物、阿爾哈的龍，或者也有可能是敵人。,,
,5,3,아르하 월드맵,주인공,Player,Player,,"조심스럽게 다가가자고 말하려는 그 순간, 움직이던 그 무언가가 갑자기 이쪽을 돌아봤다.",At that moment. The thing turned around and looked this way.,就在我想說小心接近的瞬間，那邊正在移動的某個東西突然轉頭看向這邊。,,
,5,4,아르하 월드맵,???,???,???,,크아아아아!,Krrrrr,啊啊啊啊！,,
,5,5,아르하 월드맵,주인공,Player,Player,,"이런, 몬스터다!",Oops. Monster!,糟糕，是怪物！,,
,5,6,아르하 월드맵,고대신룡,God Dragon,古代神龍,,빨리 처리해! 저 소리를 듣고 더 몰려올지도 몰라!,Do something quick! The others may be coming to hear that!,快處掉它！聽到這聲音，可能會有更多的怪物過來！,,
,,,,퀘스트,퀘스트,퀘스트,10,몬스터를 쓰러뜨리자.\n(빛의 봉인지에 퀘스트 표시)\n(전투 퀘스트)\n(해당 퀘스트 완료 시 빛의 봉인지 지역 오픈),Defeat a monster.,擊敗怪物。\n(光之封印區域顯示任務標記)\n(戰鬥任務)\n(完成該任務後，開啟光之封印區域),,
,6,1,빛의 봉인지,주인공,Player,Player,,재빨리 몬스터를 물리쳤지만 이미 주변은 가지각색의 몬스터로 가득했다.\n심상치 않았다. 아무리 소리를 들었더라도 이렇게 한번에 몰려오는 건 보통 일이 아니었다.,"We quickly beat the monsters, but the whole neighborhood is full of monsters.\nSomething wrong, no matter how they heard it, it was abnormal for them to flock together at once.",儘管迅速擊敗了怪物，但周圍已經被各式各樣的怪物填滿。\n情況不妙。即使聽到了聲音，一下子這樣湧過來的情況並不常見。,,
,6,2,빛의 봉인지,고대신룡,God Dragon,古代神龍,,조심해! 보통 몬스터가 아니야! 누군가가 지휘하고 있어!,Be careful! Someone controlling the monster!,小心！這些怪物不尋常！好像有人在指揮它們！,,
,6,3,빛의 봉인지,주인공,Player,Player,,그럴 것 같아. 이렇게 빠르게 모여드는 건 누군가 지휘관이 있다는 소리인데......,I think so. The fact that they flock together so quickly means that someone is in command.,我也這麼覺得。這麼快就聚集過來，一定是有指揮官在背後操控……,,
,6,4,빛의 봉인지,주인공,Player,Player,,"그순간, 몬스터 사이에서 익숙한 웃음소리가 들렸다.","At that time, we could hear familiar laughter among the monsters.",就在這時，從怪物中傳來了熟悉的笑聲。,,
,6,5,빛의 봉인지,???,???,???,,크하하하하! 이곳까지 잘도 기어왔구나! 증오스러운 테이머와 고대신룡!,Khahaha! Welcome! You hateful tamer and God dragon,哈哈哈！竟然爬到這裡來了！可憎的馴獸師和古代神龍！,,
,6,6,빛의 봉인지,주인공,Player,Player,,그리고 몬스터 사이에서 익숙한 해골바가지가 보였다.,And there was a familiar skull among monsters.,就在怪物之間，我看見了那個熟悉的骷髏頭盔。,,
,6,7,빛의 봉인지,G스컬,G Skull,G骷髏,,"겁도 없이 이곳 아르하까지 찾아오다니, 유타칸에 목숨 몇개는 마련해놓은 모양이구나!","How dare you come all the way down here in Archa, you must have some more lives in Yutakan!",居然不畏懼地來到這裡，難道你們為了進入尤塔勘，多準備了幾條命嗎！,,
,6,8,빛의 봉인지,주인공,Player,Player,,네놈이야말로 아직 목숨이 남아있었구나! 에스텔라 신전에서 완전히 소멸한 줄 알았더니!,You are still alive! I thought you were dead in Estella!,原來是你啊！我還以為你在艾絲黛拉神殿中已經完全消失了呢！,,
,6,9,빛의 봉인지,G스컬,G Skull,G骷髏,,"크윽, 닥쳐라! 네놈에게 당한 패배는 아직도 잊을 수 없다!\n카데스님이 아니었다면 그 굴욕을 갚을 기회도 없었겠지!","Uk, shut up! I can't forget the indignity from you!\nI wouldn't have had a chance to pay that humiliation without Kades",閉嘴！我至今無法忘記被你擊敗的屈辱！\n如果不是卡德斯大人，我根本不會有機會報仇！,,
,6,10,빛의 봉인지,G스컬,G Skull,G骷髏,빨간색,이번에야말로 놓치지 않겠다!,I won't miss it!,這次我絕對不會放過你！,,
,,,,퀘스트,퀘스트,퀘스트,11,G스컬을 쓰러뜨리자.\n(빛의 봉인지에 퀘스트 표시)\n(전투 퀘스트),Defeat G-Skull,擊敗G骷髏。\n(在光之封印處顯示任務標誌)\n(戰鬥任務),,
,7,1,빛의 봉인지,주인공,Player,Player,,별로 강해진 것 같지가 않은걸? 여전히 약해빠졌구나!,I don't think you are strong enough. You're still weak!,他們根本沒變強啊！依然是那麼弱！,,
,7,2,빛의 봉인지,G스컬,G Skull,G骷髏,,"큭큭, 바보같은 놈. 지금 나만 상대하는 줄 착각하고 있구나.","You think I'm the only one, you stupid.",呵呵，愚蠢的傢伙。竟然以為只有我一個在對付你。,,
,7,3,빛의 봉인지,주인공,Player,Player,,아뿔싸!,Oops!,糟糕！,,
,7,4,빛의 봉인지,주인공,Player,Player,,"등 뒤를 덮치는 거대한 그림자를 발견했지만 이미 늦었다.\n제대로 대응을 했어도 무의미했겠지만, 나는 무심코 두 눈을 질끈 감고 말았다.","I found a shadow on my back, but it was too late.\nI closed my eyes, though it would have been pointless if I had responded.",我發現了背後襲來的巨大陰影，但已經來不及了。\n即使及時反應也無法改變結果，我不禁緊閉雙眼。,,
,7,5,빛의 봉인지,고대신룡,God Dragon,古代神龍,,크아아악!,Ughhhhhh!,克啊啊啊!,,
,7,6,컷신2,주인공,Player,Player,,하지만 고대신룡의 비명이 들리자 나도 모르게 다시 눈을 뜨게 되었다.\n나를 감싸느라 깊은 상처를 입은 고대신룡이 쓰러진 것이 보였다.,"But when I heard the screams of God dragon, I opened my eyes again.\nI saw God dragon collapsed after suffering a serious injury covering me up.",但是當聽到古代神龍的悲鳴時，我不禁再次睜開了眼睛。\n我看到為了保護我而受到重傷的古代神龍倒下了。,,
,7,7,컷신2,G스컬,G Skull,G骷髏,,하하하하! 바보같은 짓을 했구나! 어차피 둘 모두 여기서 죽을텐데!,Hahaha You idiot. You gonna die too!,哈哈哈哈！真是愚蠢的行為啊！反正兩個人都會在這裡死掉的！,,
,7,8,컷신2,주인공,Player,Player,,고대신룡! 정신차려!,God dragon! Stay with me!,古代神龍！清醒過來！,,
,7,9,컷신2,고대신룡,God Dragon,古代神龍,,도망쳐... 빨리...,Run... hurry...,逃跑吧... 快點...,,
,7,10,컷신2,G스컬,G Skull,G骷髏,,헛소리! 너희는 절대 도망치지 못한다! 모두 여기서 죽어라!,Nonsense! You'll never run away! Everyone dies here!,胡說！你們絕對逃不掉！全都在這死去吧！,,
,,,,퀘스트,퀘스트,퀘스트,12,G스컬의 몬스터를 쓰러뜨리자 (0/10)\n(빛의 봉인지에 퀘스트 표시)\n(빛의 봉인지 몬스터 10회 승리하기),Defeat Monsters of G-Skull.,"""擊敗G骷髏的怪物 (0/10)\n(光之封印處顯示任務)\n(擊敗光之封印怪物 10次)""",,
,8,1,아르하 월드맵,주인공,Player,Player,,사방의 몬스터들이 한꺼번에 달려들었다.\n나는 어떻게든 다친 고대신룡을 지키기 위해 맞서 싸웠지만 역부족이었다.,"The monsters charged at all at once.\nI fought to protect God dragon, but I couldn't afford it.",四周的怪物們一起衝了過來。\n我為了保護受傷的古代神龍，不顧一切地迎戰，但還是力不從心。,,
,8,2,아르하 월드맵,주인공,Player,Player,,"아르하에 도착하자마자 이런 꼴이라니.\n속으로 끝없는 자책을 하며 마지막을 각오했을 때, 어디선가 큰 목소리가 들렸다.","This is what happened as soon as I arrived at Archa.\nWhen I prepared to end with remorse, I heard a loud voice somewhere.",剛到達阿爾哈就變成這副模樣。\n心中不斷自責，準備面對最後一刻時，忽然傳來了一聲巨大的聲音。,,
,8,3,아르하 월드맵,???,???,???,,크아아아!,Ughhhh!,克啊啊啊!,,
,8,4,아르하 월드맵,주인공,Player,Player,,동시에 온 대지가 뒤흔들렸다.\n제대로 서 있지도 못할 만큼 격한 흔들림이었다. 그리고 다시 큰 목소리가 들렸다.,The whole earth shook.\nIt was so violent that nobody could stand still. Then there was another loud voice.,同時，大地震動了。\n震動激烈到我無法站穩。然後又傳來了一聲巨大的聲音。,,
,8,5,아르하 월드맵,???,???,???,,크아아아아아!,Ughhhhhh!,克啊啊啊!,,
,8,6,아르하 월드맵,주인공,Player,Player,,목소리가 들린 쪽을 쳐다보니 한 드래곤이 있었다.\n그 드래곤은 두 손을 들어올려 다시 한번 대지를 크게 내리쳤다. 엄청난 진동이 이어졌다.,"When I looked to the side of voice, there was a dragon.\nThe dragon lifted up his hands and smashed the earth again. There was a massive earthquake.",我轉頭望向聲音傳來的方向，發現有一條龍。\n那條龍舉起雙手，再次狠狠地擊打大地。隨之而來的是一陣巨大的震動。,,
,8,7,아르하 월드맵,G스컬,G Skull,G骷髏,,"말도 안돼, 어떻게 아르하에서 드래곤의 힘을...... 큭, 네놈은 누구냐!","No way, how can you get the power of the Dragon from Archa?! Who are you?!",不可能，怎麼會在阿爾哈感受到龍的力量......咳，你是誰！,,
,8,8,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,렉스톤이다!,I am Rexton!,嗨～是雷克斯頓!,,
,8,9,아르하 월드맵,주인공,Player,Player,,시원스레 대답한 드래곤은 다시 한번 두 손을 들어올려 땅을 내리쳤다.,"Soon after, Rexton raised his hands again to strike the ground.",爽快地回答的龍再次舉起雙手，狠狠地擊打大地。,,
,8,10,아르하 월드맵,G스컬,G Skull,G骷髏,,그만! 그만둬라! 땅이 무너진다!,Stop! stop it! The ground is breaking!,停下！快停下！大地要崩塌了！,,
,8,11,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,지금이다! 빨리 도망쳐!,Now! Run away!,現在！快逃！,,
,8,12,아르하 월드맵,주인공,Player,Player,,렉스톤이란 이름을 밝힌 드래곤은 멈추지 않고 땅을 내리쳤다.\n그 위력은 그야말로 대단했다.,The dragon named Rexton hit the ground without stopping.\nThe power was  great.,揭示了名為「雷克斯頓」的龍沒有停下，猛烈地擊打了大地。\n它的威力真驚人。,,
,8,13,아르하 월드맵,주인공,Player,Player,,어느 정도였냐면 도망치려는 나까지 넘어지게 만들 정도였으니.,I was about to fall over myself trying to flee.,那股力量強大到連我這個試圖逃跑的人都被擊倒了。,,
,8,14,아르하 월드맵,주인공,Player,Player,,"잠깐만! 일, 일어설 수가 없어!",Wait! I can't stand up!,等一下！我、我站不起来了！,,
,8,15,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,버티기 힘들다! 서둘러!,Hurry! I can't do this forever!,快撐不住了！快點！,,
,8,16,아르하 월드맵,G스컬,G Skull,G骷髏,,"크윽, 조금만 기다려라! 저 놈의 힘이 다 빠지는 순간이 너희의 마지막이다!","Uk, wait a minute! You'll die after this earthquake!",唔，稍等一下！那傢伙的力量一旦耗盡，將是你們的最後時刻！,,
