구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,76,11,아르하 월드,주인공,Player,Player,,아스타로트는 지팡이를 휘두르며 마구 날뛰었다. 솔라의 등짝을 때렸을 때는 솔라도 순간 눈빛이 바뀌었지만 눈이 마주치자마자 다시 고개를 숙였다.,"Astaroth swung her cane and went wild. When she hit Solar's back, his eyes changed for a moment, but he bowed again as soon as his eyes met.",亞斯她錄揮動著法杖，瘋狂地四處亂竄。當她打到太陽龍的背部時，索拉瞬間眼神變了，但一旦對上視線，她又立刻低下了頭。,,,,
,76,11,아르하 월드,주인공,Player,Player,,어쩔 수 없는 전 여신인 것일까. 깊숙히 박힌 충성심은 어쩔 수 없나보다.,Is it an inevitable former goddess? I guess he can't help his deep-rooted loyalty.,或許這就是無可避免的，曾經的女神。那深深扎根的忠誠心，似乎真的是無法輕易改變的。,,,,
,76,10,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,"내가 기껏 봉인도 하고, 기억도 지웠는데! 얼마나 힘들게 한건데 왜 그걸 다 망쳐놔! 저놈은 수호룡도 아니라 지우기 더 힘들었다고!","I've sealed it and erased the memory! How hard it was to do it and why ruin it all! He wasn't a guardian dragon, he was harder to erase!",我費了多大力氣才封印了他，抹去了記憶！這一切有多麼艱難，為什麼你要把一切搞砸！那傢伙根本不是守護龍，根本更難抹去！,,,,
,76,14,아르하 월드,렉스톤,Rexton,雷克斯頓,변신,어...... 나는......,Uh... I...,啊......我……,,,,
,76,15,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,내가 시키는 것만 하라고 했잖아! 왜 니들 맘대로 행동하냐고! 내가 시키는 데로만 하면 다 잘 될 텐데 왜!,I told you to do just what I told you to do! Why are you acting on your own? Why?,我不是讓你們只做我讓你們做的事嗎！為什麼你們總是擅自行動！只要按照我說的做，一切都會順利的啊，為什麼！,,,,
,76,16,아르하 월드,블리자드,Blizzard,暴風雪,,"아스타로트님, 저희는......","Astaroth, we are ......",亞斯她錄大人，我們......,,,,
,76,17,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,입 다물라고 했지! 왜 하나부터 끝까지 내 마음대로 되는 게 없어 왜! 도대체 왜!,I told you to shut up! Why doesn't everything go my way? Why!,我說閉嘴！為什麼從頭到尾沒有一件事是我能掌控的，為什麼！到底為什麼！,,,,
,76,18,아르하 월드,주인공,Player,Player,,거친 숨을 몰아쉬던 아스타로트가 갑자기 고개를 들어 우릴 쳐다봤다. 이성을 잃은 섬뜩한 눈빛이었다.,"Astaroth, who was breathing hard, suddenly looked up at us. It was an eerie look that seemed lost.",喘著粗氣的亞斯她錄突然抬起頭，盯著我們。那是一雙失去理智的可怕眼神。,,,,
,76,19,아르하 월드,아스타로트,Astarot,亞斯她錄,웃음,그래...... 너희들 때문이구나. 계속 그랬어. 유타칸에서부터 내가 하려는 일은 다 망쳐놨지.,Yeah... It's because of you. You've ruined everything I'm trying to do in Utahkhan.,對……是因為你們。一直都是如此。從尤塔勘開始，我想做的事都被你們給毀了。,,,,
,76,20,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,"너희들을 없애버려야 하는 걸 왜 아직까지 기다리고 있는지. 자, 일어서라! 저 테이머를 없애버려!","Why am I still waiting to get rid of you? Come on, stand up! Get rid of that tamer!",應該把你們去掉的！把那個屠龍者消滅掉！,,,,
,,,,,,,,아스타로트의 몬스터를 무찌르자(0/10)(어둠의 봉인지에 퀘스트 표시),Defeat the monsters of Archa.,「擊敗阿斯塔羅特的怪物(0/10)  (在黑暗封印中顯示任務標記)」,,,,
,77,1,아르하 월드,아스타로트,Astarot,亞斯她錄,보통,너희들이 헬카이저를 쓰러뜨렸다지? 그럼 너희만 쓰러트리면 내가 헬카이저보다 강하다는 증거가 되겠군.,"You guys knocked out Hell kaiser? Then, if you fall, it will be proof that I am stronger than Hell kaiser.",你們擊敗了地獄凱撒對吧？那麼只要擊倒你們，就能證明我比地獄凱撒更強。,,,,
,77,2,아르하 월드,아스타로트,Astarot,亞斯她錄,웃음,죽어라! 이렇게 된 이상 내가 아르하를 지배하겠다! 그러면 카데스님도 아르하의 파멸은 넘어가 주실 거야!,Die! I will rule Archa! Then Kades won't destroy Archa.,死吧！既然如此，我將統治阿爾哈！那麼卡德斯大人也會放過阿爾哈的滅亡！,,,,
,77,3,아르하 월드,주인공,Player,Player,,헛소리 하지 마라! 언제까지 카데스의 부하로 남겠다는거냐 시렐라!,Don't talk nonsense.! How long are you going to stay under Kades? Sirella!,別胡說八道了！你到底要當卡德斯的部下到什麼時候，西瑞拉！,,,,
,77,4,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,그 이름으로 날 부르지 마라! 내 이름은 아스타로트! 카데스님에게 충성을 다 바친......,Don't call me by that name! My name is Astaroth! All loyalty to Kades...,別用那個名字叫我！我的名字是亞斯她錄！我將忠誠獻給卡德斯大人……,,,,
,77,5,아르하 월드,주인공,Player,Player,,그 순간 땅이 거세게 흔들렸다. 순간 옛날 생각이 떠올라 얼른 렉스톤을 돌아봤지만 렉스톤도 휘청거리고 있었다. 렉스톤이 범인이 아닌건가?,"At that moment the ground shook violently. At the moment, I thought of the old days and looked Rexton, but Rexton was also reeling. Isn't he the cause?",就在那一刻，土地劇烈地震動。瞬間，往事湧上心頭，我急忙回頭看向雷克斯頓，卻發現他也在搖晃。難道雷克斯頓不是罪魁禍首嗎？,,,,
,77,6,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,"뭐, 뭐냐 이건!",W...what is this?,這、這是怎麼回事！,,,,
,77,7,아르하 월드,다크나이트,Dark Knight,黑騎士,,위험합니다!,Watch out!,這很危險！,,,,
,77,8,아르하 월드,주인공,Player,Player,,갑자기 땅이 갈라지며 거대한 균열이 생겼다. 아스타로트가 거기로 떨어지려는 순간 다크나이트가 재빨리 아스타로트를 구했다.,"Suddenly, there was a huge crack in the ground. When Astaroth was about to fall there, Dark knight quickly saved her.",突然，地面裂開，出現了巨大的裂縫。當亞斯她錄即將掉進去時，黑騎士迅速救了亞斯她錄。,,,,
,77,9,아르하 월드,고대신룡,God Dragon,古代神龍,변신,뭔가 이상해! 보통 지진이 아니야!,Something's wrong! It's not an ordinary earthquake!,有點不對勁！這不是普通的地震！,,,,
,77,10,아르하 월드,렉스톤,Rexton,雷克斯頓,변신,이건 지진이 아니야! 땅 속에 뭔가가 있어!,This is not an earthquake! There's something in the ground!,這不是地震！地下有某種東西！,,,,
,77,11,아르하 월드,솔라,Solar,太陽龍,,"이게 대체 무슨,,,!",What happened?,這到底是怎麼回事...！,,,,
,77,12,아르하 월드,주인공,Player,Player,,"그 순간 대지가 폭발했다. 땅 속에서 뿜어져 나온 엄청난 힘에 우리는 하늘 높이 솟구쳐 올랐고, 다행히 제피로스가 우리 모두를 구했다.","At that moment the ground exploded. The enormous force from the explosion made us jump high up into the sky, fortunately Zephyros saved us all.",就在那一刻，大地爆炸了。從地下噴發出的強大力量讓我們向天空猛地升起，幸運的是，澤費羅斯救了我們所有人。,,,,
,77,13,아르하 월드,포폰,Popon,波彭,,"겨, 겨우 살았다!",I thought we were going to die.,總、總算活下來了！,,,,
,77,14,아르하 월드,렉스톤,Rexton,雷克斯頓,변신,저게 뭐야 대체! 땅 속에 저런게 있었어?,What the hell is that! How could that thing come from underground?,那到底是什麼！地下竟然有那種東西嗎？,,,,
,77,15,컷씬6,주인공,Player,Player,,"나타난건 거대한 드래곤이었다. 온 몸에 불길한 기운을 두른 기이한 드래곤이었다. 아니, 드래곤이 맞긴 한걸까?","It was a huge dragon. It was a strange dragon with an ominous energy all over its body. No, is that the dragon?",出現的是一隻巨大的龍。牠全身籠罩著不祥的氣息，彷彿是一隻異常的龍。不，這真的是龍嗎？,,,,
,77,16,컷씬6,주인공,Player,Player,,"과연 지금 저 존재가, 내가 지금껏 봐왔던 '드래곤'이 맞는 걸까?",Is that the 'dragon' I've ever seen?,難道眼前的這個存在，真的是我一直以來所見過的那個「龍」嗎？,,,,
,77,17,컷씬6,아스타로트,Astarot,亞斯她錄,분노,안돼...... 안돼! 분명 아니라고 약속했는데! 왜 나타난거냐 엔더 드래곤!,"No...no! I promised! Why did you show up, Ender Dragon!",不行......不行！明明答應過不會出現的！為什麼是它，終焰龍！,,,,
,77,18,컷씬6,주인공,Player,Player,,갑자기 아스타로트가 자지러지는 비명을 질렀다. 깜짝 놀라 돌아보니 안그래도 새파란 얼굴이 더 파랗게 질린 아스타로트가 보였다.,"Suddenly, Astaroth screamed. When I looked back, I saw Astaroth, whose face turned pale.",突然，亞斯她錄發出了撕心裂肺的尖叫。我驚訝地轉過身，看見本來就已經蒼白的亞斯她錄的臉色變得更加蒼白。,,,,
,77,19,컷씬6,솔라,Solar,太陽龍,,"시렐, 아니, 아스... 큭, 뭔가 아십니까 저 드래곤에 대해서!","Sirlla, no, As..., do you know something about that dragon?!",西瑞，不，亞斯... 呃，您對那隻龍有什麼了解嗎？,,,,
,77,20,컷씬6,주인공,Player,Player,,솔라가 물어봤지만 아스타로트는 대답할 수 있는 상태가 아니었다. 얼굴을 쥐어뜯으며 그저 놀라고만 있었다.,"Solar asked, but Astaroth was in no condition to answer. she was just amazed, tearing her face.",太陽龍問了，但亞斯她錄無法回答。她只是在抓著自己的臉，顯得極為驚慌。,,,,
,77,21,컷씬6,아스타로트,Astarot,亞斯她錄,분노,돌아가자! 서둘러!,Let's go back! Hurry up!,我們回去吧！快點！,,,,
,77,22,컷씬6,고대신룡,God Dragon,古代神龍,변신,기다려라 아스타로트! 엔더 드래곤은 대체 뭐냐! 네 부하가 아닌거냐?,"Wait, Astaroth! Who is he? Isn't he your man?",等一下，亞斯她錄！終焰龍到底是什麼！那不是你的部下嗎？,,,,
,77,23,컷씬6,주인공,Player,Player,,"고대신룡이 외쳤지만 아스타로트는 돌아보도지 않고 순식간에 사라졌다. 아까까지만 해도 그렇게 우릴 적대시하더니, 대체 뭐지?","Although God dragon shouted, Astaroth disappeared in an instant. She has been so hostile to us so far. What the hell?",古代神龍大聲呼喊，但亞斯她錄連回頭都沒有，瞬間消失了。剛才還那麼敵對我們，到底怎麼回事？,,,,
,77,24,컷씬6,렉스톤,Rexton,雷克斯頓,변신,어...... 쟤가 우리 쳐다보는데.,Uh... he's staring at us.,呃......牠在盯著我們看。,,,,
,77,25,컷씬6,제피로스,Zephyros,澤費羅斯,,"쳇, 일단 싸워야지 어쩌겠어!","Oh, no, I think we should fight.",啧，先打吧，不然怎麼辦！,,,,
,77,26,컷씬6,주인공,Player,Player,,아스타로트는 나중 문제야! 일단 이녀석을 막자!,Forget about Astaroth! Let's stop that first!,亞斯她錄以後再說！先阻止這個家伙！,,,,
,,,,,,,,엔더 드래곤을 무찌르자.(어둠의 봉인지에 퀘스트 표시) (패배 퀘스트)(동료드래곤만 등장),Defeat Ender dragon,擊敗終焰龍。(在黑暗封印中顯示任務標記) (失敗任務)(只出現同伴龍),,,,
,78,1,아르하 월드,고대신룡,God Dragon,古代神龍,변신,크헉!,Yipe!,咳！,,,,
,78,2,아르하 월드,주인공,Player,Player,,"고대신룡이 피를 토하며 쓰러졌다. 순간 옛날 일이 떠올라 머릿속이 하얗게 변했지만, 다행히 고대신룡은 금방 일어나 날아올랐다.","God dragon fell down, vomiting blood. It makes me pale, fortunately, he got up and flew up.",古代神龍吐血倒地。瞬間，過去的事情湧上心頭，我的腦袋一片空白，但幸運的是，古代神龍很快便站了起來並飛了起來。,,,,
,78,3,아르하 월드,고대신룡,God Dragon,古代神龍,변신,뭐야 이 녀석! 너무 강하잖아!,What the hell! He's so strong!,這傢伙怎麼回事！太強了吧！,,,,
,78,4,아르하 월드,제피로스,Zephyros,澤費羅斯,,이쪽 공격은 먹히질 않아! 어떻게 해야하지?,I can't make it! What should I do?,我們的攻擊完全沒有效果！該怎麼辦？,,,,
,78,5,아르하 월드,주인공,Player,Player,,제피로스가 특유의 날쌘 속도를 이용해 엔더 드래곤을 농락하고 있었다. 덕분에 다행히 한숨 돌릴 여유가 생겼다.,"Zephyros was playing with Ender Dragon using his unique agile pace. Fortunately, we can gain time.",澤費羅斯利用他特有的迅捷速度戲弄著終焰龍。幸好，這讓我們終於有了喘息的機會。,,,,
,78,6,아르하 월드,솔라,Solar,太陽龍,,답이 없다. 도망쳐야 해.,"We don't have the way, we must retreat.",沒辦法了，我們得逃跑。,,,,
,78,7,아르하 월드,주인공,Player,Player,,솔라가 강력하게 주장했다. 의외였다. 도망을 이렇게 당당히 얘기하다니. 하지만 그만큼 상황은 심각했다.,"Solar insisted strongly. It was a surprise. How dare he talks about running away like this. However, the situation was so serious.",太陽龍強烈地主張道，這讓人有些意外。居然這麼直率地說出逃跑。可見，情況確實非常危急。,,,,
,78,8,아르하 월드,렉스톤,Rexton,雷克斯頓,변신,이 정도로 강한 놈이면 아스타로트도 도망칠만 하네! 헬카이저랑은 비교도 안되는구만!,"If he is this strong, Astaroth deserves to escape! That's not even a comparison with Hell kaikser!",這麼強的家伙，亞斯她錄也逃得了！根本無法和地獄凱撒相比！,,,,
,78,9,아르하 월드,제피로스,Zephyros,澤費羅斯,,끄아악!,Yipe!,啊啊啊！,,,,
,78,10,아르하 월드,주인공,Player,Player,,생각보다 제피로스는 얼마 버티지 못하고 나가떨어졌다. 거대하고 불길한 눈빛이 우릴 바라보고 있었다. 심각한 위기상황이다.,Zephyros was knocked out. A huge and ominous look stared at us. It is a serious crisis.,沒想到澤費羅斯撐不住，很快就倒下了。那雙巨大而不祥的眼睛正盯著我們看。情況相當危急。,,,,
,78,11,아르하 월드,고대신룡,God Dragon,古代神龍,변신,파멸의 힘......,Power of destruction ......,滅亡之力......,,,,
,78,12,아르하 월드,주인공,Player,Player,,그때 고대신룡이 무언가를 중얼거렸다.,Then the ancient dragon mumbled something.,就在那時，古代神龍低聲喃喃自語。,,,,
,78,13,아르하 월드,고대신룡,God Dragon,古代神龍,변신,그런가...... 너는 카데스의......,Is that so ...... You are the ...... of Kades.,原來如此......你是卡德斯的......,,,,
,78,14,아르하 월드,렉스톤,Rexton,雷克斯頓,변신,뭐? 카데스 뭐라고?,What? Kades what?,什麼？卡德斯是什麼？,,,,
,78,15,아르하 월드,포폰,Popon,波彭,,으악! 또 공격한다!,"Oh, no! He attacking again!",啊！牠又攻過來了！,,,,
,78,16,아르하 월드,솔라,Solar,太陽龍,,젠장! 저건 못막아!,Damn it! I can't block that!,該死！那個擋不住！,,,,
,78,17,아르하 월드,주인공,Player,Player,,포폰의 비명에 하늘을 보니 엔더 드래곤의 거대한 손이 우리를 덮치고 있었다. 도망칠 구석도 없이 여기서 끝인가 싶은 그 순간이었다.,"When I heard Popon's scream, I saw the huge hand of Ender Dragon hitting us. It was a moment of wonder whether it was over or not.",聽見波彭的尖叫，我抬頭一看，終焰龍的巨大手掌正朝我們覆蓋過來。就在沒有任何逃生的空間，我以為這一切就結束了的那一刻。,,,,
,78,18,하얀 배경,주인공,Player,Player,,갑자기 주변은 새하얗게 변해있었고 엔더 드래곤은 사라져있었다. 뒤를 돌아보니 어둠의 봉인지도 아니었다. 대체 여긴 어디지?,"Suddenly, the surroundings turn white and Ender Dragon was gone. Looking back, it was not even land of dark. Where am I?",突然，周圍變得一片潔白，終焰龍也消失了。回頭一看，連黑暗封印也不見了。這到底是什麼地方？,,,,
,78,19,하얀 배경,???,???,???,,다행히 늦지 않았군요.,"Luckily, it's not too late.",幸好還不算太遲。,,,,
,78,20,하얀 배경,주인공,Player,Player,,그 순간 머릿속에서 목소리가 들렸다. 귀를 통하지 않고 들리는 소리라는 게 이렇게 이상할 줄이야. 그 직후 들린 고대신룡의 목소리는 확실히 귀로 들렸다.,"At that moment, I heard a voice in my head. What a strange sound that doesn't go through my ears. Soon after, the voice of God dragon was clearly heard in my ears.",就在那一刻，我聽到了腦海中的聲音。原來這種不經耳朵而聽到的聲音竟然這麼奇怪。隨後傳來的古代神龍的聲音，確實是從耳朵聽到的。,,,,
,78,21,하얀 배경,고대신룡,God Dragon,古代神龍,변신,쉴라 여신이야!,Goddess Shilla!,是、是希拉女神！,,,,
,78,22,하얀 배경,솔라,Solar,太陽龍,,여신님! 살아계셨군요!,My goddess! You were alive!,女神大人！您還活著啊！,,,,
,78,23,하얀 배경,주인공,Player,Player,,주변을 보자 대성통곡을 하고있는 세 드래곤이 보였다. 렉스톤은 아직도 얼이 나간 상태였고 고대신룡은 한결 편안해진 느낌이었다.,I could see three dragons crying loudly. Rexton was still frozen and God dragon felt much more comfortable.,四周一看，看到三隻龍正在放聲痛哭。雷克斯頓仍然處於恍惚狀態，而古代神龍則看起來明顯放鬆了許多。,,,,
,78,24,하얀 배경,고대신룡,God Dragon,古代神龍,변신,덕분에 겨우 살았군요. 벌써 두 번이나 도움을 받았습니다.,"Thanks to you, I survived. I've been helped twice already.",多虧了希拉女神，我們才勉強活下來。已經是第二次得到您的幫助了。,,,,
,78,25,하얀 배경,쉴라 여신,Sirella,西瑞拉,,별말씀을요. 이쪽이야말로 크게 도움을 받고 있습니다. 덕분에 아직까진 아르하가 무사할 수 있었어요.,Don't mention it. I am greatly indebted to you. Archa was still safe thanks to you.,不敢當，反而是我們受到了很大的幫助。多虧了您，阿爾哈才能夠至今保持安全。,,,,
,78,26,하얀 배경,쉴라 여신,Sirella,西瑞拉,,그리고 절 부를 때는 '쉴라'라고 부르지 마세요.,And don't call me Shilla when you call me.,然後麻煩您請別叫我希拉。,,,,
,78,27,하얀 배경,고대신룡,God Dragon,古代神龍,변신,"아, 네.","Och, aye.",啊，好的。,,,,
,78,28,하얀 배경,주인공,Player,Player,,"고대신룡이 냉큼 대답했다. 다시 눈을 비비고 살펴보니, 이 새하얀 공간 속에 빛나는 무언가가 떠있었다.","God dragon responded quickly. When I rubbed my eyes again, there was something shiny in this white space.",古代神龍立刻回應了我。我再次揉揉眼睛仔細看去，發現這片潔白的空間中有些閃閃發光的東西漂浮著。,,,,
,78,29,하얀 배경,쉴라 여신,Sirella,西瑞拉,,윽...... 대화를 계속 하고 싶지만 지금...... 이 모습을 유지하기 위한 힘이 부족하군요. 죄송하지만 부탁을 좀 들어주실 수 있을까요.,"Ugh... I'd love to continue the conversation, but now... I don't have the power to maintain this presence. I'm sorry, but could you do me a favor?",呃......雖然我想繼續對話，但現在......維持這種狀態的力量不足。抱歉，能麻煩您幫個忙嗎？,,,,
,78,30,하얀 배경,주인공,Player,Player,,"아, 네. 말씀하시죠.","Och, aye. Say it.",啊，好的。請說吧。,,,,
,78,31,하얀 배경,쉴라 여신,Sirella,西瑞拉,,아르하 곳곳에 탄생의 힘을 가진...... '강림의 돌'이 있습니다. 그 부스러기를 모아주세요.,"There is a crystal with the power of birth, named 'Advent Crystal'. Gather the crumbs for me.",在阿爾哈的各個地方，有著擁有創生之力的……「降臨之石」。請幫我收集那些碎片。,,,,
,78,32,하얀 배경,쉴라 여신,Sirella,西瑞拉,,그 힘이 필요합니다. 다 모으시면 빛의 봉인지로 와주세요.,I need that. Collect it and come to the land of light.,我需要那股力量。當您收集齊所有碎片後，請來到光之封印處。,,,,
,,,,,,,,강림의 부스러기를 모아 빛의 봉인지로 향하자. (0/30)(모든 봉인지에 퀘스트 표시),Collect Advent Debris and go to the land of light (0/30),「收集降臨的碎片，前往光明封印處。(0/30)  (所有封印處顯示任務標記)」,,,,
,79,1,아르하 월드,쉴라 여신,Sirella,西瑞拉,,"아, 감사합니다. 이제야 대화가 되겠군요. 당신이 (주인공)이군요. 다시 한번 감사드립니다. 당신 덕분에 아르하가 무사할 수 있었어요.","Oh, thank you. Now we can talk. You should be (주인공). Thanks once again. Archa was saved thanks to you.",啊，謝謝。終於能順利交談了。原來您就是(주인공)。再次感謝您，正因為有您，阿爾哈才能夠安然無恙。,,,,
,79,2,아르하 월드,주인공,Player,Player,,아닙니다. 모든게 카데스를 무찌르기 위한 과정이죠.,No. It's all about defeating Kades.,不，這一切都是為了擊敗卡德斯的過程。,,,,
,79,3,아르하 월드,쉴라 여신,Sirella,西瑞拉,,"후후, 든든하군요. 하지만 용기는 좋지만 만용은 안됩니다. 방금 전의 엔더 드래곤이 그랬죠.","Haha, that's good. But being brave is good, but being reckless is not. That's what Ender Dragon just did.",呵呵，真讓人放心。不過，勇氣固然重要，但也不能輕敵。就像剛才的終焰龍一樣。,,,,
,79,4,아르하 월드,렉스톤,Rexton,雷克斯頓,변신,"아, 그 드래곤을 아시나요? 대체 뭐죠? 너무 강력하던데.","Oh, do you know that dragon? What the hell is that? It was too powerful.",啊，您認識那隻龍嗎？到底是怎麼回事？牠強得令人難以置信。,,,,
,79,5,아르하 월드,주인공,Player,Player,,빛은 조금 불안한듯이 떨렸다. 혹은...... 분노로 떨었을지도 모른다.,The light trembled a little. Or... maybe it shook with rage.,光芒似乎有些不安地顫抖著。或者……它可能是在憤怒中顫抖。,,,,
,79,6,아르하 월드,쉴라 여신,Sirella,西瑞拉,,"카데스는 하나의 세상을 파괴할 때 3가지 단계를 거칩니다. 다크베인의 '침공', 헬카이저의 '정복', 그리고 영원한 '파멸'이죠.","Kades goes through three stages of destroying one world. Dark Vein's invasion, Hell kaiser's conquest, and eternal destruction.",卡德斯在摧毀一個世界時，會經歷三個階段。分別是黑暗貝恩的「侵略」，地獄凱撒的「征服」，以及永恆的「滅亡」。,,,,
,79,7,아르하 월드,주인공,Player,Player,,"어, 고대신룡이 방금 이동하기 전에 파멸이 어쩌고......",Uh... God dragon had just talked about destruction before we moved on.,哦，古代神龍在剛才移動之前提到過「滅亡」的事......,,,,
,79,8,아르하 월드,쉴라 여신,Sirella,西瑞拉,,빛의 자손인 고대신룡은 느꼈을지도 모릅니다. 엔더 드래곤은 카데스의 일부로 만들어진 신의 화신이죠.,"The descendants of light, God dragon may have felt it. Ender Dragon is a avatar made as part of Kades.",作為光明的後裔，古代神龍或許感受到了那股力量。終焰龍是卡德斯所創造的神祇化身。,,,,
,79,9,아르하 월드,쉴라 여신,Sirella,西瑞拉,,카데스가 가진 6장의 날개 중 하나인 '파멸의 엔더 드래곤'이 그 정체입니다.,"One of Kades's six wings, his identity is ""Ender Dragon of Doom"".",卡德斯所擁有的六翼之一，便是「滅亡之終焰龍」，這就是牠的真實身份。,,,,
,79,10,아르하 월드,제피로스,Zephyros,澤費羅斯,,말도 안돼! 고작 날개 한장이 그 정도 힘이라고요?,No way! Only one wing is that strong?,怎麼可能！僅僅一對翅膀就擁有那麼強大的力量嗎？,,,,
,79,11,아르하 월드,주인공,Player,Player,,등줄기에 소름이 돋는걸 느꼈다. 그 온전한 힘 앞에 굴복한 시렐라와 세 수호룡을 하마터면 이해할 뻔 했다.,I felt goose bumps in my back. I almost understood Sirella and the guardian dragons.,我感覺到背脊一陣寒意。差點就理解了西瑞拉和三隻守護龍在那股完整力量面前的屈服。,,,,
,79,12,아르하 월드,쉴라 여신,Sirella,西瑞拉,,"우리는 패배했죠. 저는 육신을, 수호룡은 자유를 잃었습니다. 제 동생인 시렐라는 이성을 잃어가는 와중이구요.","We lost. I lost my body, and the guardians lost their freedom. My sister, Sirella, is losing her reason.",我們失敗了。我失去了肉體，守護龍失去了自由。而我的妹妹西瑞拉在失去理智的過程中。,,,,
,79,13,아르하 월드,솔라,Solar,太陽龍,,알고...... 계셨습니까?,Did you... know that?,您知道……嗎？,,,,
,79,14,아르하 월드,쉴라 여신,Sirella,西瑞拉,,저 하나 찾겠다고 그렇게 들쑤시고 다니는데 모를리가 없겠죠.,Of course.,為了找到我，你這麼四處翻找，怎麼可能會不知道呢。,,,,
,79,15,아르하 월드,솔라,Solar,太陽龍,,저...... 감히 여쭙고 싶습니다. 대체 그럼 지금까지 어디 계셨습니까? 저희는 영락없이 여신님이......,I... I have a question. Where in the world have you been? We certainly believe that you...,我……冒昧地想問一問。那麼，您究竟一直在哪裡呢？我們一直以為您是女神……,,,,
,79,16,아르하 월드,쉴라 여신,Sirella,西瑞拉,,그 점은 미안하게 생각하고 있습니다. 하지만 아직 때가 아니었죠. 겨우 정체를 숨긴 제가 다시 드러내기엔 우린 너무 미약했습니다.,I'm sorry about that. But it's not the time yet. I was too weak for me to reveal myself.,這點我感到抱歉。但那時候還不是時候。當時我隱藏了自己的身份，若要再現身，我們還太過脆弱。,,,,
,79,17,아르하 월드,주인공,Player,Player,,솔라는 자책하는듯이 고개를 푹 숙였다. 여신님은 그럴 의도는 아니었다고 사과했지만 솔라의 마음의 상처는 커보였다.,"Solar bowed his head in remorse. The goddess apologized that she did not intend to, but Solar's heart was hurt.",索拉低下了頭，彷彿在自責。女神雖然道歉說並無此意，但太陽龍心中的傷痕似乎更加深了。,,,,
,79,18,아르하 월드,쉴라 여신,Sirella,西瑞拉,,"음, 어쨌든 아직 힘이 부족했기에, 저는 기다리고 있었습니다. 우리를 도와 아르하를 구원해줄 외부의 힘을요.","Well, anyway, I wasn't strong enough, so I was waiting. Power from outside to help us save Archa.",嗯，無論如何，因為力量仍然不足，我一直在等待。等待能夠幫助我們，拯救阿爾哈的外界力量。,,,,
